group_id,sample_id,ME
green,S05_T3,-0.021623817627202665
greenyellow,S05_T3,0.08391008868919292
magenta,S05_T3,0.07118438778315284
pink,S05_T3,0.10850300375165313
purple,S05_T3,0.15293827037380991
red,S05_T3,-0.11567710622401471
salmon,S05_T3,0.028945652197235043
tan,S05_T3,-0.11726086098283739
turquoise,S05_T3,-0.12882489911895811
yellow,S05_T3,0.054304335193584914
black,S06_T3,0.12363626257099161
blue,S06_T3,0.07260098788434396
brown,S06_T3,0.04610213388275208
green,S06_T3,-0.05748563311619264
greenyellow,S06_T3,0.039039790650790177
magenta,S06_T3,-0.1457395260975075
pink,S06_T3,-0.06556207742675792
purple,S06_T3,-0.16400586094641617
red,S06_T3,-0.1603739522350079
salmon,S06_T3,-0.10038644824157204
tan,S06_T3,-0.07987594873135076
turquoise,S06_T3,0.08325042279387615
yellow,S06_T3,0.016677924495502205
black,S12_T3,0.17530732004222593
blue,S12_T3,0.1566322320136718
brown,S12_T3,-0.0590486920379216
green,S12_T3,0.06300839556263421
greenyellow,S12_T3,0.20180227226470102
magenta,S12_T3,0.0602882040839973
pink,S12_T3,0.1276965077923306
purple,S12_T3,0.1530950648171752
red,S12_T3,-0.1878997124326786
salmon,S12_T3,0.10693354800492248
tan,S12_T3,-0.11794951823424352
turquoise,S12_T3,-0.16178246717971256
yellow,S12_T3,0.0721232256087815
black,S14_T3,0.030673438122612175
blue,S14_T3,-0.11992614561877445
brown,S14_T3,-0.17037245773234774
green,S14_T3,0.42422620601138356
greenyellow,S14_T3,-0.1260396638115677
magenta,S14_T3,0.05233029690144634
pink,S14_T3,0.10865603977009412
purple,S14_T3,0.19964002404704903
red,S14_T3,0.06945665636102584
salmon,S14_T3,-0.034597036710287035
tan,S14_T3,0.18896777303106282
turquoise,S14_T3,-0.12530443521090498
yellow,S14_T3,0.17870385972642905
black,S17_T3,-0.12834580675378712
blue,S17_T3,0.08996093143435177
brown,S17_T3,0.04877368006107861
green,S17_T3,0.21712797560316915
greenyellow,S17_T3,-0.04665889040883876
magenta,S17_T3,0.12187127151987819
pink,S17_T3,0.07053165474416051
purple,S17_T3,-0.008181716896084889
red,S17_T3,0.006731844894503412
salmon,S17_T3,-0.05978857409628554
tan,S17_T3,-0.028569913344758936
turquoise,S17_T3,-0.15912001903648093
yellow,S17_T3,0.1035493362705272
black,S21_T3,-0.01001569505105794
blue,S21_T3,0.0299962864353432
brown,S21_T3,-0.04397026648366496
green,S21_T3,0.07956857061928808
greenyellow,S21_T3,-0.0700242193413641
magenta,S21_T3,0.00884809134215597
pink,S21_T3,0.08496530985381608
purple,S21_T3,-0.05429872596575769
red,S21_T3,-0.10733859013431621
salmon,S21_T3,0.03777805968431593
tan,S21_T3,-0.03654612799821684
turquoise,S21_T3,-0.022952512438185024
yellow,S21_T3,0.07323758876242531
black,S30_T3,-0.18873665278724674
blue,S30_T3,-0.0046785905053355345
brown,S30_T3,0.004054237954849234
green,S30_T3,0.30895893999105517
greenyellow,S30_T3,-0.09261557264248386
magenta,S30_T3,-0.21716804525593386
pink,S30_T3,-0.2931957353317714
purple,S30_T3,-0.31336116869099506
red,S30_T3,-0.020504117484116086
salmon,S30_T3,0.031559785026808215
tan,S30_T3,0.011662071019214109
turquoise,S30_T3,0.05705948190808069
yellow,S30_T3,0.1429035986731911
