uniprot_id,gene,protein,description,feature_id,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
Q9NZJ6,COQ3,COQ3_HUMAN,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",COQ3,0,0,21.8024180705637,NA,NA,NA,NA,Complete,TRUE,NA
Q5HYK3,COQ5,COQ5_HUMAN,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",COQ5,0,0,20.639341217825343,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y2Z9,COQ6,COQ6_HUMAN,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",COQ6,0,0,23.110162598749675,NA,NA,NA,NA,Complete,TRUE,NA
Q99807,COQ7,COQ7_HUMAN,"5-demethoxyubiquinone hydroxylase, mitochondrial",COQ7,0,0,21.247598443704454,NA,NA,NA,NA,Complete,TRUE,NA
Q8NI60,COQ8A,COQ8A_HUMAN,"Atypical kinase COQ8A, mitochondrial",COQ8A,0,0,24.557808653068832,NA,NA,NA,NA,Complete,TRUE,NA
O75208,COQ9,COQ9_HUMAN,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9,0,0,24.730952023337224,NA,NA,NA,NA,Complete,TRUE,NA
P31146,CORO1A,COR1A_HUMAN,Coronin-1A,CORO1A,38,84.44444444444444,20.993159710869453,1,0,1,2,MNAR,FALSE,0.001999000499750125
Q6QEF8,CORO6,CORO6_HUMAN,Coronin-6,CORO6,19,42.22222222222222,16.62191055000443,1,1,1,3,MNAR,TRUE,0.9865067466266867
Q14061,COX17,COX17_HUMAN,Cytochrome c oxidase copper chaperone,COX17,0,0,18.339951585264824,NA,NA,NA,NA,Complete,TRUE,NA
Q49B96,COX19,COX19_HUMAN,Cytochrome c oxidase assembly protein COX19,COX19,0,0,18.97030002334157,NA,NA,NA,NA,Complete,TRUE,NA
Q5RI15,COX20,COX20_HUMAN,"Cytochrome c oxidase assembly protein COX20, mitochondrial",COX20,2,4.444444444444445,18.431591825041608,0,0,0,0,MAR,TRUE,NA
P13073,COX4I1,COX41_HUMAN,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,0,0,25.35652964990669,NA,NA,NA,NA,Complete,TRUE,NA
P20674,COX5A,COX5A_HUMAN,"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,0,0,25.272607015766894,NA,NA,NA,NA,Complete,TRUE,NA
P10606,COX5B,COX5B_HUMAN,"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B,0,0,25.745149250585406,NA,NA,NA,NA,Complete,TRUE,NA
P14854,COX6B1,CX6B1_HUMAN,Cytochrome c oxidase subunit 6B1,COX6B1,0,0,24.274235294210524,NA,NA,NA,NA,Complete,TRUE,NA
P09669,COX6C,COX6C_HUMAN,Cytochrome c oxidase subunit 6C,COX6C,0,0,24.374788334185617,NA,NA,NA,NA,Complete,TRUE,NA
P24310,COX7A1,CX7A1_HUMAN,"Cytochrome c oxidase subunit 7A1, mitochondrial",COX7A1,0,0,26.026249919524165,NA,NA,NA,NA,Complete,TRUE,NA
P14406,COX7A2,CX7A2_HUMAN,"Cytochrome c oxidase subunit 7A2, mitochondrial",COX7A2,0,0,22.440162569977204,NA,NA,NA,NA,Complete,TRUE,NA
P15954,COX7C,COX7C_HUMAN,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C,0,0,24.637689310435594,NA,NA,NA,NA,Complete,TRUE,NA
P00450,CP,CERU_HUMAN,Ceruloplasmin,CP,0,0,22.134232468519663,NA,NA,NA,NA,Complete,TRUE,NA
P15088,CPA3,CBPA3_HUMAN,Mast cell carboxypeptidase A,CPA3,4,8.88888888888889,18.393662583980685,0,0,0,0,MAR,TRUE,NA
Q99829,CPNE1,CPNE1_HUMAN,Copine-1,CPNE1,4,8.88888888888889,18.0131102238758,0,1,0,1,MAR,TRUE,NA
O75131,CPNE3,CPNE3_HUMAN,Copine-3,CPNE3,0,0,19.42370246095197,NA,NA,NA,NA,Complete,TRUE,NA
Q9BRF8,CPPED1,CPPED_HUMAN,Serine/threonine-protein phosphatase CPPED1,CPPED1,0,0,20.478427933292828,NA,NA,NA,NA,Complete,TRUE,NA
P50416,CPT1A,CPT1A_HUMAN,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,3,6.666666666666667,17.45216161936468,0,1,0,1,MAR,TRUE,NA
Q92523,CPT1B,CPT1B_HUMAN,"Carnitine O-palmitoyltransferase 1, muscle isoform",CPT1B,0,0,21.834208627118358,NA,NA,NA,NA,Complete,TRUE,NA
P23786,CPT2,CPT2_HUMAN,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,0,0,21.518196981424037,NA,NA,NA,NA,Complete,TRUE,NA
P78560,CRADD,CRADD_HUMAN,Death domain-containing protein CRADD,CRADD,15,33.33333333333333,16.891571816696104,1,1,1,3,MNAR,TRUE,0.6981509245377311
P43155,CRAT,CACP_HUMAN,Carnitine O-acetyltransferase,CRAT,0,0,24.29093145738901,NA,NA,NA,NA,Complete,TRUE,NA
P50238,CRIP1,CRIP1_HUMAN,Cysteine-rich protein 1,CRIP1,22,48.888888888888886,19.18981047284788,1,0,1,2,MNAR,TRUE,0.45177411294352826
P52943,CRIP2,CRIP2_HUMAN,Cysteine-rich protein 2,CRIP2,11,24.444444444444443,16.438379233274343,1,1,1,3,MNAR,TRUE,0.5912043978010995
P46109,CRKL,CRKL_HUMAN,Crk-like protein,CRKL,0,0,21.492021194844877,NA,NA,NA,NA,Complete,TRUE,NA
P02511,CRYAB,CRYAB_HUMAN,Alpha-crystallin B chain,CRYAB,0,0,28.26182631830133,NA,NA,NA,NA,Complete,TRUE,NA
Q14894,CRYM,CRYM_HUMAN,Ketimine reductase mu-crystallin,CRYM,21,46.666666666666664,23.358080647936973,0,0,0,0,MAR,TRUE,NA
Q08257,CRYZ,QOR_HUMAN,Quinone oxidoreductase,CRYZ,0,0,22.381135816503495,NA,NA,NA,NA,Complete,TRUE,NA
O75390,CS,CISY_HUMAN,"Citrate synthase, mitochondrial",CS,0,0,26.36428426046552,NA,NA,NA,NA,Complete,TRUE,NA
O75534,CSDE1,CSDE1_HUMAN,Cold shock domain-containing protein E1,CSDE1,0,0,21.123297685467097,NA,NA,NA,NA,Complete,TRUE,NA
P55060,CSE1L,XPO2_HUMAN,Exportin-2,CSE1L,0,0,20.617211149755278,NA,NA,NA,NA,Complete,TRUE,NA
P48729,CSNK1A1,KC1A_HUMAN,Casein kinase I isoform alpha,CSNK1A1,21,46.666666666666664,17.296756316163535,1,1,1,3,MNAR,TRUE,0.16141929035482258
P68400,CSNK2A1,CSK21_HUMAN,Casein kinase II subunit alpha,CSNK2A1,7,15.555555555555555,18.9537145838581,0,0,0,0,MAR,TRUE,NA
P67870,CSNK2B,CSK2B_HUMAN,Casein kinase II subunit beta,CSNK2B,23,51.11111111111111,14.904957906528942,1,1,1,3,MNAR,FALSE,0.6376811594202898
P21291,CSRP1,CSRP1_HUMAN,Cysteine and glycine-rich protein 1,CSRP1,5,11.11111111111111,20.214235030343787,0,0,0,0,MAR,TRUE,NA
P50461,CSRP3,CSRP3_HUMAN,Cysteine and glycine-rich protein 3,CSRP3,0,0,27.01100622702995,NA,NA,NA,NA,Complete,TRUE,NA
P01034,CST3,CYTC_HUMAN,Cystatin-C,CST3,11,24.444444444444443,19.409672214104738,0,0,0,0,MAR,TRUE,NA
P04080,CSTB,CYTB_HUMAN,Cystatin-B,CSTB,0,0,24.257288439489137,NA,NA,NA,NA,Complete,TRUE,NA
Q13363,CTBP1,CTBP1_HUMAN,C-terminal-binding protein 1,CTBP1,9,20,19.89895812055221,0,0,0,0,MAR,TRUE,NA
P17812,CTPS1,PYRG1_HUMAN,CTP synthase 1,CTPS1,21,46.666666666666664,15.051917105564407,1,1,1,3,MNAR,TRUE,0.9715142428785607
P07858,CTSB,CATB_HUMAN,Cathepsin B,CTSB,2,4.444444444444445,18.74305632617914,0,0,0,0,MAR,TRUE,NA
P07339,CTSD,CATD_HUMAN,Cathepsin D,CTSD,0,0,22.67426118820497,NA,NA,NA,NA,Complete,TRUE,NA
P08311,CTSG,CATG_HUMAN,Cathepsin G,CTSG,31,68.88888888888889,20.909551729611596,1,0,0,1,MAR,FALSE,NA
Q13616,CUL1,CUL1_HUMAN,Cullin-1,CUL1,1,2.2222222222222223,18.785621793165515,0,0,0,0,MAR,TRUE,NA
Q13617,CUL2,CUL2_HUMAN,Cullin-2,CUL2,2,4.444444444444445,19.621165414293127,0,0,0,0,MAR,TRUE,NA
Q13618,CUL3,CUL3_HUMAN,Cullin-3,CUL3,1,2.2222222222222223,18.516730570871218,0,0,0,0,MAR,TRUE,NA
Q13619,CUL4A,CUL4A_HUMAN,Cullin-4A,CUL4A,1,2.2222222222222223,19.51716350677558,0,0,0,0,MAR,TRUE,NA
Q13620,CUL4B,CUL4B_HUMAN,Cullin-4B,CUL4B,5,11.11111111111111,20.063902736634223,0,0,0,0,MAR,TRUE,NA
Q93034,CUL5,CUL5_HUMAN,Cullin-5,CUL5,0,0,20.754049053090977,NA,NA,NA,NA,Complete,TRUE,NA
O60888,CUTA,CUTA_HUMAN,Protein CutA,CUTA,0,0,22.000583005326877,NA,NA,NA,NA,Complete,TRUE,NA
Q9NTM9,CUTC,CUTC_HUMAN,Copper homeostasis protein cutC homolog,CUTC,0,0,22.398433554524637,NA,NA,NA,NA,Complete,TRUE,NA
P00167,CYB5A,CYB5_HUMAN,Cytochrome b5,CYB5A,17,37.77777777777778,16.675558731992822,1,1,1,3,MNAR,TRUE,0.6471764117941029
O43169,CYB5B,CYB5B_HUMAN,Cytochrome b5 type B,CYB5B,0,0,20.680225757078034,NA,NA,NA,NA,Complete,TRUE,NA
Q9UHQ9,CYB5R1,NB5R1_HUMAN,NADH-cytochrome b5 reductase 1,CYB5R1,0,0,25.174672782124055,NA,NA,NA,NA,Complete,TRUE,NA
P00387,CYB5R3,NB5R3_HUMAN,NADH-cytochrome b5 reductase 3,CYB5R3,0,0,24.16339810407639,NA,NA,NA,NA,Complete,TRUE,NA
P08574,CYC1,CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial",CYC1,0,0,25.307357628063997,NA,NA,NA,NA,Complete,TRUE,NA
P99999,CYCS,CYC_HUMAN,Cytochrome c,CYCS,0,0,26.714970094395944,NA,NA,NA,NA,Complete,TRUE,NA
Q9H1C7,CYSTM1,CYTM1_HUMAN,Cysteine-rich and transmembrane domain-containing protein 1,CYSTM1,22,48.888888888888886,15.660352803253929,1,1,1,3,MNAR,TRUE,0.9885057471264368
Q9NWV4,CZIB,CZIB_HUMAN,CXXC motif containing zinc binding protein,CZIB,0,0,23.242113017792896,NA,NA,NA,NA,Complete,TRUE,NA
P61803,DAD1,DAD1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,DAD1,10,22.22222222222222,15.925581089535292,1,1,1,3,MNAR,TRUE,0.6166916541729135
Q14118,DAG1,DAG1_HUMAN,Dystroglycan,DAG1,1,2.2222222222222223,20.737809053640312,0,0,0,0,MAR,TRUE,NA
P14868,DARS1,SYDC_HUMAN,"Aspartate--tRNA ligase, cytoplasmic",DARS1,0,0,21.985750821095934,NA,NA,NA,NA,Complete,TRUE,NA
Q6PI48,DARS2,SYDM_HUMAN,"Aspartate--tRNA ligase, mitochondrial",DARS2,4,8.88888888888889,18.12528866438209,0,1,0,1,MAR,TRUE,NA
P07108,DBI,ACBP_HUMAN,Acyl-CoA-binding protein,DBI,0,0,24.716150273828386,NA,NA,NA,NA,Complete,TRUE,NA
P11182,DBT,ODB2_HUMAN,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",DBT,2,4.444444444444445,19.26091871087756,0,0,0,0,MAR,TRUE,NA
Q58WW2,DCAF6,DCAF6_HUMAN,DDB1- and CUL4-associated factor 6,DCAF6,5,11.11111111111111,16.344902009597384,1,1,1,3,MNAR,TRUE,0.32083958020989506
Q5TAQ9,DCAF8,DCAF8_HUMAN,DDB1- and CUL4-associated factor 8,DCAF8,32,71.11111111111111,18.313472907752228,1,1,1,3,MNAR,FALSE,0.09345327336331834
P07585,DCN,PGS2_HUMAN,Decorin,DCN,0,0,22.881939045831096,NA,NA,NA,NA,Complete,TRUE,NA
Q14203,DCTN1,DCTN1_HUMAN,Dynactin subunit 1,DCTN1,0,0,19.157040778067106,NA,NA,NA,NA,Complete,TRUE,NA
Q13561,DCTN2,DCTN2_HUMAN,Dynactin subunit 2,DCTN2,0,0,20.564634633210918,NA,NA,NA,NA,Complete,TRUE,NA
O75935,DCTN3,DCTN3_HUMAN,Dynactin subunit 3,DCTN3,13,28.888888888888886,16.110759481454007,1,1,1,3,MNAR,TRUE,0.42028985507246375
Q9UJW0,DCTN4,DCTN4_HUMAN,Dynactin subunit 4,DCTN4,27,60,19.060917302996824,1,0,0,1,MAR,FALSE,NA
Q96GG9,DCUN1D1,DCNL1_HUMAN,DCN1-like protein 1,DCUN1D1,9,20,19.387924467659282,0,0,0,0,MAR,TRUE,NA
Q7Z4W1,DCXR,DCXR_HUMAN,L-xylulose reductase,DCXR,0,0,22.39326511049815,NA,NA,NA,NA,Complete,TRUE,NA
O94760,DDAH1,DDAH1_HUMAN,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",DDAH1,0,0,22.574244590606305,NA,NA,NA,NA,Complete,TRUE,NA
O95865,DDAH2,DDAH2_HUMAN,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,11,24.444444444444443,17.926361999721397,1,1,1,3,MNAR,TRUE,0.670664667666167
Q16531,DDB1,DDB1_HUMAN,DNA damage-binding protein 1,DDB1,0,0,24.831251656045747,NA,NA,NA,NA,Complete,TRUE,NA
Q5TDH0,DDI2,DDI2_HUMAN,Protein DDI1 homolog 2,DDI2,20,44.44444444444444,19.6562250021047,1,0,0,1,MAR,TRUE,NA
P39656,DDOST,OST48_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,0,0,20.19409754369624,NA,NA,NA,NA,Complete,TRUE,NA
P30046,DDT,DOPD_HUMAN,D-dopachrome decarboxylase,DDT,1,2.2222222222222223,21.519324161967788,0,0,0,0,MAR,TRUE,NA
Q92499,DDX1,DDX1_HUMAN,ATP-dependent RNA helicase DDX1,DDX1,0,0,19.28415488925058,NA,NA,NA,NA,Complete,TRUE,NA
Q92841,DDX17,DDX17_HUMAN,Probable ATP-dependent RNA helicase DDX17,DDX17,1,2.2222222222222223,20.214538017535624,0,0,0,0,MAR,TRUE,NA
Q9NUU7,DDX19A,DD19A_HUMAN,ATP-dependent RNA helicase DDX19A,DDX19A,0,0,19.906668679914233,NA,NA,NA,NA,Complete,TRUE,NA
Q9UMR2,DDX19B,DD19B_HUMAN,ATP-dependent RNA helicase DDX19B,DDX19B,13,28.888888888888886,18.245946036888615,1,1,1,3,MNAR,TRUE,0.1374312843578211
Q13838,DDX39B,DX39B_HUMAN,Spliceosome RNA helicase DDX39B,DDX39B,2,4.444444444444445,18.689858474216418,0,0,0,0,MAR,TRUE,NA
O00571,DDX3X,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X,DDX3X,0,0,19.82276844972709,NA,NA,NA,NA,Complete,TRUE,NA
P26196,DDX6,DDX6_HUMAN,Probable ATP-dependent RNA helicase DDX6,DDX6,8,17.77777777777778,17.886777064930165,0,1,1,2,MNAR,TRUE,0.7346326836581709
Q16698,DECR1,DECR_HUMAN,"2,4-dienoyl-CoA reductase, mitochondrial",DECR1,0,0,25.779011120079684,NA,NA,NA,NA,Complete,TRUE,NA
P59666,DEFA3,DEF3_HUMAN,Neutrophil defensin 3,DEFA3,15,33.33333333333333,18.196563759777327,1,1,1,3,MNAR,TRUE,0.03548225887056472
O43583,DENR,DENR_HUMAN,Density-regulated protein,DENR,1,2.2222222222222223,20.92143995090093,0,0,0,0,MAR,TRUE,NA
Q8TB45,DEPTOR,DPTOR_HUMAN,DEP domain-containing mTOR-interacting protein,DEPTOR,0,0,19.624201669880584,NA,NA,NA,NA,Complete,TRUE,NA
P17661,DES,DESM_HUMAN,Desmin,DES,0,0,22.51452212854116,NA,NA,NA,NA,Complete,TRUE,NA
Q7Z3D6,DGLUCY,GLUCM_HUMAN,"D-glutamate cyclase, mitochondrial",DGLUCY,8,17.77777777777778,23.617332747385372,0,0,0,0,MAR,TRUE,NA
Q15392,DHCR24,DHC24_HUMAN,Delta(24)-sterol reductase,DHCR24,25,55.55555555555556,19.441118845693172,1,0,0,1,MAR,FALSE,NA
Q02127,DHODH,PYRD_HUMAN,"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH,33,73.33333333333333,17.53019463792406,1,1,1,3,MNAR,FALSE,0.04897551224387806
Q6UWP2,DHRS11,DHR11_HUMAN,Dehydrogenase/reductase SDR family member 11,DHRS11,29,64.44444444444444,16.767603401292355,1,1,1,3,MNAR,FALSE,0.1199400299850075
Q9BTZ2,DHRS4,DHRS4_HUMAN,Dehydrogenase/reductase SDR family member 4,DHRS4,6,13.333333333333334,17.20776963410074,0,1,1,2,MNAR,TRUE,0.3308345827086457
Q9Y394,DHRS7,DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7,DHRS7,0,0,22.686058973008894,NA,NA,NA,NA,Complete,TRUE,NA
Q6IAN0,DHRS7B,DRS7B_HUMAN,Dehydrogenase/reductase SDR family member 7B,DHRS7B,0,0,20.43588617380604,NA,NA,NA,NA,Complete,TRUE,NA
A6NNS2,DHRS7C,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C,DHRS7C,0,0,22.548957364344464,NA,NA,NA,NA,Complete,TRUE,NA
Q96HY7,DHTKD1,DHTK1_HUMAN,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",DHTKD1,28,62.22222222222222,17.39244692095886,1,1,1,3,MNAR,FALSE,0.04597701149425287
Q9NR28,DIABLO,DBLOH_HUMAN,"Diablo homolog, mitochondrial",DIABLO,0,0,20.489615433495022,NA,NA,NA,NA,Complete,TRUE,NA
O60610,DIAPH1,DIAP1_HUMAN,Protein diaphanous homolog 1,DIAPH1,27,60,17.795396054468792,1,1,1,3,MNAR,FALSE,0.34182908545727136
P10515,DLAT,ODP2_HUMAN,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,0,0,24.722765848309706,NA,NA,NA,NA,Complete,TRUE,NA
P09622,DLD,DLDH_HUMAN,"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,0,0,24.919451908179013,NA,NA,NA,NA,Complete,TRUE,NA
P36957,DLST,ODO2_HUMAN,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",DLST,0,0,24.83119061685631,NA,NA,NA,NA,Complete,TRUE,NA
Q99766,DMAC2L,ATP5S_HUMAN,"ATP synthase subunit s, mitochondrial",DMAC2L,2,4.444444444444445,18.188815846881244,0,1,0,1,MAR,TRUE,NA
P11532,DMD,DMD_HUMAN,Dystrophin,DMD,0,0,21.930670880797855,NA,NA,NA,NA,Complete,TRUE,NA
O60884,DNAJA2,DNJA2_HUMAN,DnaJ homolog subfamily A member 2,DNAJA2,0,0,22.731086743818977,NA,NA,NA,NA,Complete,TRUE,NA
Q96EY1,DNAJA3,DNJA3_HUMAN,"DnaJ homolog subfamily A member 3, mitochondrial",DNAJA3,7,15.555555555555555,15.939614531879236,1,1,1,3,MNAR,TRUE,0.4257871064467766
Q8WW22,DNAJA4,DNJA4_HUMAN,DnaJ homolog subfamily A member 4,DNAJA4,0,0,21.38091637354864,NA,NA,NA,NA,Complete,TRUE,NA
P25685,DNAJB1,DNJB1_HUMAN,DnaJ homolog subfamily B member 1,DNAJB1,16,35.55555555555556,17.16467040434642,1,1,1,3,MNAR,TRUE,0.2993503248375812
Q9UDY4,DNAJB4,DNJB4_HUMAN,DnaJ homolog subfamily B member 4,DNAJB4,10,22.22222222222222,17.129553511712494,1,1,1,3,MNAR,TRUE,0.5292353823088456
Q96DA6,DNAJC19,TIM14_HUMAN,Mitochondrial import inner membrane translocase subunit TIM14,DNAJC19,14,31.11111111111111,18.364767435590544,1,0,1,2,MNAR,TRUE,0.8685657171414293
O00429,DNM1L,DNM1L_HUMAN,Dynamin-1-like protein,DNM1L,0,0,20.90743139581406,NA,NA,NA,NA,Complete,TRUE,NA
P50570,DNM2,DYN2_HUMAN,Dynamin-2,DNM2,1,2.2222222222222223,20.732266353405354,0,0,0,0,MAR,TRUE,NA
Q9ULA0,DNPEP,DNPEP_HUMAN,Aspartyl aminopeptidase,DNPEP,0,0,21.581435699954,NA,NA,NA,NA,Complete,TRUE,NA
O43598,DNPH1,DNPH1_HUMAN,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,DNPH1,8,17.77777777777778,19.31490548558011,0,0,0,0,MAR,TRUE,NA
Q9NY33,DPP3,DPP3_HUMAN,Dipeptidyl peptidase 3,DPP3,0,0,19.15020423530411,NA,NA,NA,NA,Complete,TRUE,NA
Q16555,DPYSL2,DPYL2_HUMAN,Dihydropyrimidinase-related protein 2,DPYSL2,0,0,20.886633601692843,NA,NA,NA,NA,Complete,TRUE,NA
Q14195,DPYSL3,DPYL3_HUMAN,Dihydropyrimidinase-related protein 3,DPYSL3,0,0,21.335452869099456,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y295,DRG1,DRG1_HUMAN,Developmentally-regulated GTP-binding protein 1,DRG1,17,37.77777777777778,17.743821524024224,1,1,1,3,MNAR,TRUE,0.39480259870064965
P60981,DSTN,DEST_HUMAN,Destrin,DSTN,0,0,21.296341102111576,NA,NA,NA,NA,Complete,TRUE,NA
Q8TEA8,DTD1,DTD1_HUMAN,D-aminoacyl-tRNA deacylase 1,DTD1,2,4.444444444444445,19.1872895214708,0,0,0,0,MAR,TRUE,NA
Q9Y4J8,DTNA,DTNA_HUMAN,Dystrobrevin alpha,DTNA,3,6.666666666666667,19.438965737596,0,0,0,0,MAR,TRUE,NA
Q4G0W2,DUSP28,DUS28_HUMAN,Dual specificity phosphatase 28,DUSP28,7,15.555555555555555,16.42385468682314,1,1,1,3,MNAR,TRUE,0.9560219890054973
P51452,DUSP3,DUS3_HUMAN,Dual specificity protein phosphatase 3,DUSP3,0,0,23.9976196783434,NA,NA,NA,NA,Complete,TRUE,NA
Q14204,DYNC1H1,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,0,0,21.623869351797904,NA,NA,NA,NA,Complete,TRUE,NA
Q13409,DYNC1I2,DC1I2_HUMAN,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,0,0,19.067961678620705,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y6G9,DYNC1LI1,DC1L1_HUMAN,Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1,7,15.555555555555555,17.886215569950686,0,1,1,2,MNAR,TRUE,0.10744627686156921
O43237,DYNC1LI2,DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,7,15.555555555555555,16.952612134111163,1,1,1,3,MNAR,TRUE,1
P63167,DYNLL1,DYL1_HUMAN,"Dynein light chain 1, cytoplasmic",DYNLL1,7,15.555555555555555,20.417250532829335,0,0,0,0,MAR,TRUE,NA
Q96FJ2,DYNLL2,DYL2_HUMAN,"Dynein light chain 2, cytoplasmic",DYNLL2,0,0,22.008191900488328,NA,NA,NA,NA,Complete,TRUE,NA
Q9NP97,DYNLRB1,DLRB1_HUMAN,Dynein light chain roadblock-type 1,DYNLRB1,1,2.2222222222222223,18.35991250730996,0,0,0,0,MAR,TRUE,NA
P63172,DYNLT1,DYLT1_HUMAN,Dynein light chain Tctex-type 1,DYNLT1,14,31.11111111111111,16.941636185143032,1,1,1,3,MNAR,TRUE,0.496751624187906
O75923,DYSF,DYSF_HUMAN,Dysferlin,DYSF,0,0,25.13664149232471,NA,NA,NA,NA,Complete,TRUE,NA
Q13011,ECH1,ECH1_HUMAN,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ECH1,0,0,25.142851516804544,NA,NA,NA,NA,Complete,TRUE,NA
Q9NTX5,ECHDC1,ECHD1_HUMAN,Ethylmalonyl-CoA decarboxylase,ECHDC1,5,11.11111111111111,18.498682336614472,0,0,0,0,MAR,TRUE,NA
Q86YB7,ECHDC2,ECHD2_HUMAN,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",ECHDC2,24,53.333333333333336,16.093713255841703,1,1,1,3,MNAR,FALSE,0.21889055472263869
Q96DC8,ECHDC3,ECHD3_HUMAN,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",ECHDC3,11,24.444444444444443,17.778781892437372,1,1,1,3,MNAR,TRUE,0.526736631684158
P30084,ECHS1,ECHM_HUMAN,"Enoyl-CoA hydratase, mitochondrial",ECHS1,0,0,25.24019543027794,NA,NA,NA,NA,Complete,TRUE,NA
P42126,ECI1,ECI1_HUMAN,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1,0,0,24.349590029457648,NA,NA,NA,NA,Complete,TRUE,NA
O75521,ECI2,ECI2_HUMAN,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,0,0,21.761396320739074,NA,NA,NA,NA,Complete,TRUE,NA
Q5VYK3,ECPAS,ECM29_HUMAN,Proteasome adapter and scaffold protein ECM29,ECPAS,0,0,21.483842826219462,NA,NA,NA,NA,Complete,TRUE,NA
Q15075,EEA1,EEA1_HUMAN,Early endosome antigen 1,EEA1,8,17.77777777777778,16.998757899778795,1,1,1,3,MNAR,TRUE,0.968015992003998
P68104,EEF1A1,EF1A1_HUMAN,Elongation factor 1-alpha 1,EEF1A1,0,0,26.41425870342778,NA,NA,NA,NA,Complete,TRUE,NA
Q05639,EEF1A2,EF1A2_HUMAN,Elongation factor 1-alpha 2,EEF1A2,0,0,26.061969395785102,NA,NA,NA,NA,Complete,TRUE,NA
P24534,EEF1B2,EF1B_HUMAN,Elongation factor 1-beta,EEF1B2,0,0,23.002287906331684,NA,NA,NA,NA,Complete,TRUE,NA
P29692,EEF1D,EF1D_HUMAN,Elongation factor 1-delta,EEF1D,0,0,23.32401350477879,NA,NA,NA,NA,Complete,TRUE,NA
P26641,EEF1G,EF1G_HUMAN,Elongation factor 1-gamma,EEF1G,0,0,22.84169733447951,NA,NA,NA,NA,Complete,TRUE,NA
P13639,EEF2,EF2_HUMAN,Elongation factor 2,EEF2,0,0,24.427626065993287,NA,NA,NA,NA,Complete,TRUE,NA
Q8N3D4,EHBP1L1,EH1L1_HUMAN,EH domain-binding protein 1-like protein 1,EHBP1L1,4,8.88888888888889,18.598627019133165,0,0,0,0,MAR,TRUE,NA
Q9H4M9,EHD1,EHD1_HUMAN,EH domain-containing protein 1,EHD1,0,0,20.182708657881637,NA,NA,NA,NA,Complete,TRUE,NA
Q9NZN4,EHD2,EHD2_HUMAN,EH domain-containing protein 2,EHD2,0,0,22.676822386736177,NA,NA,NA,NA,Complete,TRUE,NA
Q9H223,EHD4,EHD4_HUMAN,EH domain-containing protein 4,EHD4,30,66.66666666666666,16.212162863366697,1,1,1,3,MNAR,FALSE,0.14742628685657172
P41567,EIF1,EIF1_HUMAN,Eukaryotic translation initiation factor 1,EIF1,0,0,21.242979333872768,NA,NA,NA,NA,Complete,TRUE,NA
P47813,EIF1AX,IF1AX_HUMAN,"Eukaryotic translation initiation factor 1A, X-chromosomal",EIF1AX,4,8.88888888888889,19.293714296234054,0,0,0,0,MAR,TRUE,NA
