gene,logFC,neg_log10_p,pi_score,adj_pval,direction
MRPL44,0.596,0.5045,0.500377,0.999762,NS
ACOT1,-0.4873,0.6158,0.501078,0.999762,NS
PYURF,-0.6869,0.4356,0.502092,0.999762,NS
TIMM21,-0.3532,0.8472,0.502092,0.999762,NS
CSNK2A1,0.3477,0.8549,0.504376,0.999762,NS
MB,-0.3044,0.9692,0.507012,0.999762,NS
MOB4,0.3812,0.7661,0.51045,0.999762,NS
CYB5B,0.3256,0.8942,0.511468,0.999762,NS
GLRX5,-0.3117,0.9336,0.511688,0.999762,NS
SNRPD3,0.4172,0.6945,0.513175,0.999762,NS
HIBADH,0.2766,1.0441,0.514299,0.999762,NS
XRCC5,-0.4123,0.699,0.515033,0.999762,NS
CAMK2G,0.3922,0.7335,0.515606,0.999762,NS
SDHA,-0.2404,1.1892,0.517787,0.999762,NS
ATG3,0.6929,0.412,0.518208,0.999762,NS
SRP14,0.4491,0.6353,0.51842,0.999762,NS
LCP1,0.5801,0.4907,0.519249,0.999762,NS
C11orf68,0.2865,0.9882,0.521039,0.999762,NS
PREB,-0.5097,0.5543,0.521758,0.999762,NS
ACADSB,-0.3481,0.805,0.524516,0.999762,NS
NDUFA5,-0.3598,0.7769,0.525359,0.999762,NS
EIF2S2,0.4337,0.6442,0.525529,0.999762,NS
FAM98B,0.4215,0.6611,0.526435,0.999762,NS
CISD2,0.4645,0.5994,0.526731,0.999762,NS
PFN1,0.3016,0.9193,0.528129,0.999762,NS
COL4A2,-0.5985,0.4622,0.528861,0.999762,NS
MICU2,0.3885,0.7098,0.52999,0.999762,NS
PPP1CB,-0.3199,0.8609,0.530439,0.999762,NS
ALDH1B1,-0.4327,0.6344,0.531507,0.999762,NS
RTN4,-0.3406,0.8041,0.532257,0.999762,NS
BZW2,0.3204,0.8547,0.532284,0.999762,NS
MRPS23,0.3823,0.7147,0.53307,0.999762,NS
CYC1,-0.3285,0.8177,0.538795,0.999762,NS
MRPS36,0.3892,0.689,0.539364,0.999762,NS
MAP2K1,-0.3913,0.6842,0.5399,0.999762,NS
OSTF1,-0.7474,0.354,0.543766,0.999762,NS
NTMT1,-0.4375,0.5975,0.547729,0.999762,NS
S100A16,0.5457,0.479,0.547761,0.999762,NS
PIN1,0.297,0.873,0.55049,0.999762,NS
TLN2,0.3751,0.6906,0.550799,0.999762,NS
ALAD,0.4209,0.6152,0.550868,0.999762,NS
ADSS2,0.4428,0.5814,0.552775,0.999762,NS
DCTN4,0.3633,0.7054,0.55429,0.999762,NS
MPC2,0.3347,0.7627,0.555563,0.999762,NS
RRAS2,0.4316,0.591,0.555793,0.999762,NS
LDHD,-0.3585,0.711,0.556055,0.999762,NS
ANKRD2,-0.3634,0.7008,0.556357,0.999762,NS
IMPA2,-0.3714,0.6857,0.556381,0.999762,NS
CISD1,-0.2607,0.9739,0.55727,0.999762,NS
COL6A3,-0.4732,0.5366,0.557284,0.999762,NS
NLRX1,-0.3412,0.7434,0.557612,0.999762,NS
RPS9,0.4373,0.5765,0.559595,0.999762,NS
HRC,-0.3148,0.79990000000000006,0.560004,0.999762,NS
TOMM7,-0.5996,0.4197,0.560181,0.999762,NS
ISOC1,0.371,0.6711,0.563686,0.999762,NS
SEPTIN9,-0.4664,0.5315,0.565075,0.999762,NS
WDR1,0.2784,0.8889,0.56564,0.999762,NS
ARHGDIB,-0.6257,0.3945,0.566437,0.999762,NS
APIP,0.4992,0.4945,0.566476,0.999762,NS
MAPK9,-0.4614,0.5311,0.568759,0.999762,NS
LYRM7,0.3807,0.6422,0.569472,0.999762,NS
NAP1L4,0.3781,0.6446,0.570552,0.999762,NS
ANP32E,-0.715,0.3399,0.571402,0.999762,NS
CYCS,-0.3106,0.7781,0.573162,0.999762,NS
CHCHD2,-0.4011,0.6014,0.573798,0.999762,NS
SND1,-0.5129,0.4686,0.575022,0.999762,NS
GBE1,-0.3586,0.6689,0.5756,0.999762,NS
MRPL9,-0.5965,0.402,0.575724,0.999762,NS
SEPTIN7,-0.3362,0.7116,0.576416,0.999762,NS
DGLUCY,-0.4339,0.5501,0.577188,0.999762,NS
KRAS,-0.3396,0.7017,0.577734,0.999762,NS
PFDN2,0.3229,0.7342,0.579293,0.999762,NS
PSMA2,-0.3387,0.6991,0.579701,0.999762,NS
GNPDA1,0.2437,0.9697,0.580324,0.999762,NS
ARL1,-0.4659,0.5035,0.582719,0.999762,NS
TMEM43,-0.3769,0.6215,0.583144,0.999762,NS
MYO18A,-0.3894,0.5952,0.586486,0.999762,NS
CRIP2,-0.4843,0.4769,0.587511,0.999762,NS
HSPG2,-0.3887,0.592,0.588664,0.999762,NS
PALMD,0.3673,0.6255,0.589166,0.999762,NS
SSBP1,-0.288,0.7939,0.590671,0.999762,NS
AP1B1,-0.5978,0.3808,0.592005,0.999762,NS
VPS35,-0.2567,0.8824,0.593587,0.999762,NS
PGAM2,-0.2442,0.9226,0.595214,0.999762,NS
ATP5MC2,0.6307,0.3569,0.59554,0.999762,NS
PFDN4,-0.302,0.7439,0.596161,0.999762,NS
PSMB2,0.2526,0.8881,0.596511,0.999762,NS
SMIM4,0.4214,0.5318,0.596873,0.999762,NS
NEDD8,0.3174,0.7057,0.597028,0.999762,NS
CA14,-0.4614,0.4835,0.598316,0.999762,NS
NCL,-0.3055,0.7296,0.598523,0.999762,NS
MLIP,-0.4079,0.5453,0.599196,0.999762,NS
RPS8,0.3737,0.5914,0.60117,0.999762,NS
CD36,-0.3878,0.5693,0.601476,0.999762,NS
CASQ1,0.2472,0.8927,0.601605,0.999762,NS
RPL35,-0.5929,0.366,0.606736,0.999762,NS
PSMA7,0.2464,0.8795,0.60722,0.999762,NS
GNAS,-0.3071,0.7054,0.607254,0.999762,NS
AKR1C2,0.5015,0.4302,0.608474,0.999762,NS
MTCH2,-0.2989,0.7199,0.609233,0.999762,NS
SELENBP1,0.3054,0.698,0.612133,0.999762,NS
RUVBL1,-0.2896,0.7334,0.613205,0.999762,NS
UBE2K,0.3543,0.5977,0.614112,0.999762,NS
PLIN2,0.4293,0.4911,0.615394,0.999762,NS
CD81,0.4085,0.5123,0.617603,0.999762,NS
SEPTIN2,-0.3602,0.58,0.618088,0.999762,NS
CYB5R3,0.2681,0.7789,0.618285,0.999762,NS
EHBP1L1,-0.3287,0.6335,0.619126,0.999762,NS
COL18A1,0.3869,0.5372,0.619642,0.999762,NS
PSME1,0.3015,0.6854,0.621386,0.999762,NS
BPGM,0.4256,0.4848,0.621823,0.999762,NS
GSTO1,0.2821,0.7313,0.62191,0.999762,NS
BCAP29,0.4131,0.4978,0.622798,0.999762,NS
ALDH5A1,-0.2625,0.7812,0.623654,0.999762,NS
MT-CYB,0.3922,0.5226,0.623779,0.999762,NS
APOO,0.3286,0.6221,0.624582,0.999762,NS
MAVS,-0.2865,0.7117,0.625316,0.999762,NS
NQO2,0.6123,0.3319,0.626292,0.999762,NS
NDUFB7,-0.3364,0.6038,0.626396,0.999762,NS
PPID,-0.3133,0.6474,0.626821,0.999762,NS
CDC42,-0.337,0.6018,0.626902,0.999762,NS
PDLIM1,-0.3731,0.543,0.627208,0.999762,NS
TMOD4,-0.4427,0.4571,0.627544,0.999762,NS
VAPA,0.3577,0.5644,0.628162,0.999762,NS
METTL26,-0.3578,0.5628,0.628987,0.999762,NS
NDUFV3,-0.3876,0.5168,0.630472,0.999762,NS
DAD1,0.3485,0.5718,0.632002,0.999762,NS
PGPEP1,-0.3411,0.5833,0.632433,0.999762,NS
KRT1,0.5274,0.3757,0.633651,0.999762,NS
NRAP,0.3428,0.578,0.633655,0.999762,NS
RBBP4,-0.3258,0.605,0.635174,0.999762,NS
SYNPO2L,-0.5418,0.3631,0.635706,0.999762,NS
GCN1,-0.5836,0.3352,0.637368,0.999762,NS
PGRMC2,0.2574,0.7578,0.638121,0.999762,NS
SPCS1,-0.3652,0.5329,0.63881,0.999762,NS
CACNA2D1,-0.2418,0.8047,0.638935,0.999762,NS
AKAP12,-0.4488,0.4308,0.640701,0.999762,NS
OSBPL1A,0.4262,0.4505,0.642664,0.999762,NS
BPNT1,-0.3162,0.6063,0.64313,0.999762,NS
RNF123,0.2555,0.7499,0.643246,0.999762,NS
TSG101,0.3046,0.627,0.644155,0.999762,NS
OGN,-0.3943,0.4822,0.645428,0.999762,NS
SPPL2A,0.3772,0.5024,0.646431,0.999762,NS
PHKG1,0.3465,0.5439,0.647912,0.999762,NS
OGDH,-0.1905,0.9876,0.648424,0.999762,NS
AP2M1,0.2945,0.6386,0.648541,0.999762,NS
ATP5MG,0.3149,0.5927,0.650668,0.999762,NS
DDOST,0.2793,0.6642,0.652335,0.999762,NS
GNG12,0.3584,0.5157,0.653448,0.999762,NS
CLIC6,0.3793,0.4862,0.653994,0.999762,NS
DHRS7B,0.3165,0.5771,0.656674,0.999762,NS
DNM1L,-0.2786,0.6556,0.656713,0.999762,NS
UQCR10,0.367,0.496,0.657651,0.999762,NS
PLAA,-0.2779,0.6512,0.659201,0.999762,NS
UFD1,0.2805,0.6433,0.660041,0.999762,NS
NUBP2,-0.4965,0.3619,0.661172,0.999762,NS
ACTN3,0.6812,0.2631,0.661869,0.999762,NS
ATP1A2,0.2241,0.7995,0.662016,0.999762,NS
FARSB,0.3585,0.4995,0.662124,0.999762,NS
STIM1,0.3057,0.5843,0.662786,0.999762,NS
ACOT13,-0.2717,0.6525,0.664821,0.999762,NS
OXSR1,0.2863,0.6132,0.667471,0.999762,NS
HPRT1,0.3578,0.4907,0.667491,0.999762,NS
PRKCSH,-0.251,0.6983,0.667953,0.999762,NS
ARF4,-0.2715,0.6416,0.66955,0.999762,NS
DBT,-0.3078,0.5636,0.670664,0.999762,NS
ACTR1B,0.2829,0.6132,0.670727,0.999762,NS
MEMO1,0.3822,0.453,0.671202,0.999762,NS
STK38,0.317,0.5459,0.671336,0.999762,NS
FBLN5,0.4139,0.4163,0.672492,0.999762,NS
ENO2,-0.4038,0.4263,0.67278,0.999762,NS
DSTN,0.3193,0.5378,0.673468,0.999762,NS
FAM162A,0.243,0.703,0.674789,0.999762,NS
AIMP2,0.2834,0.5994,0.676344,0.999762,NS
SPRYD4,0.2682,0.6323,0.676776,0.999762,NS
AHCYL1,0.2666,0.6355,0.676977,0.999762,NS
PRKAA1,-0.2607,0.6497,0.67707,0.999762,NS
PM20D2,-0.3811,0.4425,0.678192,0.999762,NS
ARL3,0.3389,0.4912,0.681625,0.999762,NS
CDV3,-0.3201,0.514,0.684665,0.999762,NS
TIPRL,-0.4019,0.4089,0.684952,0.999762,NS
MLYCD,-0.2514,0.652,0.685607,0.999762,NS
CIRBP,0.2883,0.5682,0.685778,0.999762,NS
DNAJA3,-0.3981,0.4114,0.685803,0.999762,NS
