gene,logFC,neg_log10_p,pi_score,adj_pval,direction
EIF2S2,0.4408,0.7951,0.446187,0.795895,NS
PGM5,-0.4013,0.8695,0.44781,0.774018,NS
CCDC22,0.5161,0.6741,0.448846,0.831083,NS
FABP3,-0.322,1.0803,0.448896,0.705586,NS
S100A6,0.6438,0.5384,0.450188,0.916387,NS
TGM2,0.387,0.8916,0.451848,0.767294,NS
EHBP1L1,-0.3659,0.94,0.452954,0.736639,NS
PSMB2,0.2773,1.2347,0.454634,0.67205,NS
HECTD1,0.4046,0.8348,0.459443,0.780684,NS
RTN2,0.4006,0.8406,0.460489,0.778847,NS
PRPS1,0.3564,0.94,0.462326,0.736639,NS
HNRNPUL2,0.5038,0.6591,0.465538,0.836865,NS
SKP1,0.316,1.0505,0.465647,0.714894,NS
MT-ND2,0.4282,0.7749,0.465785,0.803842,NS
PGPEP1,-0.3816,0.8675,0.466581,0.774018,NS
FUBP1,0.3634,0.9061,0.468498,0.764918,NS
GPAT3,0.4311,0.7599,0.470343,0.803932,NS
COPB1,-0.4263,0.7681,0.470455,0.803932,NS
RUVBL1,-0.326,1.0015,0.471521,0.714894,NS
CARM1,0.4,0.8154,0.471912,0.792301,NS
ASPN,-0.6195,0.5246,0.473148,0.919237,NS
MCEE,-0.3605,0.8989,0.474154,0.765135,NS
SIRT5,-0.3223,1.0027,0.475149,0.714894,NS
ATP6V1G1,0.3612,0.8922,0.476144,0.767294,NS
CRADD,0.5336,0.6029,0.476716,0.872291,NS
MYH9,0.3564,0.8999,0.477865,0.765135,NS
MRPS17,0.4078,0.7822,0.479733,0.800977,NS
HINT1,-0.3258,0.9636,0.485338,0.723403,NS
CHMP4B,-0.3636,0.8623,0.485766,0.774018,NS
HSPH1,0.4566,0.6847,0.486794,0.830995,NS
H6PD,-0.3972,0.7864,0.487175,0.800977,NS
MRC2,-0.5481,0.5693,0.487514,0.900868,NS
RPLP0,0.3605,0.8614,0.489148,0.774018,NS
DMD,-0.2716,1.1369,0.491213,0.704809,NS
DDT,0.4411,0.6986,0.49188,0.82991,NS
STT3B,0.3678,0.8367,0.49233,0.780684,NS
RTN4,-0.3292,0.929,0.494503,0.749843,NS
SLC1A4,-0.4899,0.6237,0.494782,0.862111,NS
LSS,-0.4944,0.6179,0.494852,0.863739,NS
HSPG2,-0.405,0.7543,0.494917,0.803932,NS
TOM1,-0.2961,1.029,0.495769,0.714894,NS
MRPL47,0.3535,0.859,0.497005,0.774018,NS
CPT1A,0.4128,0.7326,0.498443,0.813117,NS
MDH1,-0.2511,1.1966,0.500661,0.683809,NS
SMYD1,-0.3027,0.9903,0.501471,0.714894,NS
ATP5MF,0.3643,0.8184,0.503313,0.792301,NS
PPIC,0.35,0.8517,0.503413,0.774507,NS
NPEPL1,-0.337,0.8839,0.503628,0.77091,NS
IDI1,-0.3261,0.9084,0.505568,0.764918,NS
ATP2B4,0.3702,0.7996,0.505782,0.792594,NS
MAP3K20,0.2626,1.1146,0.509719,0.704809,NS
RPL10A,0.4532,0.6433,0.511053,0.846581,NS
DDX19A,-0.2871,1.0033,0.515118,0.714894,NS
S100A11,0.5503,0.5232,0.51533,0.919237,NS
TXN2,-0.3697,0.7787,0.515351,0.800977,NS
DMAC2L,-0.3679,0.7809,0.516101,0.800977,NS
ECHDC1,-0.4222,0.6759,0.518375,0.831083,NS
HSPB1,-0.2817,1.0101,0.519311,0.714894,NS
MRPL37,-0.4316,0.6592,0.519418,0.836865,NS
RSU1,-0.2726,1.0419,0.519961,0.714894,NS
CHMP2A,0.3029,0.9359,0.520684,0.741149,NS
ERGIC1,-0.3292,0.8578,0.521933,0.774018,NS
HADHA,-0.2183,1.2899,0.522902,0.651468,NS
MRPS36,0.3668,0.7669,0.523232,0.803932,NS
BROX,0.3571,0.7847,0.524562,0.800977,NS
RCN2,-0.3265,0.8573,0.524937,0.774018,NS
PSMC4,-0.2513,1.1093,0.526298,0.704809,NS
BLVRA,0.2569,1.0832,0.526908,0.705586,NS
AKR1B1,-0.348,0.7992,0.52709,0.792594,NS
STK38L,-0.3547,0.782,0.528023,0.800977,NS
CSRP3,-0.3426,0.8088,0.528317,0.792594,NS
IMPDH2,0.277,1.0005,0.528329,0.714894,NS
SPG7,-0.395,0.7005,0.528772,0.82991,NS
HIGD1A,0.4936,0.5565,0.531255,0.908332,NS
PEA15,-0.6755,0.4054,0.532328,0.951816,NS
NDUFA11,0.3991,0.6847,0.532983,0.830995,NS
CNBP,-0.2753,0.9899,0.533946,0.714894,NS
PPP1R14B,-0.4701,0.5771,0.535387,0.894717,NS
KLHL40,0.4127,0.6574,0.535398,0.836865,NS
ZYX,0.3327,0.814,0.536017,0.792301,NS
SHOC2,0.3833,0.7057,0.536393,0.829853,NS
RDH13,-0.4362,0.6196,0.536689,0.862111,NS
TSG101,0.3396,0.7935,0.537639,0.796687,NS
COQ9,-0.244,1.1015,0.538571,0.704809,NS
COX20,-0.3752,0.7158,0.538779,0.819063,NS
MICOS13,0.3819,0.7016,0.539605,0.82991,NS
AP1G1,0.3934,0.6763,0.541923,0.831083,NS
PPP1R2,0.3582,0.7422,0.542225,0.80879,NS
DNPH1,-0.4162,0.638,0.542604,0.847448,NS
NHLRC2,-0.3391,0.7802,0.543764,0.800977,NS
ARPC1B,0.4916,0.5331,0.546971,0.918908,NS
SNRPG,0.4506,0.5767,0.549681,0.894717,NS
XPO1,-0.3634,0.7123,0.551021,0.819217,NS
ACP1,0.289,0.8929,0.552068,0.767294,NS
PPP2R2A,-0.2302,1.1206,0.552191,0.704809,NS
CAV1,-0.387,0.6626,0.55405,0.836865,NS
ATP2A3,0.308,0.832,0.554344,0.780684,NS
UBAP2L,-0.5318,0.4806,0.555145,0.933953,NS
ACTN1,0.6662,0.3813,0.557133,0.958888,NS
RPS28,0.4246,0.5976,0.557505,0.876579,NS
NRAP,0.3514,0.7199,0.558492,0.819063,NS
PPCS,0.3769,0.6694,0.559362,0.836308,NS
YBX1,0.2953,0.8433,0.563597,0.777856,NS
RPL31,-0.5318,0.4669,0.564541,0.941384,NS
RPS13,-0.5528,0.4487,0.564923,0.941384,NS
TPM3,0.4748,0.5198,0.566511,0.919237,NS
ACTR2,0.3264,0.7554,0.566783,0.803932,NS
LANCL1,-0.3025,0.8148,0.566942,0.792301,NS
CRKL,0.3313,0.7421,0.567729,0.80879,NS
OXCT1,-0.5845,0.4204,0.567897,0.944791,NS
RAN,0.2308,1.063,0.568432,0.714632,NS
TBCB,-0.2958,0.8284,0.568794,0.780684,NS
FXYD1,-0.501,0.4889,0.568928,0.931341,NS
COL4A2,-0.5546,0.4417,0.568934,0.941384,NS
STAC3,-0.3249,0.7489,0.571062,0.803932,NS
PYGM,-0.2094,1.1594,0.571718,0.691703,NS
SND1,-0.4665,0.516,0.57449,0.919237,NS
TIMMDC1,-0.4912,0.4852,0.57765,0.931975,NS
CALU,-0.2442,0.9755,0.577879,0.714894,NS
GAA,-0.3883,0.6087,0.580261,0.869196,NS
CAPN2,-0.3065,0.7711,0.580288,0.803932,NS
UBXN6,-0.4369,0.5382,0.581873,0.916387,NS
GPX4,0.2766,0.8458,0.583505,0.776257,NS
PPID,0.3574,0.6527,0.584445,0.838961,NS
PYURF,-0.557,0.4184,0.584671,0.944791,NS
VPS26A,0.2903,0.8021,0.585002,0.792594,NS
NUDT2,-0.399,0.5821,0.585734,0.888577,NS
THY1,-0.5843,0.3974,0.58592,0.956273,NS
ENDOD1,0.2971,0.7787,0.586991,0.800977,NS
NTMT1,-0.3706,0.6212,0.58854,0.862111,NS
EIF4A1,0.233,0.9844,0.589703,0.714894,NS
PSMD3,0.2104,1.0889,0.590036,0.705586,NS
HNRNPDL,0.3306,0.692,0.590538,0.830995,NS
COPS4,-0.224,1.0145,0.592549,0.714894,NS
RNF114,-0.3789,0.5984,0.593257,0.876513,NS
RPA3,0.3479,0.651,0.593648,0.838961,NS
SAR1A,0.3519,0.6397,0.595495,0.846581,NS
RAB14,0.3124,0.7168,0.597185,0.819063,NS
COL18A1,-0.379,0.5875,0.598813,0.888577,NS
FAM98A,-0.3616,0.6135,0.600047,0.865955,NS
HYOU1,0.3068,0.7154,0.603292,0.819063,NS
PSMA7,0.2286,0.96,0.603375,0.72342,NS
PLCL2,-0.4674,0.4627,0.607768,0.941384,NS
TPPP,0.4435,0.4851,0.609338,0.931975,NS
VTA1,-0.2436,0.8821,0.609714,0.77091,NS
RPS2,-0.285,0.7531,0.610005,0.803932,NS
ARMT1,0.2888,0.7427,0.610278,0.80879,NS
BCAT2,-0.3217,0.6659,0.610647,0.836865,NS
CSDE1,0.28,0.7645,0.610896,0.803932,NS
DPYSL2,-0.2852,0.7499,0.6111,0.803932,NS
TIMM50,-0.3517,0.6048,0.612799,0.870236,NS
