pathway,pathway_label,database,NES_Acute_HR,NES_Acute_LR,padj_Acute_HR,padj_Acute_LR,significance,set_size
GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,Negative Regulation Of Smooth Muscle Cell ...,GO:BP,-1.114,1.58,0.6018,0.2281,NS,10
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,Regulation Of Leukocyte Migration,GO:BP,1.468,1.226,0.2287,0.5718,NS,24
GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteasomal Ubiquitin Depend...,GO:BP,1.59,1.101,0.1097,0.6996,NS,33
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS,Hydrogen Peroxide Catabolic Process,GO:BP,0.897,1.792,0.8119,0.107,NS,12
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Intrinsic Apoptotic Signaling Pathway,GO:BP,1.558,1.127,0.08001,0.6468,NS,62
GOBP_WOUND_HEALING,Wound Healing,GO:BP,1.083,1.597,0.5889,0.1184,NS,69
GOBP_OSTEOBLAST_DIFFERENTIATION,Osteoblast Differentiation,GO:BP,1.322,1.356,0.3498,0.4062,NS,32
GOBP_DETOXIFICATION,Detoxification,GO:BP,1.012,1.662,0.7024,0.1136,NS,48
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,Tumor Necrosis Factor Superfamily Cytokine...,GO:BP,1.289,1.385,0.4157,0.4142,NS,17
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,Cardiac Chamber Morphogenesis,GO:BP,1.614,1.058,0.1406,0.7463,NS,12
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteasomal Protein...,GO:BP,1.177,1.495,0.5328,0.3267,NS,16
GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,Cardiac Muscle Tissue Morphogenesis,GO:BP,1.21,1.462,0.5041,0.3599,NS,11
GOBP_OSSIFICATION,Ossification,GO:BP,1.356,1.314,0.2784,0.4488,NS,45
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,Negative Regulation Of Protein Ubiquitination,GO:BP,1.363,1.304,0.3492,0.4992,NS,18
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Regulation Of Cardiac Muscle Contraction B...,GO:BP,1.63,-1.037,0.1193,0.7477,NS,18
GOBP_MEIOTIC_CELL_CYCLE,Meiotic Cell Cycle,GO:BP,1.476,1.187,0.2665,0.6465,NS,12
GOBP_DNA_REPLICATION,DNA Replication,GO:BP,1.742,0.919,0.07374,0.8377,NS,19
GOBP_POSITIVE_REGULATION_OF_VIRAL_PROCESS,Positive Regulation Of Viral Process,GO:BP,1.352,1.307,0.3564,0.4991,NS,16
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Negative Regulation Of Extrinsic Apoptotic...,GO:BP,1.324,1.334,0.3865,0.4762,NS,17
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR,Positive Regulation Of DNA Repair,GO:BP,1.581,1.076,0.1628,0.7249,NS,16
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,Positive Regulation Of Plasma Membrane Bou...,GO:BP,1.532,-1.124,0.1986,0.6792,NS,18
GOBP_PALLIUM_DEVELOPMENT,Pallium Development,GO:BP,1.305,1.351,0.3887,0.4682,NS,21
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,Cellular Response To Biotic Stimulus,GO:BP,1.266,1.388,0.4127,0.3996,NS,27
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,Cellular Component Disassembly,GO:BP,1.456,1.197,0.112,0.5226,NS,84
GOBP_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,Striated Muscle Cell Apoptotic Process,GO:BP,1.322,-1.331,0.4053,0.4861,NS,12
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,Regulation Of Organelle Assembly,GO:BP,1.677,-0.975,0.05594,0.79990000000000006,NS,39
GOBP_VASCULAR_TRANSPORT,Vascular Transport,GO:BP,-0.917,1.735,0.786,0.1215,NS,10
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Long Chain Fatty Acid Metabolic Process,GO:BP,-1.664,0.986,0.0908,0.7798,NS,23
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Ubiquitin Dependent...,GO:BP,1.384,1.264,0.3153,0.5423,NS,23
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,Positive Regulation Of Wnt Signaling Pathway,GO:BP,1.333,-1.315,0.3871,0.4861,NS,15
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,Nucleoside Triphosphate Metabolic Process,GO:BP,-1.508,-1.139,0.05399,0.5226,NS,130
GOBP_HEMOSTASIS,Hemostasis,GO:BP,1.161,1.478,0.5068,0.2659,NS,40
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,Negative Regulation Of Locomotion,GO:BP,1.437,1.202,0.184,0.5718,NS,44
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteolysis Involve...,GO:BP,1.141,1.496,0.5594,0.3192,NS,20
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,Regulation Of Response To Wounding,GO:BP,1.155,1.482,0.5472,0.3267,NS,23
GOBP_RESPONSE_TO_NUTRIENT,Response To Nutrient,GO:BP,-0.88,1.756,0.8627,0.09602,NS,32
GOBP_RIBOSOME_ASSEMBLY,Ribosome Assembly,GO:BP,1.619,1.017,0.1193,0.757,NS,22
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,Response To Type Ii Interferon,GO:BP,1.415,1.219,0.2868,0.5906,NS,22
GOBP_POSITIVE_REGULATION_OF_SECRETION,Positive Regulation Of Secretion,GO:BP,1.248,1.386,0.3919,0.3448,NS,49
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,Leukocyte Mediated Immunity,GO:BP,1.132,1.499,0.5541,0.2408,NS,40
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,Response To Temperature Stimulus,GO:BP,1.541,-1.09,0.1189,0.6779,NS,42
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Cellular Response To Molecule Of Bacterial...,GO:BP,1.25,1.378,0.4339,0.4124,NS,23
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Negative Regulation Of Lipid Metabolic Pro...,GO:BP,1.13,1.498,0.5839,0.3285,NS,11
GOBP_REGULATION_OF_CELL_SHAPE,Regulation Of Cell Shape,GO:BP,1.632,0.996,0.1189,0.7763,NS,20
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,Cellular Response To Toxic Substance,GO:BP,1.026,1.6,0.6793,0.1484,NS,50
GOBP_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS,Cellular Response To Osmotic Stress,GO:BP,-1.589,1.037,0.1517,0.7484,NS,17
GOBP_ISOPRENOID_METABOLIC_PROCESS,Isoprenoid Metabolic Process,GO:BP,1.294,1.328,0.4116,0.48,NS,19
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,Nuclear Transcribed Mrna Catabolic Process,GO:BP,1.805,0.817,0.06465,0.8939,NS,14
GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,Purine Containing Compound Catabolic Process,GO:BP,-1.497,-1.122,0.1277,0.6394,NS,55
GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION,Smooth Muscle Cell Proliferation,GO:BP,-0.893,1.726,0.8373,0.1215,NS,19
GOBP_EXOCYTOSIS,Exocytosis,GO:BP,1.27,1.347,0.3747,0.393,NS,47
GOBP_NADPH_REGENERATION,Nadph Regeneration,GO:BP,-1.019,1.597,0.6992,0.2217,NS,13
GOBP_ENDOCYTIC_RECYCLING,Endocytic Recycling,GO:BP,1.251,-1.364,0.4431,0.4192,NS,17
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION,Negative Regulation Of Protein Localization,GO:BP,1.26,1.35,0.3984,0.4111,NS,37
GOBP_STRESS_GRANULE_ASSEMBLY,Stress Granule Assembly,GO:BP,1.617,-0.993,0.1624,0.7763,NS,10
GOBP_REGULATION_OF_KINASE_ACTIVITY,Regulation Of Kinase Activity,GO:BP,1.173,1.43,0.4962,0.3267,NS,36
GOBP_NEURON_MIGRATION,Neuron Migration,GO:BP,1.224,-1.377,0.4796,0.4062,NS,16
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,0.901,1.699,0.8277,0.1335,NS,23
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,Negative Regulation Of Reproductive Process,GO:BP,1.16,1.439,0.5594,0.381,NS,10
GOBP_FOREBRAIN_DEVELOPMENT,Forebrain Development,GO:BP,1.163,1.433,0.5095,0.3285,NS,31
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Regulation Of Cardiac Muscle Contraction,GO:BP,1.609,-0.987,0.1215,0.7763,NS,24
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,Cellular Response To External Stimulus,GO:BP,-0.955,1.64,0.7549,0.1923,NS,11
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Negative Regulation Of Protein Modificatio...,GO:BP,1.214,1.381,0.4414,0.3542,NS,45
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,Lymphocyte Mediated Immunity,GO:BP,0.99,1.604,0.7262,0.1872,NS,31
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,Positive Regulation Of Cytoplasmic Transla...,GO:BP,1.554,1.04,0.1961,0.7526,NS,11
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,Cytochrome Complex Assembly,GO:BP,-1.855,0.739,0.05399,0.9351,NS,16
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Regulation Of Generation Of Precursor Meta...,GO:BP,-1.162,-1.432,0.5041,0.2758,NS,38
GOBP_REGULATION_OF_ATP_DEPENDENT_ACTIVITY,Regulation Of ATP Dependent Activity,GO:BP,1.303,1.29,0.4084,0.5226,NS,14
GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION,Regulation Of Protein Ubiquitination,GO:BP,1.567,1.026,0.09775,0.7507,NS,45
GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,Nucleic Acid Catabolic Process,GO:BP,1.473,1.116,0.1616,0.6758,NS,46
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Chaperone Mediated Protein Folding,GO:BP,1.571,1.017,0.1089,0.757,NS,39
GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,Negative Regulation Of Transport,GO:BP,1.405,1.179,0.1694,0.5682,NS,73
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,Regulation Of Body Fluid Levels,GO:BP,1.021,1.561,0.6817,0.1798,NS,53
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Regulation Of Immune Effector Process,GO:BP,1.203,1.379,0.456,0.3589,NS,44
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,1.463,1.119,0.2018,0.6812,NS,34
GOBP_TUBE_FORMATION,Tube Formation,GO:BP,1.646,0.935,0.1277,0.8246,NS,12
GOBP_DIGESTIVE_SYSTEM_PROCESS,Digestive System Process,GO:BP,1.057,1.523,0.6652,0.3064,NS,13
GOBP_MUSCLE_HYPERTROPHY,Muscle Hypertrophy,GO:BP,1.517,1.062,0.1809,0.7325,NS,23
GOBP_INTERLEUKIN_1_PRODUCTION,Interleukin 1 Production,GO:BP,1.803,-0.774,0.05395,0.9154,NS,10
GOBP_PROTEIN_NEDDYLATION,Protein Neddylation,GO:BP,-1.529,-1.048,0.1834,0.7421,NS,16
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,Fatty Acid Derivative Metabolic Process,GO:BP,-1.532,-1.044,0.1775,0.7463,NS,18
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,Regulation Of Intracellular Transport,GO:BP,1.51,-1.066,0.1189,0.6996,NS,56
GOBP_REGULATION_OF_ENDOCYTOSIS,Regulation Of Endocytosis,GO:BP,1.184,1.391,0.4582,0.3429,NS,52
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,Cell Activation Involved In Immune Response,GO:BP,1.383,1.191,0.316,0.6199,NS,22
GOBP_IMPORT_INTO_THE_MITOCHONDRION,Import Into The Mitochondrion,GO:BP,-1.367,-1.205,0.3263,0.5745,NS,21
GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS,Negative Regulation Of Hemopoiesis,GO:BP,1.194,1.378,0.52,0.4648,NS,11
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,Protein Transmembrane Import Into Intracel...,GO:BP,-0.921,-1.649,0.7996,0.1923,NS,15
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION,Establishment Of RNA Localization,GO:BP,1.313,1.257,0.3887,0.5599,NS,20
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,Negative Regulation Of Actin Filament Depo...,GO:BP,0.834,1.736,0.8825,0.1332,NS,15
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,Regulation Of Actin Filament Organization,GO:BP,1.001,1.564,0.7174,0.181,NS,46
GOBP_SEX_DIFFERENTIATION,Sex Differentiation,GO:BP,1.109,1.456,0.5952,0.3506,NS,20
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,Negative Regulation Of Cell Growth,GO:BP,1.354,-1.209,0.363,0.5928,NS,15
GOBP_PROTEIN_DEPOLYMERIZATION,Protein Depolymerization,GO:BP,0.884,1.679,0.8445,0.1332,NS,26
GOBP_TOR_SIGNALING,Tor Signaling,GO:BP,-0.798,-1.765,0.9251,0.1001,NS,35
GOBP_NADP_METABOLIC_PROCESS,Nadp Metabolic Process,GO:BP,-1.208,1.354,0.4849,0.4659,NS,18
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,Negative Regulation Of Kinase Activity,GO:BP,1.026,1.536,0.6815,0.2659,NS,18
GOBP_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,Regulation Of Amyloid Precursor Protein Ca...,GO:BP,1.062,1.5,0.6647,0.3285,NS,11
GOBP_NUCLEAR_TRANSPORT,Nuclear Transport,GO:BP,1.411,1.15,0.1809,0.6163,NS,63
GOBP_REGULATION_OF_DNA_RECOMBINATION,Regulation Of DNA Recombination,GO:BP,1.458,1.103,0.2672,0.7053,NS,15
GOBP_PROTEIN_K63_LINKED_UBIQUITINATION,Protein K63 Linked Ubiquitination,GO:BP,1.064,-1.496,0.663,0.3358,NS,11
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,Pyridine Containing Compound Metabolic Pro...,GO:BP,-1.468,1.092,0.1189,0.6812,NS,75
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Ribosomal Small Subunit Biogenesis,GO:BP,1.537,1.023,0.1671,0.7562,NS,26
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Protein Catabolic P...,GO:BP,1.191,1.368,0.4889,0.4316,NS,24
GOBP_PLACENTA_DEVELOPMENT,Placenta Development,GO:BP,1.35,-1.207,0.365,0.5943,NS,15
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Response To Endoplasmic Reticulum Stress,GO:BP,1.533,1.023,0.0925,0.7517,NS,64
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Regulation Of Protein Localization To Nucleus,GO:BP,0.988,1.567,0.7282,0.194,NS,36
GOBP_REGULATION_OF_CYTOPLASMIC_TRANSLATION,Regulation Of Cytoplasmic Translation,GO:BP,1.49,1.064,0.2472,0.73740000000000006,NS,14
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Negative Regulation Of Epithelial Cell Pro...,GO:BP,-0.947,1.605,0.762,0.2155,NS,10
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,Positive Regulation Of Mrna Metabolic Process,GO:BP,1.402,1.149,0.3186,0.6683,NS,19
GOBP_AXONAL_TRANSPORT,Axonal Transport,GO:BP,1.078,-1.472,0.6406,0.3516,NS,13
GOBP_MEIOTIC_CELL_CYCLE_PROCESS,Meiotic Cell Cycle Process,GO:BP,1.341,1.209,0.3887,0.6191,NS,11
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,Positive Regulation Of Cell Projection Org...,GO:BP,1.429,1.121,0.2157,0.6742,NS,40
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS,Embryonic Organ Morphogenesis,GO:BP,1.29,1.259,0.429,0.5708,NS,11
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,Intrinsic Apoptotic Signaling Pathway In R...,GO:BP,1.035,1.513,0.6831,0.3192,NS,11
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,0.836,1.712,0.9076,0.09602,NS,55
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Extrinsic Apoptotic Signalin...,GO:BP,1.439,1.108,0.2506,0.6945,NS,24
GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION,Positive Regulation Of Phosphorylation,GO:BP,1.281,1.266,0.3929,0.5226,NS,29
GOBP_RESPONSE_TO_ACTIVITY,Response To Activity,GO:BP,-0.771,1.775,0.9438,0.09602,NS,26
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,-1.614,0.931,0.06048,0.8466,NS,61
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,Actin Filament Bundle Organization,GO:BP,1.334,1.208,0.3346,0.5745,NS,35
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Adaptive Immune Response Based On Somatic ...,GO:BP,-0.892,1.643,0.8349,0.1616,NS,26
GOBP_AMIDE_METABOLIC_PROCESS,Amide Metabolic Process,GO:BP,-1.507,1.028,0.06465,0.7484,NS,109
GOBP_REGULATION_OF_TRANSLATION,Regulation Of Translation,GO:BP,1.423,1.108,0.1258,0.6529,NS,93
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,Monosaccharide Biosynthetic Process,GO:BP,-1.395,1.135,0.2653,0.6647,NS,34
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,Amide Biosynthetic Process,GO:BP,-1.622,0.906,0.07374,0.8663,NS,42
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION,Negative Regulation Of Lymphocyte Activation,GO:BP,1.272,1.256,0.4431,0.5745,NS,11
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,Regulation Of The Force Of Heart Contraction,GO:BP,1.561,-0.967,0.1722,0.7948,NS,15
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Actomyosin Structure Organization,GO:BP,1.371,1.156,0.2177,0.6116,NS,66
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Positive Regulation Of Protein Localizatio...,GO:BP,1.304,1.223,0.4024,0.5868,NS,17
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,Cytokine Production Involved In Immune Res...,GO:BP,-1.084,-1.442,0.6322,0.3773,NS,12
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,Regulation Of Neurotransmitter Transport,GO:BP,1.062,1.463,0.6602,0.3589,NS,12
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS,Sulfur Compound Biosynthetic Process,GO:BP,-1.61,0.911,0.08823,0.8615,NS,41
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS,Development Of Primary Sexual Characteristics,GO:BP,1.058,1.461,0.6647,0.3506,NS,16
GOBP_REGULATION_OF_CILIUM_ASSEMBLY,Regulation Of Cilium Assembly,GO:BP,1.386,-1.131,0.3572,0.6812,NS,10
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY,Positive Regulation Of Macroautophagy,GO:BP,-0.862,-1.648,0.8697,0.1785,NS,22
GOBP_PYRUVATE_METABOLIC_PROCESS,Pyruvate Metabolic Process,GO:BP,-1.604,-0.9,0.06905,0.8802,NS,53
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,Regulation Of Double Strand Break Repair,GO:BP,1.621,0.882,0.1301,0.8665,NS,15
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,Regulation Of Systemic Arterial Blood Pres...,GO:BP,1.081,1.422,0.6388,0.3992,NS,13
GOBP_VIRAL_TRANSLATION,Viral Translation,GO:BP,1.495,-1.008,0.2539,0.7651,NS,12
GOBP_CELLULAR_RESPONSE_TO_UV,Cellular Response To Uv,GO:BP,1.371,1.13,0.3564,0.6904,NS,13
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,Polysaccharide Biosynthetic Process,GO:BP,-1.311,-1.188,0.3983,0.6155,NS,15
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,1.458,1.041,0.2359,0.7464,NS,26
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,Biological Process Involved In Symbiotic I...,GO:BP,1.33,1.168,0.3109,0.6127,NS,46
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Phospholipid Biosynthetic Process,GO:BP,-0.889,-1.609,0.8373,0.1911,NS,26
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,Negative Regulation Of Cellular Response T...,GO:BP,1.528,-0.966,0.2297,0.8001,NS,10
GOBP_CELLULAR_RESPONSE_TO_RADIATION,Cellular Response To Radiation,GO:BP,1.384,1.109,0.316,0.6945,NS,22
GOBP_GMP_METABOLIC_PROCESS,Gmp Metabolic Process,GO:BP,0.771,1.722,0.9099,0.1215,NS,11
GOBP_TORC1_SIGNALING,Torc1 Signaling,GO:BP,0.649,-1.84,0.9804,0.107,NS,24
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,Positive Regulation Of Cytokine Production...,GO:BP,-1.14,-1.348,0.566,0.4738,NS,11
GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Positive Regulation Of Cytoskeleton Organi...,GO:BP,1.625,0.863,0.08005,0.8848,NS,36
GOBP_VIRAL_GENE_EXPRESSION,Viral Gene Expression,GO:BP,1.723,0.764,0.08001,0.9252,NS,21
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,Regulation Of Cellular Response To Growth ...,GO:BP,1.451,-1.035,0.2256,0.73740000000000006,NS,31
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Carbohydrate Biosynthetic Process,GO:BP,-1.314,1.171,0.3153,0.5956,NS,53
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,Regulation Of Lymphocyte Differentiation,GO:BP,0.924,1.561,0.7827,0.259,NS,14
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,Organelle Transport Along Microtubule,GO:BP,1.286,1.196,0.4268,0.6351,NS,13
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,Positive Regulation Of Intracellular Trans...,GO:BP,1.047,-1.435,0.6656,0.3285,NS,27
GOBP_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,GO:BP,1.451,-1.03,0.1889,0.7433,NS,41
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.373,1.108,0.3076,0.6944,NS,32
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,Organic Hydroxy Compound Transport,GO:BP,0.702,1.775,0.9792,0.09602,NS,32
GOBP_REGULATION_OF_DNA_REPAIR,Regulation Of DNA Repair,GO:BP,1.631,0.846,0.1101,0.888,NS,24
GOBP_ERAD_PATHWAY,Erad Pathway,GO:BP,1.612,0.862,0.1277,0.8754,NS,20
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Aspartate Family Amino Acid Metabolic Process,GO:BP,-1.805,0.668,0.05067,0.9635,NS,13
GOBP_MICROTUBULE_POLYMERIZATION,Microtubule Polymerization,GO:BP,1.68,0.79,0.0908,0.9115,NS,21
GOBP_NEUROTRANSMITTER_TRANSPORT,Neurotransmitter Transport,GO:BP,0.998,1.47,0.7174,0.3468,NS,17
GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,Regulation Of Receptor Mediated Endocytosis,GO:BP,0.89,1.577,0.8197,0.2408,NS,16
GOBP_NEURAL_TUBE_DEVELOPMENT,Neural Tube Development,GO:BP,1.495,-0.969,0.2595,0.79990000000000006,NS,10
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,Hepaticobiliary System Development,GO:BP,-1.19,-1.273,0.5041,0.5226,NS,17
GOBP_VACUOLE_ORGANIZATION,Vacuole Organization,GO:BP,1.106,-1.357,0.5839,0.3468,NS,40
GOBP_SULFUR_COMPOUND_CATABOLIC_PROCESS,Sulfur Compound Catabolic Process,GO:BP,-1.657,0.805,0.1189,0.8977,NS,11
GOBP_REGULATION_OF_CHEMOTAXIS,Regulation Of Chemotaxis,GO:BP,1.111,1.347,0.5934,0.4689,NS,17
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Regulation Of Protein Containing Complex D...,GO:BP,1.039,1.419,0.6766,0.3552,NS,28
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION,Long Term Synaptic Potentiation,GO:BP,1.05,1.407,0.6656,0.4142,NS,12
GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION,Positive Regulation Of Peptide Secretion,GO:BP,1.122,1.334,0.5801,0.4776,NS,20
GOBP_NEGATIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Negative Regulation Of Post Translational ...,GO:BP,1.154,1.302,0.5503,0.5041,NS,20
GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Regulation Of Ubiquitin Dependent Protein ...,GO:BP,1.367,1.089,0.2756,0.7009,NS,42
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION,Positive Regulation Of Cell Matrix Adhesion,GO:BP,-0.983,-1.472,0.7297,0.3429,NS,14
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,Regulation Of Release Of Sequestered Calci...,GO:BP,1.608,-0.847,0.1277,0.888,NS,19
