"group","pathway","database","padj","pval","overlap","size","odds_ratio"
"pink","REACTOME_MRNA_SPLICING","Reactome",0.0013989588965083,8.69623097829484e-05,8,28,7.25252525252525
"pink","GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY","GO:MF",0.00187238025954163,4.60448346074361e-05,9,33,6.85331632653061
"pink","GOMF_MRNA_3_UTR_BINDING","GO:MF",0.00187238025954163,4.80097502446571e-05,8,26,8.06734006734007
"pink","HALLMARK_MYC_TARGETS_V1","Hallmark",0.00204230097440513,6.18879083153069e-05,18,120,3.39656311962987
"pink","GOCC_SPLICEOSOMAL_COMPLEX","GO:CC",0.004115316635505,0.000372006023548475,7,26,6.61684210526316
"pink","GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME","GO:BP",0.00809059418751977,0.000193892235430757,6,17,9.74257425742574
"pink","GOCC_ROUGH_ENDOPLASMIC_RETICULUM","GO:CC",0.00973181768430288,0.000934694353859599,5,15,8.84803921568627
"pink","GOCC_CATALYTIC_STEP_2_SPLICEOSOME","GO:CC",0.0173131589708691,0.00176066023432567,5,17,7.36519607843137
"pink","GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS","GO:BP",0.026190849726867,0.000713258434827534,9,46,4.41312741312741
"pink","GOBP_NUCLEAR_EXPORT","GO:BP",0.0271146204051105,0.000767952211909448,7,29,5.705
"pink","GOCC_NUCLEAR_RIBONUCLEOPROTEIN_GRANULE","GO:CC",0.0276728997921446,0.00297053726582343,7,36,4.31103448275862
"pink","HALLMARK_ALLOGRAFT_REJECTION","Hallmark",0.031731830897155,0.00192314126649424,6,25,5.61542470036477
"pink","GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS","GO:BP",0.0317796080312264,0.000934694353859599,5,15,8.84803921568627
"purple","REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION","Reactome",0.000174590346973558,4.71865802631237e-07,14,76,6.72150537634409
"purple","REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT","Reactome",0.00101714927866454,5.49810420899753e-06,19,163,4.08787878787879
