gene,logFC,neg_log10_p,pi_score,adj_pval,direction
RO60,-0.5114,0.3396,0.670412,0.923045,NS
TMEM109,0.3173,0.5458,0.671152,0.844022,NS
ANK2,-0.2188,0.7894,0.671802,0.714062,NS
EIF4A1,0.2074,0.8299,0.672822,0.693942,NS
ATP5MG,0.2868,0.5979,0.673767,0.812221,NS
PPIA,0.2583,0.662,0.674503,0.762786,NS
DNM1L,-0.2526,0.6767,0.674625,0.756062,NS
RDH11,0.2903,0.5887,0.674711,0.820096,NS
TOMM70,-0.2981,0.5713,0.675617,0.827453,NS
DCTN1,-0.2295,0.7381,0.677082,0.73272,NS
PM20D2,-0.3721,0.4534,0.678118,0.870733,NS
SYNGR2,0.2658,0.6323,0.679146,0.78438,NS
PCCB,-0.2316,0.7244,0.679585,0.736694,NS
PSMA7,0.206,0.8091,0.681294,0.697373,NS
TARS1,-0.3018,0.5508,0.681995,0.841174,NS
ISOC2,-0.2536,0.6528,0.68301,0.769722,NS
RAB21,-0.3476,0.4729,0.684875,0.866399,NS
PTGES3,0.2809,0.58,0.687177,0.825194,NS
NIPSNAP3B,-0.2829,0.5721,0.688885,0.827453,NS
ALDH5A1,-0.2217,0.7286,0.689423,0.734675,NS
LRRC20,-0.262,0.6106,0.691834,0.805507,NS
RAB2B,-0.3304,0.4804,0.69388,0.866399,NS
SMYD2,0.3271,0.4849,0.694065,0.863874,NS
PLPBP,-0.2235,0.7072,0.694982,0.739128,NS
LAMTOR3,0.2192,0.7171,0.69632,0.738251,NS
RPSA,0.2917,0.5386,0.696422,0.845989,NS
CFL2,-0.1837,0.8548,0.696513,0.68684,NS
ARF1,0.2391,0.6534,0.697844,0.769722,NS
MYH14,-0.2183,0.7137,0.698501,0.738378,NS
MYH7,0.3915,0.3973,0.698922,0.90857,NS
MMUT,-0.2116,0.7329,0.699745,0.732806,NS
DYNC1H1,-0.1942,0.7984,0.699816,0.702761,NS
UBE2R2,0.2953,0.523,0.700697,0.851603,NS
C11orf68,0.2024,0.7618,0.701135,0.725964,NS
SGTA,-0.2392,0.6437,0.701531,0.776456,NS
THOP1,0.3266,0.4712,0.701618,0.866399,NS
DNAJA3,0.3344,0.4597,0.701936,0.866399,NS
SYNJ2BP,-0.2041,0.7517,0.702456,0.725964,NS
CPA3,-0.3046,0.4963,0.706047,0.859409,NS
TPI1,-0.1669,0.9045,0.706363,0.649429,NS
MYBPC2,0.3971,0.3782,0.707696,0.911576,NS
SDHA,-0.1718,0.8723,0.708231,0.667328,NS
IL18,0.3906,0.3816,0.709476,0.911576,NS
YWHAH,-0.222,0.6691,0.710278,0.756062,NS
KRT1,-0.4333,0.3429,0.710304,0.923045,NS
PGK1,-0.1784,0.831,0.710844,0.693942,NS
MYPN,-0.2912,0.5082,0.711252,0.859409,NS
SPCS1,-0.2876,0.513,0.712017,0.859409,NS
LIMS1,-0.243,0.605,0.712816,0.81173,NS
TRAP1,-0.1956,0.7515,0.712835,0.725964,NS
PSMB1,0.1882,0.7798,0.713231,0.717958,NS
YWHAG,-0.2275,0.6442,0.713592,0.776456,NS
PYGL,-0.4334,0.3371,0.714346,0.923045,NS
SFPQ,0.3675,0.3974,0.714431,0.90857,NS
ESYT1,0.2953,0.4945,0.714448,0.859409,NS
ADH5,-0.2058,0.7091,0.714637,0.738741,NS
S100A13,-0.3671,0.3956,0.715816,0.909403,NS
PDXK,0.2468,0.5878,0.716003,0.820096,NS
UBE3C,0.2506,0.5763,0.717065,0.826666,NS
TOLLIP,-0.2264,0.6353,0.718024,0.78438,NS
LUM,-0.2665,0.539,0.718381,0.845989,NS
DDX17,0.2917,0.4925,0.718392,0.859409,NS
KRAS,-0.2487,0.5757,0.71918,0.826666,NS
CAMK2G,-0.2737,0.5215,0.71987,0.853114,NS
NLRX1,-0.2427,0.5823,0.722288,0.825194,NS
PAICS,0.1987,0.7105,0.722509,0.738741,NS
EHD4,0.3453,0.4083,0.722797,0.906194,NS
HNRNPU,0.3057,0.4607,0.723049,0.866399,NS
HNRNPK,0.2075,0.6772,0.723591,0.756062,NS
CRYZ,-0.2601,0.5369,0.725016,0.845989,NS
ACACA,0.3306,0.4222,0.725132,0.893987,NS
FBLN2,0.4472,0.3109,0.726083,0.931129,NS
RPS3,0.2117,0.6561,0.726323,0.769722,NS
QARS1,-0.1985,0.699,0.726467,0.743967,NS
HSDL1,-0.2622,0.527,0.727488,0.847699,NS
PDAP1,0.2901,0.4736,0.728792,0.866399,NS
PLGRKT,0.2888,0.4755,0.728939,0.866399,NS
SUCLA2,-0.176,0.7797,0.72914,0.717958,NS
TPM1,0.3282,0.4164,0.730042,0.900367,NS
RBKS,-0.4653,0.2924,0.731064,0.931129,NS
UBE2K,0.2726,0.4974,0.731797,0.859409,NS
RMDN1,-0.2608,0.5154,0.733777,0.858935,NS
PRELP,-0.3769,0.3562,0.734077,0.923045,NS
NT5C1A,-0.2495,0.5375,0.734275,0.845989,NS
EEF1A1,-0.2341,0.5723,0.73456,0.827453,NS
PSMD10,-0.2464,0.5431,0.734858,0.845989,NS
MAT2A,0.2228,0.6,0.735038,0.812221,NS
NIPSNAP2,-0.2108,0.6335,0.735289,0.78438,NS
MRPL46,0.2488,0.5346,0.736214,0.845989,NS
PALMD,0.2663,0.4986,0.736549,0.859409,NS
PSME3,-0.237,0.5577,0.737611,0.834456,NS
DHTKD1,-0.3477,0.3797,0.737898,0.911576,NS
CYB5R3,0.2048,0.6443,0.738001,0.776456,NS
PIN4,-0.2549,0.5174,0.738054,0.858748,NS
EIF2S1,-0.1941,0.6756,0.739404,0.756062,NS
LAP3,-0.2477,0.5291,0.739461,0.847503,NS
ARL6IP5,-0.2254,0.5815,0.739523,0.825194,NS
IDH3B,-0.1943,0.6724,0.740138,0.756062,NS
TMX4,-0.2175,0.5989,0.740812,0.812221,NS
MXRA7,0.4293,0.3029,0.741259,0.931129,NS
CALM1,0.2157,0.6014,0.741782,0.812221,NS
PTPN11,0.2609,0.4969,0.741955,0.859409,NS
LCMT1,-0.235,0.5464,0.744013,0.844022,NS
MYO6,-0.2396,0.5352,0.744352,0.845989,NS
NDUFA10,-0.2287,0.5603,0.744466,0.834456,NS
AKT1,-0.3174,0.4033,0.744728,0.908485,NS
COQ5,-0.2407,0.5312,0.744929,0.847352,NS
MYL3,0.3439,0.3703,0.745841,0.915823,NS
CAVIN4,-0.2369,0.5361,0.746433,0.845989,NS
SUMO2,-0.253,0.4996,0.747427,0.859409,NS
ECHS1,-0.1778,0.7099,0.747802,0.738741,NS
CYC1,-0.2233,0.5582,0.7505,0.834456,NS
PDHB,-0.1701,0.7315,0.750931,0.732806,NS
TMLHE,0.2355,0.5277,0.751159,0.847699,NS
PLIN2,0.3193,0.3886,0.751513,0.911576,NS
DYNC1I2,-0.2052,0.6026,0.752243,0.812221,NS
DNAJC19,-0.2702,0.4573,0.752336,0.867537,NS
RDX,-0.1665,0.7414,0.752539,0.73272,NS
MFAP4,-0.3307,0.3731,0.752701,0.915823,NS
MPDU1,-0.2795,0.4399,0.7534,0.880148,NS
PPIB,0.2308,0.5329,0.75341,0.846558,NS
ATP5F1C,-0.1789,0.6832,0.75466,0.756062,NS
ACTB,0.28,0.4347,0.755583,0.883272,NS
PHKB,-0.2323,0.5209,0.756853,0.853114,NS
