acc	gene	sources	n_sources
Q16555	DPYSL2	JPR2017;RESPIRE;This study	3
Q16720	ATP2B3	JPR2017;RESPIRE;This study	3
Q4KMP7	TBC1D10B	JPR2017;RESPIRE;This study	3
Q58FF6	HSP90AB4P	JPR2017;RESPIRE;This study	3
Q5JTH9	RRP12	JPR2017;RESPIRE;This study	3
Q5T2T1	MPP7	JPR2017;RESPIRE;This study	3
Q5T3F8	TMEM63B	JPR2017;RESPIRE;This study	3
Q5T4F4	ZFYVE27	JPR2017;RESPIRE;This study	3
Q5T4S7	UBR4	JPR2017;RESPIRE;This study	3
Q5VST6	ABHD17B	JPR2017;RESPIRE;This study	3
Q5W0Z9	ZDHHC20	JPR2017;RESPIRE;This study	3
Q658P3	STEAP3	JPR2017;RESPIRE;This study	3
Q6IAA8	LAMTOR1	JPR2017;RESPIRE;This study	3
Q6NXT1	ANKRD54	JPR2017;This study;Uniprot	3
Q6NYC1	JMJD6	JPR2017;RESPIRE;Uniprot	3
Q6P1M0	SLC27A4	JPR2017;RESPIRE;This study	3
Q6P1N0	CC2D1A	JPR2017;RESPIRE;This study	3
Q6PIU2	NCEH1	JPR2017;RESPIRE;This study	3
Q6RW13	AGTRAP	JPR2017;RESPIRE;This study	3
Q6ZRP7	QSOX2	JPR2017;RESPIRE;This study	3
Q6ZUX7	LHFPL2	JPR2017;RESPIRE;This study	3
Q7KYR7	BTN2A1	JPR2017;RESPIRE;This study	3
Q7L9B9	EEPD1	JPR2017;RESPIRE;This study	3
Q7RTP6	MICAL3	JPR2017;RESPIRE;This study	3
Q7Z403	TMC6	JPR2017;RESPIRE;This study	3
Q7Z4W1	DCXR	JPR2017;RESPIRE;This study	3
Q86T03	PIP4P1	JPR2017;RESPIRE;This study	3
Q86YS7	C2CD5	JPR2017;RESPIRE;This study	3
Q8IUI8	CRLF3	JPR2017;RESPIRE;This study	3
Q8IUW5	RELL1	JPR2017;RESPIRE;This study	3
Q8IWA5	SLC44A2	JPR2017;RESPIRE;This study	3
Q8IXJ6	SIRT2	JPR2017;RESPIRE;This study	3
Q8IY33	MICALL2	JPR2017;RESPIRE;This study	3
Q8IZ07	ANKRD13A	JPR2017;RESPIRE;This study	3
Q8IZY2	ABCA7	JPR2017;RESPIRE;This study	3
Q8N138	ORMDL3	JPR2017;RESPIRE;This study	3
Q8N370	SLC43A2	JPR2017;RESPIRE;This study	3
Q8N4S9	MARVELD2	JPR2017;RESPIRE;This study	3
Q8NB49	ATP11C	JPR2017;RESPIRE;Uniprot	3
Q8NBX0	SCCPDH	JPR2017;RESPIRE;This study	3
Q8NC51	SERBP1	JPR2017;RESPIRE;This study	3
Q8NCG7	DAGLB	JPR2017;RESPIRE;This study	3
Q8NCT1	ARRDC4	JPR2017;RESPIRE;This study	3
Q8ND76	CCNY	JPR2017;RESPIRE;This study	3
Q8NG06	TRIM58	JPR2017;This study;Uniprot	3
Q8NHG7	SVIP	JPR2017;RESPIRE;This study	3
Q8NHP6	MOSPD2	JPR2017;RESPIRE;This study	3
Q8TAV4	STOML3	JPR2017;RESPIRE;This study	3
Q8TCT8	SPPL2A	JPR2017;RESPIRE;This study	3
Q8TDB8	SLC2A14	JPR2017;RESPIRE;This study	3
Q8TEH3	DENND1A	JPR2017;RESPIRE;This study	3
Q8TF72	SHROOM3	JPR2017;RESPIRE;This study	3
Q8WU76	SCFD2	JPR2017;RESPIRE;This study	3
Q8WUD1	RAB2B	JPR2017;RESPIRE;This study	3
Q8WVM8	SCFD1	JPR2017;RESPIRE;This study	3
Q8WXX5	DNAJC9	JPR2017;RESPIRE;This study	3
Q8WZ73	RFFL	JPR2017;RESPIRE;This study	3
Q92485	SMPDL3B	JPR2017;RESPIRE;This study	3
Q92542	NCSTN	JPR2017;RESPIRE;This study	3
Q92696	RABGGTA	JPR2017;RESPIRE;This study	3
Q92738	USP6NL	JPR2017;RESPIRE;This study	3
Q92930	RAB8B	JPR2017;RESPIRE;This study	3
Q93034	CUL5	JPR2017;RESPIRE;This study	3
Q93050	ATP6V0A1	JPR2017;RESPIRE;This study	3
Q93070	ART4	JPR2017;RESPIRE;This study	3
Q93100	PHKB	JPR2017;RESPIRE;This study	3
Q969R2	OSBP2	JPR2017;RESPIRE;This study	3
Q96BI3	APH1A	JPR2017;RESPIRE;This study	3
Q96BM9	ARL8A	JPR2017;RESPIRE;This study	3
Q96CT7	CCDC124	JPR2017;RESPIRE;This study	3
Q96CW1	AP2M1	JPR2017;RESPIRE;This study	3
Q96D71	REPS1	JPR2017;RESPIRE;This study	3
Q96F85	CNRIP1	JPR2017;RESPIRE;This study	3
Q96FJ2	DYNLL2	JPR2017;RESPIRE;This study	3
Q96GD0	PDXP	JPR2017;RESPIRE;This study	3
Q96JJ7	TMX3	JPR2017;RESPIRE;This study	3
Q96PL5	ERMAP	JPR2017;RESPIRE;This study	3
Q96RL7	VPS13A	JPR2017;This study;Uniprot	3
Q96S97	MYADM	JPR2017;RESPIRE;This study	3
Q96TA1	NIBAN2	JPR2017;RESPIRE;This study	3
Q99497	PARK7	JPR2017;RESPIRE;This study	3
Q99623	PHB2	JPR2017;RESPIRE;This study	3
Q99735	MGST2	JPR2017;RESPIRE;This study	3
Q99828	CIB1	JPR2017;RESPIRE;This study	3
Q99829	CPNE1	JPR2017;RESPIRE;This study	3
Q9BPZ7	MAPKAP1	JPR2017;RESPIRE;This study	3
Q9BRF8	CPPED1	JPR2017;RESPIRE;This study	3
Q9BSF0	C2orf88	JPR2017;RESPIRE;This study	3
Q9BSJ8	ESYT1	JPR2017;RESPIRE;This study	3
