Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
BCL7B	Q9BQE9	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				3.2	11.7
BCL7C	Q8WUZ0	"Predicted intracellular proteins"				1.6	26.1
BCL9	O00512	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"				0.0	72.0
BCL9L	Q86UU0	"Cancer-related genes, Predicted intracellular proteins"				0.2	20.7
BCLAF1	Q9NYF8	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins"			13000	20.4	99.0
BCLAF3	A2AJT9	"Predicted intracellular proteins"				0.1	97.8
BCO1	Q9HAY6	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"				0.0	0.3
BCO2	Q9BYV7	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	147.3
BCOR	Q6W2J9	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"				18.7	35.3
BCORL1	Q5H9F3	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"				1.7	5.3
BCR	P11274	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins"				2.0	9.5
BCS1L	Q9Y276	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.0	11.5
BDH1	Q02338	"Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	8.3
BDH2	Q9BUT1	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			16000	0.0	10.1
BDKRB1	P46663	"G-protein coupled receptors, Predicted membrane proteins"				0.0	0.0
BDKRB2	P30411	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"				0.0	0.0
BDNF	P23560	"Cancer-related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"	"Secreted to blood"	"Growth factor"	12000	0.0	29.4
BDP1	A6H8Y1	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				7.9	37.4
BEAN1	Q3B7T3	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"				0.0	10.5
BECN1	Q14457	"Predicted intracellular proteins, Transporters"				10.3	17.3
BECN2	A8MW95	"Predicted intracellular proteins"				0.0	0.0
BEGAIN	Q9BUH8	"Predicted intracellular proteins"				0.0	0.5
BEND2	Q8NDZ0	"Predicted intracellular proteins"				0.4	0.2
BEND3	Q5T5X7	"Predicted intracellular proteins"				0.0	3.2
BEND4	Q6ZU67	"Predicted intracellular proteins"				0.0	0.1
BEND5	Q7L4P6	"Predicted intracellular proteins"				1.5	1.0
BEND6	Q5SZJ8	"Predicted intracellular proteins"				0.2	3.1
BEND7	Q8N7W2	"Predicted intracellular proteins"				0.3	71.0
BEST1	O76090	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				8.5	1.3
BEST2	Q8NFU1	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.4
BEST3	Q8N1M1	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.6	509.6
BEST4	Q8NFU0	"Predicted membrane proteins, Transporters"				0.0	0.2
BET1	O15155	"Predicted intracellular proteins, Predicted membrane proteins"				4.5	40.2
BET1L	Q9NYM9	"Predicted intracellular proteins, Predicted membrane proteins"				0.4	10.6
BEX1	Q9HBH7	"Predicted intracellular proteins"				1.5	0.0
BEX2	Q9BXY8	"Predicted intracellular proteins"				7.6	2.2
BEX3	Q00994	"Predicted intracellular proteins"				0.9	1.8
BEX4	Q9NWD9	"Predicted intracellular proteins"				0.3	0.4
BEX5	Q5H9J7	"Predicted intracellular proteins"				0.0	0.0
BFAR	Q9NZS9	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	1.2
BFSP1	Q12934	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.6
BFSP2	Q13515	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.2	0.3
BGLAP	P02818	"FDA approved drug targets, Predicted secreted proteins"	"Secreted to blood"	Hormone	1500000	0.0	0.0
BGN	P21810	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Secreted to extracellular matrix"	"No annotated function"	22000000	0.0	0.2
BHLHA15	Q7RTS1	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
BHLHA9	Q7RTU4	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"				0.0	0.0
BHLHE22	Q8NFJ8	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
BHLHE23	Q8NDY6	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
BHLHE40	O14503	"Predicted intracellular proteins, Transcription factors"				0.2	36.5
BHLHE41	Q9C0J9	"Predicted intracellular proteins, Transcription factors"				0.3	25.2
BHMT	Q93088	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			15000000	0.0	0.2
BHMT2	Q9H2M3	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"			4100000	0.0	10.9
BICC1	Q9H694	"Disease related genes, Predicted intracellular proteins"				0.0	935.6
BICD1	Q96G01	"Predicted intracellular proteins"				4.8	403.2
BICD2	Q8TD16	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				2.1	12.1
BICDL1	Q6ZP65	"Predicted intracellular proteins"				0.2	1.1
BICDL2	A1A5D9	"Predicted intracellular proteins"				0.0	0.1
BICRA	Q9NZM4	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.3
BICRAL	Q6AI39	"Predicted intracellular proteins"				4.1	359.3
BID	P55957	"Predicted intracellular proteins"			840000	2.6	2.6
BIK	Q13323	"Predicted membrane proteins"				0.0	0.2
BIN1	O00499	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			810000	0.4	181.9
BIN2	Q9UBW5	"Plasma proteins, Predicted intracellular proteins"			20000000	1.6	0.4
BIN3	Q9NQY0	"Plasma proteins, Predicted intracellular proteins"				0.6	17.4
BIRC2	Q13490	"Cancer-related genes, Enzymes, Predicted intracellular proteins"				67.7	37.7
BIRC3	Q13489	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"				7.4	2.3
BIRC5	O15392	"Cancer-related genes, Essential proteins, Predicted intracellular proteins"				19.8	0.1
BIRC6	Q9NR09	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"				8.4	618.8
BIRC7	Q96CA5	"Enzymes, Predicted intracellular proteins"				0.0	0.0
BIVM	Q86UB2	"Predicted intracellular proteins"				0.0	0.3
BIVM-ERCC5		"Predicted intracellular proteins"				0.0	6.4
BLACAT1		"Predicted intracellular proteins"				0.0	0.0
BLCAP	P62952	"Predicted intracellular proteins"				2.5	194.8
BLID	Q8IZY5	"Predicted intracellular proteins"				0.0	0.0
BLK	P51451	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"				0.0	0.0
BLM	P54132	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"				7.4	1.0
BLMH	Q13867	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"			22000000	1.8	29.6
BLNK	Q8WV28	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.2	4.5
BLOC1S1	P78537	"Predicted intracellular proteins"				20.7	2.5
BLOC1S2	Q6QNY1	"Predicted intracellular proteins"				7.0	15.1
BLOC1S3	Q6QNY0	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.0
BLOC1S4	Q9NUP1	"Plasma proteins, Predicted intracellular proteins"				4.9	3.7
BLOC1S5	Q8TDH9	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"				0.0	0.0
BLOC1S6	Q9UL45	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.6	0.3
BLTP1	Q2LD37	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				8.7	163.8
BLTP2	Q14667	"Predicted intracellular proteins"				1.9	35.0
BLTP3A	Q6BDS2	"Predicted intracellular proteins"				3.4	120.1
BLTP3B	A0JNW5	"Predicted intracellular proteins"				3.6	78.9
BLVRA	P53004	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			2600000	6.9	17.1
BLVRB	P30043	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			210000000	921.8	80.5
BLZF1	Q9H2G9	"Predicted intracellular proteins"				2.0	36.9
BMAL1	O00327	"Predicted intracellular proteins, Transcription factors"				0.3	47.4
BMAL2	Q8WYA1	"Predicted intracellular proteins, Transcription factors"				0.0	0.5
BMERB1	Q96MC5	"Predicted intracellular proteins"				0.0	1.1
BMF	Q96LC9	"Essential proteins, Predicted intracellular proteins"				0.2	1.2
BMI1	P35226	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins"				1.5	5.1
BMP1	P13497	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins"	"Secreted to extracellular matrix"	Cytokine	8800000	0.0	5.5
BMP10	O95393	"Predicted secreted proteins"	"Secreted to blood"	Cytokine	380000	0.0	0.0
BMP15	O95972	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Secreted in other tissues"	Cytokine		0.0	0.0
BMP2	P12643	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"	"Secreted to blood"	Cytokine	10000	0.0	0.3
BMP2K	Q9NSY1	"Enzymes, Predicted intracellular proteins"				48.9	79.3
BMP3	P12645	"Plasma proteins, Predicted secreted proteins"	"Secreted in other tissues"	Cytokine		0.0	0.0
BMP4	P12644	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Cytokine	5800	0.0	0.2
BMP5	P22003	"Predicted secreted proteins"	"Secreted - unknown location"	Cytokine		0.0	0.4
BMP6	P22004	"Predicted secreted proteins"	"Secreted to blood"	Cytokine	57000	0.7	0.2
BMP7	P18075	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Cytokine		0.0	0.2
BMP8A	Q7Z5Y6	"Predicted secreted proteins"	"Secreted to blood"	Cytokine		0.0	8.0
BMP8B	P34820	"Predicted secreted proteins"	"Secreted to blood"	Cytokine		0.0	0.6
BMPER	Q8N8U9	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to extracellular matrix"	"No annotated function"	6500	0.0	2.1
BMPR1A	P36894	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"				0.0	857.0
BMPR1B	O00238	"CD markers, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"				0.0	108.3
BMPR2	Q13873	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"				8.2	370.7
BMS1	Q14692	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				0.4	59.3
BMT2	Q1RMZ1	"Predicted intracellular proteins, Predicted membrane proteins"				0.9	58.8
BMX	P51813	"Enzymes, Predicted intracellular proteins"				0.6	21.7
BNC1	Q01954	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"				0.2	0.0
BNC2	Q6ZN30	"Disease related genes, Predicted intracellular proteins, Transcription factors"				0.2	514.3
BNIP1	Q12981	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.2	12.3
BNIP2	Q12982	"Predicted intracellular proteins"				4.4	27.4
BNIP3	Q12983	"Cancer-related genes, Predicted membrane proteins, Transporters"				0.1	35.3
BNIP3L	O60238	"Cancer-related genes, Predicted membrane proteins, Transporters"				671.1	43.5
BNIP5	P0C671	"Predicted intracellular proteins"				0.0	0.1
BNIPL	Q7Z465	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	7.1
BOC	Q9BWV1	"Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"	"Cell adhesion"	1500000	0.0	0.6
BOD1	Q96IK1	"Predicted intracellular proteins"				3.1	8.4
BOD1L1	Q8NFC6	"Predicted intracellular proteins"				8.7	90.3
BOD1L2	Q8IYS8	"Predicted intracellular proteins"				0.0	0.0
BOK	Q9UMX3	"Plasma proteins, Predicted membrane proteins, Transporters"				0.0	0.7
BOLA1	Q9Y3E2	"Predicted intracellular proteins"				0.4	7.8
BOLA2	Q9H3K6	"Predicted intracellular proteins"			480000	0.0	0.0
BOLA2-SMG1P6		"Predicted intracellular proteins"				0.1	0.2
BOLA2B	Q9H3K6	"Predicted intracellular proteins"			480000	0.0	0.0
BOLA3	Q53S33	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				27.1	17.7
BOLL	Q8N9W6	"Predicted intracellular proteins"				0.0	32.6
BOP1	Q14137	"Essential proteins, Predicted intracellular proteins"			7100	4.5	1.8
BORA	Q6PGQ7	"Essential proteins, Predicted intracellular proteins"				3.3	8.5
BORCS5	Q969J3	"Predicted intracellular proteins"				0.2	1.2
BORCS6	Q96GS4	"Predicted intracellular proteins"			5500	2.1	0.5
BORCS7	Q96B45	"Predicted intracellular proteins"				0.0	0.2
BORCS8	Q96FH0	"Predicted intracellular proteins"				0.0	0.1
BORCS8-MEF2B		"Predicted intracellular proteins"				0.0	0.0
BPGM	P07738	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			28000000	313.0	9.9
BPHL	Q86WA6	"Predicted intracellular proteins"			7000	0.0	16.7
BPI	P17213	"Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Secreted to blood"	Immunity	45000	3.0	0.0
BPIFA1	Q9NP55	"Plasma proteins, Predicted secreted proteins"	"Secreted in other tissues"	Immunity	650000	0.0	0.0
BPIFA2	Q96DR5	"Predicted secreted proteins"	"Secreted to digestive system"	Defense		0.0	0.0
BPIFA3	Q9BQP9	"Predicted secreted proteins"	"Secreted in male reproductive system"	"No annotated function"		0.0	0.0
BPIFB1	Q8TDL5	"Plasma proteins, Predicted secreted proteins"	"Secreted in other tissues"	Immunity	5200000	0.0	0.5
BPIFB2	Q8N4F0	"Plasma proteins, Predicted secreted proteins, Transporters"	"Secreted in other tissues"	"No annotated function"	51000	0.0	0.0
BPIFB3	P59826	"Plasma proteins, Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"		0.0	0.0
BPIFB4	P59827	"Predicted secreted proteins"	"Secreted - unknown location"	"No annotated function"		0.0	0.0
BPIFB6	Q8NFQ5	"Predicted secreted proteins"	"Secreted in other tissues"	"No annotated function"		0.0	0.0
BPIFC	Q8NFQ6	"Predicted secreted proteins"	"Secreted in other tissues"	Immunity		0.0	0.3
BPNT1	O95861	"Enzymes, Metabolic proteins, Predicted intracellular proteins"			300000	0.0	20.4
BPNT2	Q9NX62	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"			450000	1.7	19.6
BPTF	Q12830	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"				29.6	405.3
BPY2	O14599	"Human disease related genes, Predicted intracellular proteins"				0.0	0.0
BPY2B	O14599	"Predicted intracellular proteins"				0.0	0.0
BPY2C	O14599	"Predicted intracellular proteins"				0.0	0.0
BRAF	P15056	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters"				18.1	405.0
BRAP	Q7Z569	"Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"				4.4	44.5
BRAT1	Q6PJG6	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				1.8	23.7
BRCA1	P38398	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"				9.3	53.6
BRCA2	P51587	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				4.6	2.2
BRCC3	P46736	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"				1.7	37.6
BRD1	O95696	"Predicted intracellular proteins"				4.6	89.0
BRD2	P25440	"Predicted intracellular proteins"				6.3	6.3
BRD3	Q15059	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"				7.9	15.3
BRD3OS	A0A1B0GUI7	"Predicted intracellular proteins"				0.1	4.3
BRD4	O60885	"Cancer-related genes, Disease related genes, Essential proteins, Predicted intracellular proteins"				64.4	112.0
BRD7	Q9NPI1	"Predicted intracellular proteins"				26.5	51.7
BRD8	Q9H0E9	"Essential proteins, Predicted intracellular proteins"				9.9	29.7
BRD9	Q9H8M2	"Predicted intracellular proteins"				3.4	33.1
BRDT	Q58F21	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.9
BRF1	Q92994	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				3.2	52.2
BRF2	Q9HAW0	"Essential proteins, Predicted intracellular proteins"				3.0	11.0
BRI3	O95415	"Predicted intracellular proteins, Predicted membrane proteins"				9.1	55.0
BRI3BP	Q8WY22	"Predicted membrane proteins, Transporters"				1.6	17.7
BRICD5	Q6PL45	"Predicted intracellular proteins, Predicted membrane proteins"				0.2	3.2
BRINP1	O60477	"Predicted intracellular proteins, Transporters"	"Intracellular and membrane"	Other		0.2	41.5
BRINP2	Q9C0B6	"Predicted secreted proteins, Transporters"	"Secreted in other tissues"	Other		0.0	0.2
BRINP3	Q76B58	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	Other		0.2	0.5
BRIP1	Q9BX63	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"				16.8	2.6
BRIX1	Q8TDN6	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			11000	2.8	32.8
BRK1	Q8WUW1	"Predicted intracellular proteins"			88000	20.3	14.6
BRME1	Q0VDD7	"Predicted intracellular proteins"				0.0	0.0
BRMS1	Q9HCU9	"Cancer-related genes, Predicted intracellular proteins"				3.0	2.3
BRMS1L	Q5PSV4	"Predicted intracellular proteins"				0.4	41.0
BROX	Q5VW32	"Predicted intracellular proteins"			150000	18.6	21.4
BRPF1	P55201	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"				3.2	5.2
BRPF3	Q9ULD4	"Plasma proteins, Predicted intracellular proteins"				2.5	10.3
BRS3	P32247	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"				0.0	0.0
BRSK1	Q8TDC3	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.2
BRSK2	Q8IWQ3	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.6
BRWD1	Q9NSI6	"Plasma proteins, Predicted intracellular proteins"				7.2	333.2
BRWD3	Q6RI45	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				3.1	50.8
BSCL2	Q96G97	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.2
BSDC1	Q9NW68	"Predicted intracellular proteins"				21.2	64.8
BSG	P35613	"Blood group antigen proteins, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			360000	417.1	133.7
BSN	Q9UPA5	"Plasma proteins, Predicted intracellular proteins"				0.2	2.0
BSND	Q8WZ55	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.1
BSPH1	Q075Z2	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in male reproductive system"	Other		0.0	0.1
BSPRY	Q5W0U4	"Predicted intracellular proteins"				4.4	0.1
BST1	Q10588	"CD markers, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme	52000000	0.4	0.5
BST2	Q10589	"CD markers, Plasma proteins, Predicted membrane proteins, Transporters"			140000	5.5	0.3
BSX	Q3C1V8	"Predicted intracellular proteins, Transcription factors"				0.0	0.0
BTAF1	O14981	"Essential proteins, Plasma proteins, Predicted intracellular proteins"				8.1	158.1
BTBD1	Q9H0C5	"Predicted intracellular proteins"				11.1	221.4
BTBD10	Q9BSF8	"Predicted intracellular proteins"				5.6	51.8
BTBD16	Q32M84	"Predicted intracellular proteins"				0.0	14.4
BTBD17	A6NE02	"Predicted secreted proteins"	"Secreted in brain"	"No annotated function"		0.0	0.0
BTBD18	B2RXH4	"Predicted intracellular proteins"				0.0	17.5
BTBD19	C9JJ37	"Predicted intracellular proteins"				0.3	0.2
BTBD2	Q9BX70	"Predicted intracellular proteins"				0.8	57.8
BTBD3	Q9Y2F9	"Predicted intracellular proteins"				1.5	39.7
BTBD6	Q96KE9	"Predicted intracellular proteins"				1.7	13.8
BTBD7	Q9P203	"Predicted intracellular proteins"				0.0	2.3
BTBD8	"Q5XKL5, Q9UPP5"	"Predicted intracellular proteins"				0.0	18.8
BTBD9	Q96Q07	"Disease related genes, Predicted intracellular proteins"				2.8	436.6
BTC	P35070	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	"Growth factor"		0.0	0.6
BTD	P43251	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	Enzyme	2300000000	3.3	236.8
BTF3	P20290	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			130000	158.3	14.3
BTF3L4	Q96K17	"Essential proteins, Predicted intracellular proteins"			23000	8.3	85.5
BTG1	P62324	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"				48.4	5.3
BTG2	P78543	"Cancer-related genes, Predicted intracellular proteins"				27.7	41.9
BTG3	Q14201	"Predicted intracellular proteins"				9.2	0.3
BTG4	Q9NY30	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.0	0.5
BTK	Q06187	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			1400000	5.2	0.3
BTLA	Q7Z6A9	"CD markers, Predicted membrane proteins, Predicted secreted proteins"	"Secreted to blood"	Receptor		0.3	0.2
BTN1A1	Q13410	"Predicted membrane proteins"	"Intracellular and membrane"	"No annotated function"		0.0	1.0
BTN2A1	Q7KYR7	"Predicted intracellular proteins, Predicted membrane proteins"				0.2	10.5
BTN2A2	Q8WVV5	"Predicted intracellular proteins, Predicted membrane proteins"				0.0	0.5
BTN3A1	O00481	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"				0.0	3.6
BTN3A2	P78410	"Predicted intracellular proteins, Predicted membrane proteins"				0.1	1.3
BTN3A3	O00478	"Predicted intracellular proteins, Predicted membrane proteins"				0.1	0.3
BTNL2		"Predicted intracellular proteins, Predicted membrane proteins"	"Intracellular and membrane"			0.0	0.0
BTNL3	Q6UXE8	"Predicted membrane proteins"				0.0	0.1
BTNL8	Q6UX41	"Predicted membrane proteins"				0.1	2.4
BTNL9	Q6UXG8	"Predicted membrane proteins"				0.0	0.4
BTRC	Q9Y297	"Predicted intracellular proteins"				11.7	291.4
BUB1	O43683	"Enzymes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				6.5	0.7
BUB1B	O60566	"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"				0.3	0.2
BUB3	O43684	"Essential proteins, Predicted intracellular proteins"			16000	20.0	15.4
BUD13	Q9BRD0	"Essential proteins, Predicted intracellular proteins"				0.2	21.7
BUD23	O43709	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"				3.5	19.7
BUD31	P41223	"Essential proteins, Predicted intracellular proteins"				22.6	3.6
BVES	Q8NE79	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	119.5
BYSL	Q13895	"Essential proteins, Predicted intracellular proteins"				3.0	1.7
BZW1	Q7L1Q6	"Predicted intracellular proteins"			170000	7.4	11.1
BZW2	Q9Y6E2	"Predicted intracellular proteins"			19000	0.7	184.2
C10orf105	Q8TEF2	"Predicted intracellular proteins"				0.0	0.1
C10orf120	Q5SQS8	"Predicted intracellular proteins"				0.0	0.0
C10orf143	A0A1B0GUT2	"Predicted intracellular proteins"				0.2	25.8
C10orf53	Q8N6V4	"Predicted intracellular proteins"				0.0	0.0
C10orf62	Q5T681	"Predicted intracellular proteins"				0.0	0.0
C10orf67	Q8IYJ2	"Predicted intracellular proteins"				0.0	3.3
C10orf71	Q711Q0	"Predicted intracellular proteins"				0.0	461.1
C10orf82	Q8WW14	"Predicted intracellular proteins"				0.0	0.0
C10orf88	Q9H8K7	"Predicted intracellular proteins"				1.5	19.2
C10orf90	Q96M02	"Predicted intracellular proteins"				0.0	0.3
C10orf95		"Predicted intracellular proteins"				0.2	0.3
C11orf1	Q9H5F2	"Predicted intracellular proteins"				1.7	3.4
C11orf16	Q9NQ32	"Predicted intracellular proteins"				0.0	0.3
C11orf21	Q9P2W6	"Predicted intracellular proteins"				3.3	0.0
C11orf24	Q96F05	"Predicted intracellular proteins, Predicted membrane proteins"				0.4	7.7
C11orf42	Q8N5U0	"Predicted intracellular proteins"				0.0	1.5
C11orf52	Q96A22	"Predicted intracellular proteins"				0.0	0.0
C11orf54	Q9H0W9	"Predicted intracellular proteins"			570000	0.2	2.3
C11orf58	O00193	"Predicted intracellular proteins"			31000	29.2	136.2
C11orf65	Q8NCR3	"Predicted intracellular proteins"				0.0	52.9
C11orf68	Q9H3H3	"Predicted intracellular proteins"				1.2	3.0
C11orf71	Q6IPW1	"Predicted intracellular proteins"				2.8	3.6
C11orf80	Q8N6T0	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				0.2	8.3
C11orf86	A6NJI1	"Predicted intracellular proteins"				0.0	0.0
C11orf87	Q6NUJ2	"Predicted membrane proteins"				0.0	0.0
C11orf91	Q3C1V1	"Predicted intracellular proteins"				0.0	0.0
C11orf94	C9JXX5	"Predicted intracellular proteins"				0.0	0.0
C11orf96		"Predicted intracellular proteins"				0.0	0.0
C11orf97	A0A1B0GVM6	"Predicted intracellular proteins"				0.0	0.2
C11orf98	E9PRG8	"Predicted intracellular proteins"				0.0	0.0
C12orf29	Q8N999	"Predicted intracellular proteins"				8.7	7.1
C12orf4	Q9NQ89	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				6.1	43.3
C12orf40	Q86WS4	"Predicted intracellular proteins"				0.0	6.6
C12orf42	Q96LP6	"Predicted intracellular proteins"				0.3	1.0
C12orf43	Q96C57	"Predicted intracellular proteins"				0.2	4.5
C12orf50	Q8NA57	"Predicted intracellular proteins"				0.0	0.2
C12orf54	Q6X4T0	"Predicted intracellular proteins"				0.0	0.8
C12orf56	Q8IXR9	"Predicted intracellular proteins"				0.0	4.6
C12orf57	Q99622	"Disease related genes, Predicted intracellular proteins"			6100	13.6	4.8
C12orf60	Q5U649	"Predicted intracellular proteins"				0.0	17.1
C12orf71	A8MTZ7	"Predicted intracellular proteins"				0.0	0.1
C12orf73	Q69YU5	"Predicted intracellular proteins"	"Intracellular and membrane"	"No annotated function"		0.6	33.1
