gene,logFC,neg_log10_p,pi_score,adj_pval,direction
MRPL47,0.4007,0.9381,0.420809,0.99973,NS
BANF1,-0.3763,0.9975,0.421372,0.99973,NS
PPIL1,-0.3729,0.9924,0.426541,0.99973,NS
IPO7,-0.4146,0.8868,0.428879,0.99973,NS
CHCHD10,0.4882,0.7488,0.430945,0.99973,NS
EHD1,0.3035,1.2019,0.431763,0.99973,NS
GSN,0.4057,0.8955,0.433165,0.99973,NS
PTPA,0.4614,0.7781,0.437503,0.99973,NS
EPDR1,0.3859,0.9224,0.440603,0.99973,NS
PREP,-0.2465,1.4419,0.441092,0.99973,NS
LXN,-0.7423,0.4784,0.441483,0.99973,NS
EIF3D,0.4076,0.8704,0.441857,0.99973,NS
VTA1,0.299,1.1769,0.444695,0.99973,NS
HSPB8,-0.3557,0.9849,0.446301,0.99973,NS
LONP1,0.3086,1.1329,0.447079,0.99973,NS
VBP1,0.3821,0.9142,0.447419,0.99973,NS
PLS3,0.4304,0.8042,0.450638,0.99973,NS
ME2,0.427,0.8029,0.454098,0.99973,NS
GMPPB,0.4165,0.8215,0.454774,0.99973,NS
LPCAT3,-0.4248,0.8003,0.457146,0.99973,NS
PLGRKT,-0.4215,0.8023,0.459044,0.99973,NS
CAMK2A,-0.4038,0.836,0.459671,0.99973,NS
ACTR2,0.3711,0.9067,0.460805,0.99973,NS
BCKDK,-0.5563,0.6044,0.461047,0.99973,NS
UBE2D3,0.3518,0.9444,0.465274,0.99973,NS
ACTN3,-0.8221,0.402,0.46726,0.99973,NS
PLIN3,0.2896,1.1262,0.471906,0.99973,NS
CHORDC1,0.6825,0.4718,0.476397,0.99973,NS
COQ3,0.361,0.8918,0.476529,0.99973,NS
SPTB,-0.4803,0.6691,0.477133,0.99973,NS
GNA11,0.3952,0.8114,0.47788,0.99973,NS
ACP1,-0.3141,1.0137,0.480372,0.99973,NS
BCAP29,-0.3907,0.8091,0.482881,0.99973,NS
ERGIC1,0.3467,0.9113,0.483123,0.99973,NS
THY1,0.7296,0.4325,0.483612,0.99973,NS
ASS1,0.4864,0.6462,0.484957,0.99973,NS
TIMM13,0.4645,0.6763,0.485171,0.99973,NS
TOMM70,0.3799,0.8254,0.485783,0.99973,NS
RDH13,0.3999,0.7821,0.486631,0.99973,NS
PDHB,0.2421,1.2888,0.487435,0.99973,NS
SIRT2,0.4669,0.6672,0.488131,0.99973,NS
STUB1,-0.3268,0.9457,0.490853,0.99973,NS
RPL9,-0.4072,0.7572,0.49169,0.99973,NS
CAB39,-0.2943,1.0408,0.493958,0.99973,NS
