gene,logFC,neg_log10_p,pi_score,adj_pval,direction
MME,0.8019,0.5929,0.334652,0.99862,NS
DNM1L,-0.4956,0.9586,0.334891,0.99862,NS
MYO18A,-0.6164,0.7698,0.335329,0.99862,NS
TOM1,-0.4581,1.0352,0.335524,0.99862,NS
PRKRA,-0.7832,0.6025,0.337352,0.99862,NS
IPO7,0.5934,0.7937,0.338076,0.99862,NS
ANXA2,-0.5821,0.8092,0.338088,0.99862,NS
CTSD,-0.544,0.8633,0.339114,0.99862,NS
CLEC3B,-0.7569,0.618,0.34059,0.99862,NS
RTCA,-0.5594,0.8288,0.343826,0.99862,NS
ZBTB9,0.6229,0.7434,0.344337,0.99862,NS
KPNA1,-0.5627,0.8169,0.34701,0.99862,NS
SSBP1,-0.4571,1.0036,0.347731,0.99862,NS
ELOB,0.4235,1.0816,0.348282,0.99862,NS
COL6A2,-0.9566,0.4784,0.348637,0.99862,NS
UBE2L3,-0.7863,0.5799,0.349987,0.99862,NS
TFRC,0.7409,0.6144,0.350563,0.99862,NS
SH3BGRL3,-0.7672,0.5847,0.355938,0.99862,NS
PPIL1,0.5089,0.8719,0.359983,0.99862,NS
YBX1,0.4786,0.9268,0.36012,0.99862,NS
SFPQ,-0.7834,0.5658,0.360355,0.99862,NS
NAP1L1,0.5132,0.8614,0.361363,0.99862,NS
COL4A2,-0.9111,0.4847,0.361758,0.99862,NS
SHMT1,0.5351,0.8199,0.364159,0.99862,NS
CD36,-0.6223,0.6998,0.366831,0.99862,NS
RPL38,0.6046,0.7198,0.367115,0.99862,NS
HMGCL,0.5075,0.8575,0.367125,0.99862,NS
KRT10,0.8505,0.5115,0.367274,0.99862,NS
ACTA1,-0.6722,0.6465,0.367653,0.99862,NS
TUBB2A,-0.5942,0.7284,0.369137,0.99862,NS
LAMC1,-0.7229,0.5949,0.37149,0.99862,NS
ATP5MG,0.5401,0.7959,0.371635,0.99862,NS
MTPN,0.5096,0.8405,0.372965,0.99862,NS
FGGY,-0.6761,0.6332,0.373169,0.99862,NS
SPR,-0.6186,0.6919,0.37325,0.99862,NS
PGLS,0.4946,0.8633,0.374144,0.99862,NS
HNRNPDL,0.5372,0.792,0.375431,0.99862,NS
LCMT1,0.4987,0.8509,0.376352,0.99862,NS
CACNB3,0.4214,1.0054,0.376985,0.99862,NS
ADHFE1,0.6913,0.6125,0.377202,0.99862,NS
AKR7A2,0.5639,0.7501,0.377567,0.99862,NS
BOLA2,-0.5354,0.7853,0.379799,0.99862,NS
NXN,-0.6049,0.6839,0.385764,0.99862,NS
PDIA4,-0.706,0.585,0.38637,0.99862,NS
RAB10,-0.597,0.6915,0.386539,0.99862,NS
ASPH,0.69,0.5978,0.38683,0.99862,NS
CASQ2,-0.4992,0.8193,0.389984,0.99862,NS
EIF3C,0.4032,1.0135,0.390305,0.99862,NS
FSCN1,-0.741,0.5496,0.391491,0.99862,NS
ANXA4,-0.4973,0.809,0.395981,0.99862,NS
ACTN4,-0.891,0.4505,0.396821,0.99862,NS
COX19,0.5355,0.748,0.397568,0.99862,NS
PRUNE1,-0.5523,0.7247,0.39789,0.99862,NS
MT-CO2,0.5328,0.7503,0.398298,0.99862,NS
EHD2,-0.4491,0.8877,0.399334,0.99862,NS
SET,-0.5776,0.6859,0.401635,0.99862,NS
PRKACA,-0.4136,0.9567,0.402114,0.99862,NS
SOD3,0.7088,0.5569,0.402968,0.99862,NS
MAPK1,-0.4904,0.8039,0.403445,0.99862,NS
