gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
ENDOG,0.5054,0.2872,0.405934,0.747151,0.910037,NS,Concordant Up
AIMP2,0.6095,0.1824,0.085151,0.85066,0.505933,NS,Concordant Up
CHCHD10,0.3019,0.4894,0.812132,0.44236,0.946628,NS,Concordant Up
IBA57,0.4113,0.3781,0.710013,0.632405,0.998588,NS,Concordant Up
APOO,0.623,-0.1639,0.12349,0.895777,0.084731,NS,HR↑ LR↓
SYNM,-0.6815,-0.1047,0.22606,0.973668,0.504979,NS,Concordant Down
HNRNPDL,0.6611,0.1239,0.083868,0.943285,0.375431,NS,Concordant Up
CACNG1,0.5327,-0.2515,0.263633,0.745873,0.095988,NS,HR↑ LR↓
PRKRA,-0.6306,0.1526,0.431857,0.943549,0.337352,NS,HR↓ LR↑
GARS1,-0.5966,-0.185,0.151069,0.864946,0.592173,NS,Concordant Down
NDUFB4,0.5936,0.1841,0.271177,0.899577,0.687383,NS,Concordant Up
DNAJB1,-0.7605,0.017,0.368825,0.999361,0.411131,NS,HR↓ LR↑
TSPO,-0.5652,0.2113,0.396201,0.88861,0.261826,NS,HR↓ LR↑
FBP1,0.387,0.3892,0.749676,0.704978,0.999995,NS,Concordant Up
VAT1,0.3375,0.4356,0.759059,0.526801,0.9856,NS,Concordant Up
PTCD3,-0.7092,0.0613,0.35712,0.993783,0.419863,NS,HR↓ LR↑
DTNA,0.371,0.3992,0.503174,0.326933,0.998018,NS,Concordant Up
NDUFS7,0.7098,-0.0601,0.151692,0.990752,0.214035,NS,HR↑ LR↓
RPS12,0.4067,0.3627,0.32165,0.348117,0.994165,NS,Concordant Up
S100A8,-0.3714,-0.3975,0.825489,0.767287,0.999408,NS,Concordant Down
PARVA,0.0577,0.7112,0.991752,0.072171,0.302665,NS,Concordant Up
DNAJB4,-0.6308,-0.1373,0.250799,0.944399,0.574163,NS,Concordant Down
NAP1L4,-0.2511,-0.5165,0.8026,0.230186,0.838738,NS,Concordant Down
SH3BGRL3,-0.1444,0.6228,0.964897,0.313497,0.355938,NS,HR↓ LR↑
RDH13,-0.3717,0.3936,0.705631,0.506965,0.231256,NS,HR↓ LR↑
NDUFS4,0.5455,-0.2179,0.206909,0.804517,0.091288,NS,HR↑ LR↓
UQCR11,-0.5468,-0.2155,0.478144,0.897508,0.845796,NS,Concordant Down
MOB2,0.3637,-0.3985,0.666043,0.531054,0.199963,NS,HR↑ LR↓
KRT1,0.6315,-0.1283,0.511342,0.975456,0.489573,NS,HR↑ LR↓
MYH1,0.2372,-0.5221,0.922829,0.579566,0.47492,NS,HR↑ LR↓
AZGP1,-0.6173,-0.1417,0.267521,0.945665,0.61347,NS,Concordant Down
ARF6,0.2418,0.5171,0.875048,0.362112,0.876115,NS,Concordant Up
CSNK1A1,-0.3682,-0.3905,0.757623,0.564016,0.999328,NS,Concordant Down
CD63,0.3565,0.4022,0.849487,0.584359,0.997934,NS,Concordant Up
ASPN,-0.265,0.4933,0.90019,0.615897,0.467181,NS,HR↓ LR↑
RPS28,-0.1239,-0.6341,0.968225,0.217846,0.598799,NS,Concordant Down
CLEC3B,-0.2039,0.553,0.926184,0.365987,0.34059,NS,HR↓ LR↑
CARNS1,0.2751,0.4817,0.721232,0.233884,0.888407,NS,Concordant Up
PSME2,-0.39,0.3647,0.623951,0.613489,0.215875,NS,HR↓ LR↑
ANK1,-0.1613,-0.5932,0.959401,0.390818,0.774334,NS,Concordant Down
TFAM,0.5848,0.1685,0.241264,0.907962,0.647622,NS,Concordant Up
PRPSAP1,-0.3042,-0.4457,0.883341,0.704295,0.981661,NS,Concordant Down
COQ10B,-0.3373,-0.4109,0.83142,0.660654,0.994065,NS,Concordant Down
UQCRH,0.2298,0.5174,0.819562,0.17075,0.788502,NS,Concordant Up
YWHAZ,-0.6509,-0.0961,0.268268,0.978172,0.539073,NS,Concordant Down
ACSF2,0.5303,0.2163,0.211704,0.798982,0.737109,NS,Concordant Up
HNRNPA3,0.2044,-0.5418,0.91586,0.323539,0.295096,NS,HR↑ LR↓
SLC25A11,0.4768,-0.2694,0.237414,0.641724,0.056046,NS,HR↑ LR↓
DDT,-0.4342,-0.3103,0.554772,0.721129,0.973574,NS,Concordant Down
DHRS7C,-0.4141,-0.3286,0.448681,0.569244,0.982931,NS,Concordant Down
BCKDHA,0.6576,0.084,0.193476,0.978342,0.425884,NS,Concordant Up
FSCN1,-0.2651,0.4759,0.854226,0.615221,0.391491,NS,HR↓ LR↑
TFRC,0.1521,-0.5888,0.95649,0.34239000000000003,0.350563,NS,HR↑ LR↓
CMPK1,-0.5771,-0.1636,0.427842,0.938473,0.753617,NS,Concordant Down
SELENOW,-0.0081,0.7325,0.999912,0.18402,0.428171,NS,HR↓ LR↑
NAP1L1,0.6267,0.1135,0.101978,0.939852,0.361363,NS,Concordant Up
RPS6,0.5175,0.2223,0.215357,0.779093,0.758313,NS,Concordant Up
TIMM9,0.4124,-0.327,0.566992,0.679734,0.219018,NS,HR↑ LR↓
IRGQ,-0.395,-0.3431,0.516989,0.565287,0.994259,NS,Concordant Down
MAPKAPK2,-0.4955,0.2422,0.236694,0.710655,0.073034,NS,HR↓ LR↑
VBP1,-0.3528,0.3838,0.569784,0.448084,0.11149,NS,HR↓ LR↑
SARS2,0.1466,0.5856,0.96697,0.286697,0.747729,NS,Concordant Up
PFDN4,-0.4341,-0.2973,0.266209,0.539073,0.939444,NS,Concordant Down
CAT,-0.1723,-0.5585,0.93648,0.3223,0.759169,NS,Concordant Down
IGLV2-11,-0.537,0.1933,0.704856,0.964885,0.650368,NS,HR↓ LR↑
TWF2,-0.3003,-0.4288,0.655548,0.296777,0.956054,NS,Concordant Down
COBL,0.2629,0.4659,0.780012,0.329278,0.907152,NS,Concordant Up
FGGY,-0.7024,-0.0263,0.222548,0.998361,0.373169,NS,Concordant Down
TMX3,0.465,0.2634,0.356695,0.690318,0.895423,NS,Concordant Up
ADSS2,0.4105,-0.3175,0.611342,0.720133,0.273286,NS,HR↑ LR↓
HLA-A,-0.3828,0.3451,0.599354,0.614451,0.200867,NS,HR↓ LR↑
DUSP28,0.6811,-0.0451,0.160341,0.994424,0.232353,NS,HR↑ LR↓
ENSA,-0.5197,0.2059,0.47812,0.879887,0.304598,NS,HR↓ LR↑
FARSB,0.6986,0.0267,0.146502,0.998073,0.298742,NS,Concordant Up
RTN2,0.5363,-0.1879,0.295202,0.879033,0.18338,NS,HR↑ LR↓
DYNLL1,-0.617,0.1067,0.198705,0.965359,0.205947,NS,HR↓ LR↑
TUBA8,0.4259,0.2964,0.306587,0.54766,0.947929,NS,Concordant Up
CHMP6,-0.422,-0.2954,0.621145,0.546821,0.969854,NS,Concordant Down
RPS10,-0.4903,-0.2257,0.632228,0.901986,0.917197,NS,Concordant Down
HSPH1,0.5551,-0.1598,0.532251,0.9477,0.438369,NS,HR↑ LR↓
RAB5C,0.1468,-0.5673,0.947174,0.241202,0.256412,NS,HR↑ LR↓
TMLHE,0.6253,-0.0874,0.080959,0.970184,0.108581,NS,HR↑ LR↓
GFM1,0.6747,0.0358,0.098473,0.995529,0.23978,NS,Concordant Up
NHLRC2,-0.1616,0.5488,0.918075,0.149727,0.155749,NS,HR↓ LR↑
LRG1,0.6385,-0.0707,0.582829,0.992548,0.586278,NS,HR↑ LR↓
MOGS,0.1178,-0.5908,0.981702,0.404308,0.501618,NS,HR↑ LR↓
PRUNE1,-0.6304,-0.0781,0.168658,0.978897,0.39789,NS,Concordant Down
EPDR1,0.3222,0.386,0.669786,0.45132100000000003,0.99119,NS,Concordant Up
GNA11,0.3226,0.3853,0.738843,0.501769,0.992893,NS,Concordant Up
EIF3D,-0.2975,0.4097,0.746521,0.450699,0.207065,NS,HR↓ LR↑
ACTB,-0.5619,0.1449,0.305417,0.937339,0.24911,NS,HR↓ LR↑
PDIA4,-0.0525,0.6535,0.994999,0.255481,0.38637,NS,HR↓ LR↑
C12orf73,0.5076,0.1982,0.427652,0.87762,0.82007,NS,Concordant Up
ASPA,0.3852,0.3193,0.700853,0.753315,0.993952,NS,Concordant Up
PRKG1,-0.3642,-0.3398,0.700867,0.694116,0.999108,NS,Concordant Down
EIF3I,0.4534,0.2499,0.276223,0.655252,0.867524,NS,Concordant Up
TRMT10C,-0.2203,0.4824,0.866867,0.259557,0.209652,NS,HR↓ LR↑
ERI3,-0.4069,-0.2956,0.366907,0.566767,0.96362,NS,Concordant Down
DDX6,-0.0986,-0.6035,0.976431,0.182443,0.539336,NS,Concordant Down
PAFAH1B3,0.578,0.1241,0.425259,0.965268,0.705077,NS,Concordant Up
MT-ND1,0.3758,-0.3262,0.643696,0.681433,0.268958,NS,HR↑ LR↓
ALDOC,0.4368,-0.2649,0.407318,0.715573,0.149056,NS,HR↑ LR↓
STK38,0.2545,-0.4468,0.821749,0.356463,0.218973,NS,HR↑ LR↓
SUMO2,-0.1512,0.5492,0.917987,0.130876,0.129624,NS,HR↓ LR↑
RPL4,0.6176,0.0817,0.32363,0.984524,0.57118,NS,Concordant Up
ME2,0.2721,0.4268,0.811554,0.46851,0.956049,NS,Concordant Up
GHITM,0.3788,0.3197,0.78615,0.640446,0.995614,NS,Concordant Up
LGALS3,-0.415,0.2827,0.61228,0.757163,0.301415,NS,HR↓ LR↑
EIF1AX,-0.1622,-0.5338,0.926941,0.236062,0.710258,NS,Concordant Down
RTN3,-0.659,-0.0347,0.11775,0.996807,0.321248,NS,Concordant Down
NDUFB9,0.6767,-0.0147,0.055696,0.999233,0.133069,NS,HR↑ LR↓
ASPH,0.0813,-0.6087,0.988111,0.250136,0.38683,NS,HR↑ LR↓
RPL5,0.5271,-0.1618,0.50261,0.941908,0.41027,NS,HR↑ LR↓
ALDH7A1,0.4601,0.2247,0.352164,0.791466,0.858442,NS,Concordant Up
IMPA2,-0.3637,-0.3188,0.563003,0.599366,0.995532,NS,Concordant Down
EPHX2,-0.5612,-0.1187,0.371388,0.958093,0.654706,NS,Concordant Down
IAH1,-0.4892,-0.1901,0.349191,0.868239,0.794094,NS,Concordant Down
MYPN,-0.1254,0.5523,0.955415,0.222349,0.243296,NS,HR↓ LR↑
PLGRKT,0.2536,-0.4228,0.822126,0.461375,0.267153,NS,HR↑ LR↓
COX5B,0.6044,0.0708,0.168574,0.983309,0.412177,NS,Concordant Up
NAA50,0.4855,-0.1891,0.330642,0.842832,0.172356,NS,HR↑ LR↓
UBE2R2,-0.4942,-0.1801,0.520905,0.864029,0.818632,NS,Concordant Down
ACTA1,-0.6279,0.0443,0.28607900000000003,0.995439,0.367653,NS,HR↓ LR↑
DYNC1LI2,0.462,-0.2099,0.31413,0.798365,0.141531,NS,HR↑ LR↓
XRCC6,0.4008,-0.2686,0.478403,0.678304,0.166632,NS,HR↑ LR↓
PYURF,-0.5314,0.1378,0.695347,0.975272,0.643322,NS,HR↓ LR↑
ARF5,-0.4046,-0.2634,0.640079,0.790546,0.96667,NS,Concordant Down
A2M,-0.2259,-0.4421,0.894417,0.5441,0.929187,NS,Concordant Down
PARVB,-0.507,-0.16,0.494486,0.937539,0.810873,NS,Concordant Down
MAPRE2,-0.5934,0.07,0.108713,0.98011,0.143993,NS,HR↓ LR↑
NDUFS5,0.3392,0.3234,0.600631,0.574322,0.999448,NS,Concordant Up
APOC2,-0.1998,-0.4617,0.944218,0.637232,0.926759,NS,Concordant Down
SNRPD3,0.4571,0.2034,0.454637,0.855949,0.863711,NS,Concordant Up
TKT,0.5102,-0.15,0.635262,0.965807,0.576867,NS,HR↑ LR↓
CAB39,-0.3657,-0.2936,0.384868,0.502653,0.982759,NS,Concordant Down
RPS5,-0.629,0.03,0.424745,0.998454,0.516743,NS,HR↓ LR↑
KPNB1,-0.5301,-0.1285,0.359353,0.951565,0.691977,NS,Concordant Down
SAMM50,0.543,0.1132,0.116645,0.936475,0.444679,NS,Concordant Up
FKBP2,0.237,0.4189,0.875013,0.538118,0.945827,NS,Concordant Up
S100A11,-0.555,-0.1006,0.593895,0.9852,0.793166,NS,Concordant Down
PDHX,0.4754,0.1796,0.152254,0.80204,0.669375,NS,Concordant Up
CAV1,-0.6397,0.0146,0.18176899999999999,0.999439,0.305003,NS,HR↓ LR↑
RPS27A,0.322,-0.3318,0.733399,0.669864,0.328542,NS,HR↑ LR↓
MGLL,0.5291,0.1245,0.351722,0.930516,0.636561,NS,Concordant Up
RPIA,-0.3497,0.3023,0.654633,0.666253,0.268207,NS,HR↓ LR↑
RAB6A,0.4044,-0.2475,0.455363,0.740757,0.186621,NS,HR↑ LR↓
SSB,-0.5615,-0.0903,0.556958,0.988575,0.773211,NS,Concordant Down
FTL,-0.1718,0.4787,0.959169,0.630117,0.582227,NS,HR↓ LR↑
CSRP3,-0.3662,0.2839,0.544503,0.666718,0.195562,NS,HR↓ LR↑
EPB41L2,0.1919,0.4576,0.945637,0.414875,0.906704,NS,Concordant Up
SMPX,0.4472,0.202,0.65351,0.916694,0.922143,NS,Concordant Up
ANK2,0.2665,0.3826,0.629439,0.211816,0.949617,NS,Concordant Up
HINT1,-0.4798,0.1688,0.225034,0.858348,0.124768,NS,HR↓ LR↑
RRAD,-0.2285,0.4201,0.93165,0.678712,0.585609,NS,HR↓ LR↑
TMEM109,0.2513,-0.3968,0.823332,0.509348,0.298516,NS,HR↑ LR↓
KYAT1,-0.2838,-0.3624,0.799523,0.578469,0.989065,NS,Concordant Down
ERAP1,-0.49,-0.1557,0.450349,0.921942,0.783669,NS,Concordant Down
SAR1A,0.4562,-0.1893,0.468749,0.88572,0.308407,NS,HR↑ LR↓
PSMA2,-0.4624,-0.1828,0.324458,0.856564,0.788987,NS,Concordant Down
CHMP2A,-0.5225,0.1211,0.208006,0.924623,0.147128,NS,HR↓ LR↑
PLS3,0.2087,0.4313,0.887464,0.463672,0.905355,NS,Concordant Up
XPNPEP1,-0.5104,-0.1287,0.267199,0.935855,0.63804399999999994,NS,Concordant Down
CAPZA1,0.5566,0.0819,0.523919,0.988023,0.728976,NS,Concordant Up
ATP5MF,-0.2961,-0.3402,0.70598,0.556629,0.995745,NS,Concordant Down
INPP1,-0.6181,0.0172,0.550974,0.999522,0.612663,NS,HR↓ LR↑
IST1,-0.5372,-0.0975,0.442526,0.972498,0.67516,NS,Concordant Down
TNNT3,-0.4833,-0.151,0.546606,0.947331,0.833307,NS,Concordant Down
RAB12,0.3099,-0.3238,0.690336,0.585558,0.242842,NS,HR↑ LR↓
CKMT2,0.2983,0.3336,0.580072,0.416903,0.996246,NS,Concordant Up
PPP2R5D,-0.6018,-0.0297,0.556501,0.998343,0.656812,NS,Concordant Down
TSN,0.1846,-0.4468,0.887957,0.325458,0.241777,NS,HR↑ LR↓
ISCU,0.4449,0.1847,0.672547,0.900073,0.90362,NS,Concordant Up
GYPC,-0.3469,-0.2815,0.827039,0.865072,0.995713,NS,Concordant Down
MFAP4,-0.0922,-0.5353,0.982206,0.495969,0.725977,NS,Concordant Down
DES,-0.3624,0.2649,0.790182,0.869053,0.565599,NS,HR↓ LR↑
OTUB1,-0.439,0.188,0.160882,0.751457,0.05368,NS,HR↓ LR↑
RAB11B,-0.4363,0.1885,0.290802,0.804785,0.129887,NS,HR↓ LR↑
SCRN2,-0.3512,-0.2734,0.673618,0.765022,0.989065,NS,Concordant Down
PRXL2A,0.4032,-0.221,0.531357,0.826902,0.296256,NS,HR↑ LR↓
IGHM,-0.1967,-0.4271,0.938334,0.659349,0.937036,NS,Concordant Down
ZBTB9,0.1214,-0.5014,0.962019,0.317741,0.344337,NS,HR↑ LR↓
CD36,-0.6165,0.0059,0.24385,0.99991,0.366831,NS,HR↓ LR↑
CNDP2,-0.5864,0.0358,0.150792,0.995499,0.232494,NS,HR↓ LR↑
PSMD10,-0.5446,-0.0776,0.184935,0.976405,0.457686,NS,Concordant Down
FXYD1,0.4345,0.1865,0.752473,0.902186,0.928276,NS,Concordant Up
TPP2,0.5259,0.0948,0.15167,0.957494,0.456114,NS,Concordant Up
MRPL12,0.2839,0.3356,0.691189,0.528334,0.993471,NS,Concordant Up
ARPC3,-0.4306,0.1885,0.654331,0.914562,0.491114,NS,HR↓ LR↑
SARS1,-0.2283,-0.3905,0.891483,0.577532,0.958281,NS,Concordant Down
SPR,-0.4855,0.133,0.442806,0.948727,0.37325,NS,HR↓ LR↑
MRPS22,0.3915,0.2267,0.555728,0.816537,0.941681,NS,Concordant Up
MYO18A,-0.4242,0.1922,0.525096,0.874552,0.335329,NS,HR↓ LR↑
VIM,-0.3014,0.3145,0.801995,0.747414,0.454792,NS,HR↓ LR↑
TPM1,-0.3507,-0.2648,0.737405,0.823823,0.989159,NS,Concordant Down
PABPC4,0.3722,-0.2425,0.395818,0.667099,0.120789,NS,HR↑ LR↓
LAMTOR3,-0.5654,0.0485,0.064687,0.986954,0.096179,NS,HR↓ LR↑
ANXA1,-0.376,0.2374,0.736416,0.877039,0.520818,NS,HR↓ LR↑
RASA4,-0.5299,-0.0832,0.415245,0.979984,0.645879,NS,Concordant Down
COX19,0.5739,0.0383,0.197776,0.995184,0.397568,NS,Concordant Up
ERO1A,-0.5504,-0.0604,0.443655,0.991766,0.643175,NS,Concordant Down
PMM2,-0.389,-0.2208,0.508717,0.80719,0.931645,NS,Concordant Down
DTD1,-0.3923,-0.2169,0.544344,0.820566,0.930877,NS,Concordant Down
RWDD1,0.411,0.198,0.715035,0.865243,0.93317,NS,Concordant Up
CA2,-0.3432,-0.2652,0.601526,0.71402,0.985939,NS,Concordant Down
SPTB,-0.1276,-0.4795,0.968494,0.489438,0.81408,NS,Concordant Down
MYLK,0.1996,-0.4064,0.933297,0.674929,0.566347,NS,HR↑ LR↓
MTCH2,0.4348,0.1705,0.294488,0.850228,0.773989,NS,Concordant Up
NXN,-0.6005,0.0043,0.256555,0.999951,0.385764,NS,HR↓ LR↑
JPH1,-0.2424,-0.3623,0.830238,0.567754,0.971234,NS,Concordant Down
RPL38,0.3784,-0.2262,0.615118,0.835308,0.367115,NS,HR↑ LR↓
NIPSNAP3A,0.4276,-0.176,0.488477,0.893444,0.330801,NS,HR↑ LR↓
SCP2,-0.2755,0.3278,0.83503,0.65005,0.432154,NS,HR↓ LR↑
COPB2,0.4349,0.1683,0.591822,0.89915,0.869065,NS,Concordant Up
LCMT1,0.5505,0.0517,0.170027,0.988806,0.376352,NS,Concordant Up
PKIA,0.1018,-0.4983,0.969557,0.254898,0.309322,NS,HR↑ LR↓
AHNAK,0.3079,0.292,0.644389,0.624063,0.999402,NS,Concordant Up
SERPINF1,0.4797,0.1201,0.513646,0.96042400000000006,0.777479,NS,Concordant Up
MCTS1,-0.4014,0.1983,0.404553,0.811929,0.2,NS,HR↓ LR↑
VPS26A,0.4828,0.1139,0.225579,0.939398,0.591279,NS,Concordant Up
SLC25A5,-0.3537,-0.2424,0.660822,0.810697,0.976535,NS,Concordant Down
HSDL1,0.0851,0.5105,0.97634,0.178059,0.545199,NS,Concordant Up
HSPE1,0.2469,0.3479,0.596322,0.228275,0.954333,NS,Concordant Up
TUBB2A,-0.2268,0.3674,0.855203,0.565553,0.369137,NS,HR↓ LR↑
NDUFA3,0.1346,0.459,0.951096,0.359538,0.777012,NS,Concordant Up
IPO7,0.1803,-0.4131,0.90382,0.435703,0.338076,NS,HR↑ LR↓
DGLUCY,-0.5769,-0.0162,0.363021,0.999362,0.506403,NS,Concordant Down
ENOPH1,-0.3102,-0.281,0.585967,0.597127,0.997671,NS,Concordant Down
GLOD4,-0.3945,0.1966,0.257913,0.734966,0.087038,NS,HR↓ LR↑
GNAS,-0.5463,-0.0442,0.139711,0.991485,0.333594,NS,Concordant Down
MAPRE1,-0.4803,0.109,0.243459,0.942825,0.200429,NS,HR↓ LR↑
ARIH2,-0.4939,0.0946,0.518125,0.980707,0.516681,NS,HR↓ LR↑
HBA1,0.0311,-0.5571,0.998288,0.372476,0.529922,NS,HR↑ LR↓
ATP5PO,0.2952,0.292,0.393544,0.325622,0.999957,NS,Concordant Up
MYH8,-0.4968,-0.0898,0.727452,0.9878,0.850801,NS,Concordant Down
TXN2,-0.3806,0.2041,0.558195,0.846167,0.332718,NS,HR↓ LR↑
LPP,-0.3376,-0.2452,0.807646,0.871484,0.989624,NS,Concordant Down
SHMT2,0.4727,-0.1098,0.531539,0.96501,0.463626,NS,HR↑ LR↓
NDUFB7,0.3242,0.258,0.661154,0.744896,0.99055,NS,Concordant Up
ANXA2,-0.3222,0.2599,0.674859,0.749146,0.338088,NS,HR↓ LR↑
BROX,-0.3136,-0.2685,0.636758,0.664522,0.994967,NS,Concordant Down
GRSF1,-0.3554,0.2251,0.600047,0.757524,0.290281,NS,HR↓ LR↑
TIMM44,-0.431,-0.1494,0.554587,0.936849,0.854149,NS,Concordant Down
HDDC2,0.2694,0.31,0.876898,0.789595,0.998019,NS,Concordant Up
VTA1,0.2821,0.297,0.556911,0.45966,0.999251,NS,Concordant Up
SAR1B,-0.5125,-0.0666,0.433384,0.988818,0.658485,NS,Concordant Down
METAP2,-0.378,-0.2007,0.589592,0.859414,0.933313,NS,Concordant Down
GARNL3,0.2355,-0.3429,0.871568,0.724969,0.507537,NS,HR↑ LR↓
SET,-0.3819,0.1957,0.618709,0.868238,0.401635,NS,HR↓ LR↑
TNNC2,-0.3973,-0.1801,0.565647,0.893318,0.902475,NS,Concordant Down
HSPBP1,0.4518,0.1253,0.386982,0.93793,0.731553,NS,Concordant Up
PAK1,-0.4076,-0.1691,0.571517,0.899895,0.883094,NS,Concordant Down
CAMK2B,0.4501,0.1258,0.129776,0.888957,0.543629,NS,Concordant Up
GABARAPL2,0.4044,-0.1689,0.639253,0.921807,0.488711,NS,HR↑ LR↓
TFG,0.1217,0.4515,0.939711,0.18127,0.653657,NS,Concordant Up
HSPA2,-0.2459,-0.3261,0.778209,0.555295,0.984312,NS,Concordant Down
SH3BGR,-0.3718,-0.1999,0.420349,0.785045,0.904058,NS,Concordant Down
SPCS1,0.0054,0.5658,0.999939,0.182313,0.449554,NS,Concordant Up
CAMK2G,-0.3813,-0.1896,0.554982,0.867279,0.916271,NS,Concordant Down
ADSL,-0.4491,-0.1209,0.261247,0.926936,0.651997,NS,Concordant Down
DBI,0.225,-0.3443,0.869172,0.642654,0.44353,NS,HR↑ LR↓
MYO1C,-0.1314,0.4377,0.936686,0.254788,0.257669,NS,HR↓ LR↑
PGRMC1,0.4931,0.0755,0.37732,0.982419,0.636472,NS,Concordant Up
NTMT1,-0.5456,0.0227,0.398931,0.998556,0.466566,NS,HR↓ LR↑
MYL4,-0.2779,-0.2899,0.86258,0.824495,0.99983,NS,Concordant Down
HNRNPC,-0.3946,-0.1722,0.859734,0.947306,0.961302,NS,Concordant Down
AQP1,0.238,-0.3279,0.857218,0.663245,0.449898,NS,HR↑ LR↓
RPS20,0.0682,0.4962,0.985466,0.214999,0.5523,NS,Concordant Up
FIS1,-0.4719,0.0922,0.446997,0.975109,0.432632,NS,HR↓ LR↑
AKR7A2,0.4307,-0.1333,0.47028,0.938929,0.377567,NS,HR↑ LR↓
ADH1B,0.1915,-0.3723,0.916659,0.630194,0.500864,NS,HR↑ LR↓
KPNA1,-0.4425,0.1202,0.437403,0.94294,0.34701,NS,HR↓ LR↑
HSPB8,0.2059,-0.3566,0.829541,0.438482,0.256279,NS,HR↑ LR↓
MTRES1,0.319,0.2434,0.635312,0.75934,0.986498,NS,Concordant Up
ACTN2,-0.4596,0.1023,0.794044,0.988617,0.77336800000000006,NS,HR↓ LR↑
XPO1,-0.4784,0.0834,0.422002,0.978163,0.413765,NS,HR↓ LR↑
COL6A3,-0.3355,0.2259,0.770157,0.878841,0.554811,NS,HR↓ LR↑
EIF2S2,0.48,0.0813,0.453632,0.981706,0.70107,NS,Concordant Up
FABP3,-0.4547,0.1061,0.22896,0.941908,0.193782,NS,HR↓ LR↑
ATL2,-0.3573,-0.2033,0.680426,0.878851,0.957605,NS,Concordant Down
FLNA,-0.426,-0.1344,0.347971,0.916401,0.74502,NS,Concordant Down
BZW1,0.4636,-0.0967,0.592859,0.977986,0.555466,NS,HR↑ LR↓
SPEG,-0.249,-0.3107,0.839682,0.725621,0.993554,NS,Concordant Down
PSMB7,-0.3596,-0.2,0.428509,0.774148,0.91401,NS,Concordant Down
RTCA,-0.5116,0.0478,0.278358,0.992177,0.343826,NS,HR↓ LR↑
DHRS7B,-0.1194,-0.4394,0.953865,0.327122,0.74265,NS,Concordant Down
HIKESHI,0.2403,0.3182,0.839451,0.704206,0.989096,NS,Concordant Up
UBL5,0.1984,-0.36,0.898332,0.609378,0.456484,NS,HR↑ LR↓
DPP3,-0.3878,-0.1705,0.346046,0.832265,0.830773,NS,Concordant Down
SLC25A6,0.4363,0.1218,0.239396,0.917392,0.645375,NS,Concordant Up
CSRP1,0.3207,0.2372,0.830136,0.889205,0.991919,NS,Concordant Up
PPIL3,-0.4202,-0.1376,0.598545,0.954451,0.867716,NS,Concordant Down
PMPCA,-0.2862,-0.2706,0.779313,0.793132,0.999597,NS,Concordant Down
PDLIM5,-0.3846,-0.1714,0.527714,0.886854,0.890135,NS,Concordant Down
KPNA6,0.431,0.1246,0.355758,0.927898,0.723837,NS,Concordant Up
NEDD8,0.2381,-0.3172,0.772489,0.540511,0.270934,NS,HR↑ LR↓
SPTBN1,0.3321,-0.2231,0.725737,0.859129,0.488462,NS,HR↑ LR↓
AMPD3,-0.323,-0.231,0.69303,0.814747,0.982992,NS,Concordant Down
TSG101,-0.1251,-0.4289,0.946182,0.3173,0.753055,NS,Concordant Down
RPA2,-0.5329,-0.0203,0.337601,0.998553,0.46679,NS,Concordant Down
MB,-0.296,0.257,0.562684,0.605939,0.171709,NS,HR↓ LR↑
ESD,-0.42,-0.1323,0.242948,0.89441,0.681454,NS,Concordant Down
BCAT2,0.3464,0.2051,0.602295,0.833355,0.952677,NS,Concordant Up
SERBP1,-0.1614,-0.3899,0.938702,0.579442,0.907638,NS,Concordant Down
MPST,-0.125,-0.4251,0.921139,0.164538,0.654496,NS,Concordant Down
NCL,-0.5162,-0.0325,0.14485,0.995313,0.333797,NS,Concordant Down
HPCAL1,-0.4746,-0.0723,0.345435,0.979496,0.596734,NS,Concordant Down
SUGT1,-0.5294,-0.0157,0.738561,0.999565,0.780233,NS,Concordant Down
ILK,0.3695,0.1747,0.507595,0.858534,0.894386,NS,Concordant Up
CTSD,-0.4894,0.0547,0.287855,0.989008,0.339114,NS,HR↓ LR↑
YBX1,0.5113,0.0327,0.165447,0.995399,0.36012,NS,Concordant Up
HIBCH,0.2363,0.3073,0.814602,0.634919,0.988849,NS,Concordant Up
APMAP,-0.5311,0.0113,0.347748,0.999658,0.466736,NS,HR↓ LR↑
GCLM,-0.3286,-0.2132,0.628997,0.820839,0.968604,NS,Concordant Down
ACAA1,0.2054,-0.3363,0.870034,0.603075,0.41143,NS,HR↑ LR↓
UNC45B,0.2792,0.262,0.654071,0.64105,0.999188,NS,Concordant Up
CUL4A,-0.5111,0.0299,0.424904,0.997771,0.511375,NS,HR↓ LR↑
IGHV3-7,0.1528,-0.3878,0.949783,0.615004,0.548383,NS,HR↑ LR↓
SLC37A4,-0.0768,-0.4637,0.982677,0.323187,0.655373,NS,Concordant Down
ATP5MG,0.5346,-0.0055,0.237899,0.999902,0.371635,NS,HR↑ LR↓
AAMDC,-0.29,-0.2499,0.741481,0.774157,0.996776,NS,Concordant Down
ARL6IP5,-0.5371,0.0019,0.134786,0.999985,0.26075,NS,HR↓ LR↑
DPYSL3,-0.3797,0.1589,0.588869,0.915566,0.437942,NS,HR↓ LR↑
CAMK2A,0.1344,-0.4041,0.949562,0.47391,0.438353,NS,HR↑ LR↓
RPL27,-0.3718,-0.1664,0.687475,0.922082,0.92819,NS,Concordant Down
