pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS,Response To Organophosphorus,GO:BP,1.544,1.132,0.3266,0.86240000000000006,NS,16
GOBP_RESPONSE_TO_PEPTIDE_HORMONE,Response To Peptide Hormone,GO:BP,-1.496,1.172,0.1775,0.731,NS,80
GOBP_TORC1_SIGNALING,Torc1 Signaling,GO:BP,-1.628,1.039,0.192,0.8863,NS,24
GOBP_LIPID_CATABOLIC_PROCESS,Lipid Catabolic Process,GO:BP,1.498,1.167,0.2232,0.7488,NS,63
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS,L Amino Acid Catabolic Process,GO:BP,1.556,-1.099,0.2618,0.8758,NS,24
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,Actin Filament Based Movement,GO:BP,-1.561,1.093,0.192,0.8681,NS,42
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION,Protein K48 Linked Ubiquitination,GO:BP,-1.274,-1.38,0.5876,0.6285,NS,17
GOBP_CELL_CELL_JUNCTION_ASSEMBLY,Cell Cell Junction Assembly,GO:BP,1.092,1.56,0.7469,0.3574,NS,18
GOBP_PROTEIN_FOLDING,Protein Folding,GO:BP,1.141,1.511,0.6528,0.334,NS,83
GOBP_MUSCLE_ADAPTATION,Muscle Adaptation,GO:BP,-1.561,-1.088,0.2188,0.8758,NS,29
GOBP_REGULATION_OF_PHOSPHORYLATION,Regulation Of Phosphorylation,GO:BP,-1.329,-1.316,0.4016,0.5981,NS,55
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,Regulation Of Striated Muscle Contraction,GO:BP,-1.425,-1.21,0.3538,0.733,NS,33
GOBP_SPINDLE_ORGANIZATION,Spindle Organization,GO:BP,-1.099,1.526,0.7296,0.3444,NS,41
GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,Positive Regulation Of Kinase Activity,GO:BP,-1.529,-1.092,0.3198,0.8758,NS,18
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Regulation Of Cardiac Muscle Contraction B...,GO:BP,-1.503,-1.108,0.3343,0.8659,NS,18
GOBP_LIPID_MODIFICATION,Lipid Modification,GO:BP,1.505,1.1,0.2691,0.8561,NS,43
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,Positive Regulation Of Wnt Signaling Pathway,GO:BP,1.245,1.357,0.6365,0.652,NS,15
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,Cytoskeleton Dependent Intracellular Trans...,GO:BP,-1.512,1.089,0.2484,0.8758,NS,34
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.303,1.296,0.5198,0.662,NS,33
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Regulation Of Cardiac Muscle Contraction,GO:BP,-1.391,-1.199,0.4286,0.7722,NS,24
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Nucleoside Monophosphate Metabolic Process,GO:BP,-1.11,-1.477,0.7395,0.43120000000000003,NS,26
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Positive Regulation Of Lipid Metabolic Pro...,GO:BP,-1.666,0.919,0.192,0.9617,NS,21
GOBP_GLUCAN_METABOLIC_PROCESS,Glucan Metabolic Process,GO:BP,0.962,1.618,0.8721,0.3444,NS,30
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,Regulation Of Cell Junction Assembly,GO:BP,-1.187,1.392,0.6528,0.5598,NS,31
GOBP_LIPID_LOCALIZATION,Lipid Localization,GO:BP,1.292,-1.286,0.4703,0.6217,NS,60
GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,Regulation Of Cell Substrate Junction Orga...,GO:BP,-0.947,1.629,0.8802,0.3444,NS,17
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,-1.287,-1.277,0.5751,0.7035,NS,22
GOBP_REGULATION_OF_PROTEIN_TARGETING,Regulation Of Protein Targeting,GO:BP,-1.281,1.279,0.5751,0.7073,NS,21
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,Alpha Amino Acid Metabolic Process,GO:BP,1.664,-0.895,0.1159,0.9816,NS,59
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Negative Regulation Of Protein Modificatio...,GO:BP,-1.039,-1.519,0.784,0.3444,NS,45
GOBP_RESPONSE_TO_RADIATION,Response To Radiation,GO:BP,-1.061,-1.497,0.7502,0.3444,NS,57
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,Regulation Of Response To Cytokine Stimulus,GO:BP,-1.575,-0.982,0.2691,0.9372,NS,18
