pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_EPITHELIAL_CELL_DEVELOPMENT,Epithelial Cell Development,GO:BP,-1.537,-0.928,0.2511,0.9514,NS,29
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,Regulation Of Cell Cycle Phase Transition,GO:BP,-1.093,-1.366,0.7411,0.5462,NS,33
GOBP_REGULATION_OF_MUSCLE_ADAPTATION,Regulation Of Muscle Adaptation,GO:BP,-1.341,-1.117,0.4971,0.8413,NS,24
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI,Retrograde Transport Endosome To Golgi,GO:BP,1.12,1.337,0.7287,0.6204,NS,21
GOBP_MYOTUBE_CELL_DEVELOPMENT,Myotube Cell Development,GO:BP,-1.003,-1.45,0.8305,0.5351,NS,16
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY,Insulin Receptor Signaling Pathway,GO:BP,-1.063,1.389,0.7589,0.5462,NS,25
GOBP_RESPONSE_TO_INSULIN,Response To Insulin,GO:BP,-1.267,1.182,0.5162,0.7388,NS,53
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Cellular Response To Molecule Of Bacterial...,GO:BP,-1.461,0.987,0.3373,0.9277,NS,22
GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,Cellular Response To Light Stimulus,GO:BP,-1.076,-1.37,0.7497,0.6204,NS,15
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Regulation Of Establishment Of Protein Loc...,GO:BP,-1.148,-1.296,0.7073,0.6948,NS,16
GOBP_NEGATIVE_REGULATION_OF_GROWTH,Negative Regulation Of Growth,GO:BP,-1.543,0.894,0.2669,0.9625,NS,19
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,Cardiac Muscle Cell Differentiation,GO:BP,-1.464,0.969,0.3365,0.9477,NS,25
GOBP_MUSCLE_CELL_PROLIFERATION,Muscle Cell Proliferation,GO:BP,-1.032,-1.398,0.7859,0.5417,NS,26
GOBP_STEROID_METABOLIC_PROCESS,Steroid Metabolic Process,GO:BP,-0.848,-1.576,0.9748,0.3147,NS,47
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Regulation Of Protein Localization To Memb...,GO:BP,-0.859,1.561,0.961,0.3147,NS,44
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,NADH Dehydrogenase Complex Assembly,GO:BP,1.675,-0.741,0.1424,0.9994,NS,25
GOBP_NON_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,Non Proteinogenic Amino Acid Metabolic Pro...,GO:BP,1.147,-1.268,0.7042,0.7146,NS,16
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,-1.087,-1.328,0.7427,0.6204,NS,23
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,Regulation Of Actin Filament Based Process,GO:BP,-1.389,1.024,0.3236,0.879,NS,63
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,Regulation Of Double Strand Break Repair,GO:BP,-1.308,1.105,0.5619,0.8514,NS,15
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,Positive Regulation Of Protein Modificatio...,GO:BP,-1.281,-1.131,0.4949,0.7843,NS,57
GOBP_FATTY_ACID_TRANSPORT,Fatty Acid Transport,GO:BP,1.279,1.13,0.5694,0.8367,NS,21
GOBP_DEVELOPMENTAL_CELL_GROWTH,Developmental Cell Growth,GO:BP,-1.556,0.851,0.2448,0.9731,NS,26
GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION,Protein Localization To Extracellular Region,GO:BP,-1.197,1.203,0.6105,0.7146,NS,54
GOBP_THIOESTER_BIOSYNTHETIC_PROCESS,Thioester Biosynthetic Process,GO:BP,1.274,1.124,0.571,0.8372,NS,22
GOBP_DEVELOPMENTAL_MATURATION,Developmental Maturation,GO:BP,0.824,1.569,0.983,0.3147,NS,26
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,-0.865,-1.527,0.8461,0.119,NS,54
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,Negative Regulation Of Phosphorus Metaboli...,GO:BP,-1.176,-1.215,0.6483,0.7146,NS,39
GOBP_CELL_MATRIX_ADHESION,Cell Matrix Adhesion,GO:BP,0.791,1.599,0.9983,0.3147,NS,36
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,Regulation Of Small Gtpase Mediated Signal...,GO:BP,-1.513,-0.874,0.2757,0.9731,NS,29
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Poly...,GO:BP,-1.135,-1.25,0.7176,0.7205,NS,17
GOBP_RESPONSE_TO_PURINE_CONTAINING_COMPOUND,Response To Purine Containing Compound,GO:BP,1.208,-1.177,0.6426,0.7809,NS,23
GOBP_IMPORT_INTO_NUCLEUS,Import Into Nucleus,GO:BP,-1.092,-1.292,0.7363,0.6204,NS,38
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Regulation Of Supramolecular Fiber Organiz...,GO:BP,-1.521,-0.863,0.1684,0.9904,NS,74
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,Positive Regulation Of Synaptic Transmission,GO:BP,-0.848,-1.533,0.9542,0.3906,NS,17
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,Positive Regulation Of Cell Growth,GO:BP,-1.416,-0.963,0.4002,0.9477,NS,22
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,Response To Type Ii Interferon,GO:BP,-0.849,1.53,0.9568,0.3694,NS,22
GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION,Positive Regulation Of Phosphorylation,GO:BP,-1.267,-1.109,0.5694,0.8413,NS,29
GOBP_NEUROMUSCULAR_PROCESS,Neuromuscular Process,GO:BP,-1.748,0.627,0.08597,0.9994,NS,34
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Ameboidal Type Cell Migration,GO:BP,-0.986,1.387,0.8461,0.5247,NS,33
GOBP_REGULATION_OF_NEUROGENESIS,Regulation Of Neurogenesis,GO:BP,-1.171,1.202,0.6483,0.7225,NS,39
GOBP_GLUTATHIONE_METABOLIC_PROCESS,Glutathione Metabolic Process,GO:BP,-0.975,-1.398,0.8622,0.5714,NS,22
GOBP_MESENCHYME_DEVELOPMENT,Mesenchyme Development,GO:BP,-1.419,-0.952,0.4286,0.9514,NS,17
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,Organic Hydroxy Compound Transport,GO:BP,-0.836,-1.535,0.9777,0.3175,NS,31
GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Positive Regulation Of Cytoskeleton Organi...,GO:BP,-1.536,0.835,0.2299,0.9855,NS,36
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,Positive Regulation Of Hydrolase Activity,GO:BP,0.994,1.375,0.841,0.6162,NS,17
GOBP_RESPONSE_TO_NUTRIENT,Response To Nutrient,GO:BP,-0.889,-1.48,0.943,0.3855,NS,31
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,Regulation Of Nervous System Development,GO:BP,-1.273,1.095,0.5184,0.8514,NS,42
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,Microtubule Polymerization Or Depolymeriza...,GO:BP,-1.488,-0.879,0.3236,0.971,NS,24
GOBP_AMINO_ACID_ACTIVATION,Amino Acid Activation,GO:BP,1.078,1.279,0.7466,0.6875,NS,25
GOBP_MITOTIC_SPINDLE_ORGANIZATION,Mitotic Spindle Organization,GO:BP,0.747,1.609,0.9983,0.3147,NS,28
GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,Nucleobase Containing Compound Transport,GO:BP,1.172,1.184,0.6752,0.7674,NS,26
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,Regulation Of Cellular Component Size,GO:BP,-1.334,1.021,0.4077,0.8835,NS,52
GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,Positive Regulation Of Immune Effector Pro...,GO:BP,-1.296,1.058,0.5184,0.8685,NS,31
GOBP_POSTSYNAPSE_ORGANIZATION,Postsynapse Organization,GO:BP,-1.362,0.992,0.4612,0.9204,NS,26
GOBP_HOMOTYPIC_CELL_CELL_ADHESION,Homotypic Cell Cell Adhesion,GO:BP,-1.246,1.107,0.5924,0.8514,NS,24
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Positive Regulation Of Protein Localizatio...,GO:BP,0.927,1.426,0.8919,0.5138,NS,23
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,Response To Xenobiotic Stimulus,GO:BP,0.633,-1.718,0.9983,0.1606,NS,66
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,-1.179,-1.171,0.6798,0.7843,NS,17
GOBP_CELL_SUBSTRATE_ADHESION,Cell Substrate Adhesion,GO:BP,-0.841,1.508,0.9922,0.3147,NS,55
GOBP_EXOCYTOSIS,Exocytosis,GO:BP,-1.267,-1.079,0.5225,0.8514,NS,47
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,Cerebral Cortex Development,GO:BP,-1.447,-0.895,0.3875,0.9625,NS,15
GOBP_PROTEIN_TETRAMERIZATION,Protein Tetramerization,GO:BP,1.21,-1.126,0.6426,0.8342,NS,24
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION,Regulation Of Postsynapse Organization,GO:BP,-1.37,0.965,0.4987,0.9442,NS,15
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,Myeloid Leukocyte Differentiation,GO:BP,-1.131,-1.203,0.7176,0.7617,NS,17
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,Positive Regulation Of Cell Projection Org...,GO:BP,0.896,1.438,0.943,0.404,NS,40
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,Mitotic Sister Chromatid Segregation,GO:BP,-0.976,1.356,0.8622,0.5871,NS,26
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Long Chain Fatty Acid Metabolic Process,GO:BP,1.089,-1.242,0.7427,0.7146,NS,23
GOBP_REGULATION_OF_PROTEIN_SECRETION,Regulation Of Protein Secretion,GO:BP,-1.088,1.242,0.7416,0.6953,NS,40
GOBP_TOR_SIGNALING,Tor Signaling,GO:BP,-1.306,1.022,0.5042,0.8835,NS,35
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,Long Chain Fatty Acid Transport,GO:BP,1.134,1.191,0.7176,0.7768,NS,18
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,Vascular Process In Circulatory System,GO:BP,-0.745,-1.58,0.9983,0.3147,NS,29
GOBP_RESPONSE_TO_LIGHT_STIMULUS,Response To Light Stimulus,GO:BP,-1.035,-1.289,0.7815,0.6204,NS,43
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,Production Of Molecular Mediator Of Immune...,GO:BP,-0.918,1.404,0.8919,0.5758,NS,18
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Protein Containing Complex Disassembly,GO:BP,-1.263,-1.059,0.5184,0.8514,NS,53
GOBP_CELLULAR_RESPONSE_TO_ALCOHOL,Cellular Response To Alcohol,GO:BP,1.33,0.991,0.5248,0.9186,NS,15
GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Cytoplasmic Pattern Recognition Receptor S...,GO:BP,-1.079,-1.242,0.7427,0.6974,NS,31
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,Positive Regulation Of Calcium Ion Transport,GO:BP,-0.75,-1.568,0.9983,0.3175,NS,22
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,Negative Regulation Of Molecular Function,GO:BP,-1.015,-1.303,0.7974,0.5847,NS,54
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION,Positive Regulation Of Phosphatidylinosito...,GO:BP,-0.991,-1.325,0.841,0.6423,NS,18
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS,Microtubule Cytoskeleton Organization Invo...,GO:BP,0.857,1.458,0.961,0.4172,NS,33
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,External Encapsulating Structure Organization,GO:BP,-1.04,1.274,0.7815,0.6875,NS,31
GOBP_PROTEIN_DEPOLYMERIZATION,Protein Depolymerization,GO:BP,-1.089,-1.221,0.7416,0.7206,NS,26
GOBP_VACUOLE_ORGANIZATION,Vacuole Organization,GO:BP,-1.186,-1.123,0.6426,0.8154,NS,40
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION,Regulation Of Cell Substrate Adhesion,GO:BP,-0.776,1.529,0.9983,0.3165,NS,37
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,1.264,1.04,0.4771,0.9104,NS,25
GOBP_BONE_DEVELOPMENT,Bone Development,GO:BP,-1.507,-0.796,0.3001,0.9904,NS,19
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,Positive Regulation Of Cell Substrate Adhe...,GO:BP,0.757,1.546,0.9983,0.3165,NS,28
GOBP_PLATELET_ACTIVATION,Platelet Activation,GO:BP,-1.192,1.11,0.6624,0.8514,NS,22
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,-1.311,-0.991,0.449,0.9162,NS,24
GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,Signal Transduction In Response To DNA Damage,GO:BP,-1.158,-1.144,0.7034,0.8249,NS,19
GOBP_REGULATION_OF_LIPID_LOCALIZATION,Regulation Of Lipid Localization,GO:BP,-1.102,1.199,0.7381,0.7545,NS,23
GOBP_SEQUESTERING_OF_CALCIUM_ION,Sequestering Of Calcium Ion,GO:BP,-1.154,-1.143,0.6803,0.7843,NS,34
GOBP_SISTER_CHROMATID_SEGREGATION,Sister Chromatid Segregation,GO:BP,-1.127,1.17,0.7045,0.7763,NS,28
GOBP_ATP_METABOLIC_PROCESS,ATP Metabolic Process,GO:BP,1.513,0.782,0.1152,0.9994,NS,121
GOBP_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS,Cellular Response To Osmotic Stress,GO:BP,1.3,-0.995,0.5619,0.9186,NS,17
GOBP_ORGANELLE_DISASSEMBLY,Organelle Disassembly,GO:BP,1.186,1.108,0.6798,0.8514,NS,16
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS,Secondary Alcohol Metabolic Process,GO:BP,-0.939,-1.355,0.8905,0.588,NS,27
GOBP_LOCOMOTORY_BEHAVIOR,Locomotory Behavior,GO:BP,0.92,1.372,0.8919,0.5927,NS,20
GOBP_ENDOCYTIC_RECYCLING,Endocytic Recycling,GO:BP,-0.819,1.472,0.9748,0.4747,NS,17
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Regulation Of Protein Localization To Nucleus,GO:BP,-0.715,-1.574,0.9983,0.3147,NS,36
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,Nucleoside Triphosphate Metabolic Process,GO:BP,1.502,0.785,0.1112,0.9994,NS,130
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,Protein RNA Complex Organization,GO:BP,1.41,-0.876,0.3236,0.9731,NS,53
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,Organic Acid Biosynthetic Process,GO:BP,1.218,1.067,0.571,0.8514,NS,61
GOBP_LYTIC_VACUOLE_ORGANIZATION,Lytic Vacuole Organization,GO:BP,-1.252,1.032,0.6105,0.879,NS,17
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Positive Regulation Of Protein Containing ...,GO:BP,-1.326,-0.957,0.4479,0.9514,NS,44
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,Regulation Of Innate Immune Response,GO:BP,-1.367,-0.916,0.3365,0.9685,NS,67
GOBP_PROTEIN_POLYMERIZATION,Protein Polymerization,GO:BP,-1.412,-0.87,0.3236,0.9843,NS,56
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,Viral Release From Host Cell,GO:BP,0.987,-1.294,0.841,0.6962,NS,15
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS,Olefinic Compound Metabolic Process,GO:BP,0.853,-1.428,0.9596,0.4975,NS,27
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,Positive Regulation Of Establishment Of Pr...,GO:BP,-1.164,1.115,0.6426,0.8154,NS,68
GOBP_NUCLEUS_ORGANIZATION,Nucleus Organization,GO:BP,-1.457,-0.821,0.3365,0.9855,NS,27
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,Water Soluble Vitamin Metabolic Process,GO:BP,0.719,-1.558,0.9983,0.3631,NS,18
GOBP_REGULATION_OF_PROTEOLYSIS,Regulation Of Proteolysis,GO:BP,-1.113,-1.163,0.6924,0.7204,NS,84
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Mitotic Cell Cycle Phase Transition,GO:BP,-1.422,-0.85,0.3236,0.9855,NS,46
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,1.263,-1.008,0.5184,0.8979,NS,50
GOBP_SINGLE_FERTILIZATION,Single Fertilization,GO:BP,1.165,-1.103,0.6863,0.8514,NS,21
GOBP_NUCLEAR_TRANSPORT,Nuclear Transport,GO:BP,-1.232,-1.035,0.5469,0.879,NS,63
GOBP_MICROTUBULE_BASED_TRANSPORT,Microtubule Based Transport,GO:BP,-1.401,0.862,0.3946,0.9731,NS,29
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organi...,GO:BP,-0.921,-1.34,0.9024,0.6175,NS,27
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,Regulation Of Actin Filament Organization,GO:BP,-1.433,0.827,0.3145,0.9904,NS,46
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,Establishment Of Organelle Localization,GO:BP,-1.102,1.157,0.7134,0.7545,NS,74
GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,Regulation Of Cell Cycle G1 S Phase Transi...,GO:BP,-1.777,0.481,0.07484,0.9994,NS,17
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,Protein Targeting To Membrane,GO:BP,0.662,1.594,0.9983,0.3175,NS,15
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,Cellular Response To Steroid Hormone Stimulus,GO:BP,1.303,0.951,0.5031,0.9514,NS,37
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,Protein Localization To Nucleus,GO:BP,-1.053,-1.201,0.7589,0.6972,NS,63
GOBP_CELL_KILLING,Cell Killing,GO:BP,-1.566,0.685,0.2158,0.9994,NS,31
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,Actin Polymerization Or Depolymerization,GO:BP,-1.296,0.954,0.5184,0.9514,NS,32
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS,Sensory Perception Of Mechanical Stimulus,GO:BP,1.622,0.628,0.208,0.9994,NS,18
GOBP_ESTABLISHMENT_OF_CELL_POLARITY,Establishment Of Cell Polarity,GO:BP,-1.078,1.171,0.7488,0.7829,NS,24
GOBP_MONOATOMIC_ANION_TRANSPORT,Monoatomic Anion Transport,GO:BP,1.179,-1.068,0.6803,0.8646,NS,16
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,Cardiac Muscle Tissue Development,GO:BP,-1.568,0.676,0.1944,0.9994,NS,41
GOBP_RENAL_SYSTEM_PROCESS,Renal System Process,GO:BP,-0.934,-1.31,0.888,0.6875,NS,15
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,Cardiac Chamber Development,GO:BP,-1.368,0.875,0.4949,0.9683,NS,16
GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Positive Regulation Of Supramolecular Fibe...,GO:BP,-1.617,0.626,0.171,0.9994,NS,36
GOBP_RRNA_METABOLIC_PROCESS,Rrna Metabolic Process,GO:BP,-1.166,-1.077,0.6798,0.8514,NS,30
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,Response To Toxic Substance,GO:BP,0.797,-1.444,0.9983,0.3175,NS,63
GOBP_POLYOL_METABOLIC_PROCESS,Polyol Metabolic Process,GO:BP,0.867,-1.373,0.9465,0.588,NS,20
GOBP_DEPHOSPHORYLATION,Dephosphorylation,GO:BP,-1.621,-0.618,0.2035,0.9994,NS,24
GOBP_RESPONSE_TO_ACTIVITY,Response To Activity,GO:BP,-0.872,-1.367,0.948,0.5847,NS,26
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,Cellular Oxidant Detoxification,GO:BP,0.75,-1.486,0.9983,0.3175,NS,39
GOBP_GASTRULATION,Gastrulation,GO:BP,-1.153,-1.082,0.7034,0.8514,NS,17
GOBP_LAMELLIPODIUM_ORGANIZATION,Lamellipodium Organization,GO:BP,-1.21,1.024,0.6483,0.879,NS,17
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION,Mesenchymal Cell Differentiation,GO:BP,-1.288,-0.946,0.5801,0.9514,NS,16
GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,Tumor Necrosis Factor Mediated Signaling P...,GO:BP,-1.49,-0.744,0.3365,0.9994,NS,16
GOBP_CELLULAR_RESPONSE_TO_RADIATION,Cellular Response To Radiation,GO:BP,-0.886,-1.346,0.9386,0.6204,NS,22
GOBP_CELLULAR_RESPONSE_TO_STARVATION,Cellular Response To Starvation,GO:BP,-1.288,0.939,0.5225,0.9514,NS,32
GOBP_ALCOHOL_METABOLIC_PROCESS,Alcohol Metabolic Process,GO:BP,-0.76,-1.464,0.9983,0.3147,NS,69
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,Regulation Of Synapse Structure Or Activity,GO:BP,-1.008,1.215,0.825,0.7206,NS,28
GOBP_GLAND_DEVELOPMENT,Gland Development,GO:BP,1.026,1.195,0.7859,0.7267,NS,44
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Regulation Of Pattern Recognition Receptor...,GO:BP,-1.179,-1.041,0.6483,0.879,NS,34
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT,Endosome To Lysosome Transport,GO:BP,-0.807,-1.409,0.9816,0.5847,NS,15
GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION,Smooth Muscle Cell Proliferation,GO:BP,-0.921,-1.294,0.8919,0.6875,NS,19
GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,Positive Regulation Of Small Molecule Meta...,GO:BP,-1.11,-1.102,0.7176,0.8514,NS,36
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,Nuclear Chromosome Segregation,GO:BP,-0.824,1.385,0.9922,0.5138,NS,36
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,Modified Amino Acid Biosynthetic Process,GO:BP,1.281,-0.927,0.582,0.9514,NS,17
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Negative Regulation Of Supramolecular Fibe...,GO:BP,-0.984,-1.224,0.8519,0.7046,NS,35
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH,Regulation Of Developmental Growth,GO:BP,-1.375,0.832,0.4037,0.9867,NS,36
GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Regulation Of Cytoplasmic Pattern Recognit...,GO:BP,-1.191,-1.015,0.6483,0.8916,NS,27
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,Negative Regulation Of Mrna Metabolic Process,GO:BP,-1.293,-0.912,0.5619,0.9588,NS,22
GOBP_NEGATIVE_REGULATION_OF_SECRETION,Negative Regulation Of Secretion,GO:BP,1.331,0.871,0.5162,0.9711,NS,20
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Positive Regulation Of Response To Biotic ...,GO:BP,-1.274,-0.928,0.5001,0.9625,NS,60
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,Ribonucleoprotein Complex Biogenesis,GO:BP,1.224,-0.977,0.5184,0.9477,NS,90
GOBP_AXO_DENDRITIC_TRANSPORT,Axo Dendritic Transport,GO:BP,-0.926,1.273,0.8897,0.7046,NS,17
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,Regulation Of Microtubule Polymerization,GO:BP,-1.338,0.861,0.5221,0.9731,NS,17
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,Regulation Of Cellular Response To Growth ...,GO:BP,-1.126,-1.07,0.7106,0.8514,NS,31
GOBP_ACTIN_FILAMENT_POLYMERIZATION,Actin Filament Polymerization,GO:BP,-1.201,0.994,0.6426,0.9204,NS,28
GOBP_DETOXIFICATION,Detoxification,GO:BP,0.812,-1.38,0.9983,0.4747,NS,48
GOBP_PROTEIN_HOMOTETRAMERIZATION,Protein Homotetramerization,GO:BP,1.204,-0.987,0.6553,0.9228,NS,16
GOBP_PROTEIN_DEPHOSPHORYLATION,Protein Dephosphorylation,GO:BP,-1.47,-0.72,0.3378,0.9994,NS,18
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO:BP,-0.772,1.416,0.9983,0.4408,NS,42
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO:BP,0.696,1.492,0.9983,0.3147,NS,63
GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION,Regulation Of Protein Polymerization,GO:BP,-1.398,-0.79,0.3493,0.9994,NS,43
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,Developmental Growth Involved In Morphogen...,GO:BP,-1.469,0.717,0.3365,0.9994,NS,25
GOBP_ACETYL_COA_METABOLIC_PROCESS,Acetyl Coa Metabolic Process,GO:BP,1.104,1.08,0.7363,0.8514,NS,15
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION,Ras Protein Signal Transduction,GO:BP,-1.296,-0.888,0.5694,0.9625,NS,15
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,-0.923,-1.258,0.8303,0.5731,NS,17
GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,Regulation Of Glucose Metabolic Process,GO:BP,-1.266,-0.912,0.5845,0.9588,NS,21
GOBP_ORGANIC_ANION_TRANSPORT,Organic Anion Transport,GO:BP,1.427,-0.748,0.3236,0.9994,NS,45
