"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"mfuzz","c2","d_myovision_fcsa_I","tracks",16,0.0559186211989179,0.0907578171555363,0.721082111080961,0.998961668261752
"mfuzz","c3","comp_hypertrophy","acute",15,0.244295940007566,0.0596805063041802,0.380227835733721,0.987501903099537
"mfuzz","c3","comp_hypertrophy","baseline",15,-0.0626207304163887,0.00392135587788204,0.824543550880999,0.998961668261752
"mfuzz","c3","comp_hypertrophy","tracks",16,-0.0743994878246562,0.0797602072680516,0.633198977052178,0.998961668261752
"mfuzz","c3","d_1rm_ext","acute",14,-0.167346079884134,0.0280047104525869,0.567436504306511,0.998961668261752
"mfuzz","c3","d_1rm_ext","baseline",14,-0.515344298599858,0.265579746099379,0.0592934392373434,0.585796459092599
"mfuzz","c3","d_1rm_ext","tracks",15,-0.123703736387097,0.0623589662752427,0.454899687290776,0.998961668261752
"mfuzz","c3","d_1rm_legpress","acute",15,0.191063304124389,0.0365051861829288,0.495166554483532,0.998961668261752
"mfuzz","c3","d_1rm_legpress","baseline",15,-0.106044760220843,0.011245491170296,0.706811136533929,0.998961668261752
"mfuzz","c3","d_1rm_legpress","tracks",16,-0.208500861955401,0.117631276191367,0.163135700543228,0.620345484425301
"mfuzz","c3","d_fcsa_I","acute",15,0.13594971809178,0.0184823258492346,0.629020717333334,0.998961668261752
"mfuzz","c3","d_fcsa_I","baseline",15,-0.133025561019124,0.0176957998844528,0.6364846736215,0.998961668261752
"mfuzz","c3","d_fcsa_I","tracks",16,-0.208163883619683,0.117553547049033,0.163522208804371,0.620345484425301
"mfuzz","c3","d_fcsa_II","acute",15,0.135646991852271,0.0184001063985701,0.629791901194555,0.998961668261752
"mfuzz","c3","d_fcsa_II","baseline",15,-0.104834671719573,0.0109903083945507,0.710022435134124,0.998961668261752
"mfuzz","c3","d_fcsa_II","tracks",16,-0.192878650331278,0.111416310474033,0.197521397039754,0.656219671099026
"mfuzz","c3","d_mcsa","acute",15,0.269994794451559,0.0728971890309395,0.330451589176466,0.914899815315483
"mfuzz","c3","d_mcsa","baseline",15,0.148034768216691,0.0219142926009694,0.598531841889604,0.998961668261752
"mfuzz","c3","d_mcsa","tracks",16,0.147174860945029,0.0958892326757944,0.327458281692874,0.914899815315483
"mfuzz","c3","d_myovision_fcsa_I","acute",15,0.373396623236205,0.1394250382442,0.170406434382739,0.628746075363935
"mfuzz","c3","d_myovision_fcsa_I","baseline",15,0.237555717322859,0.056432718832778,0.393917830402171,0.992672932613471
"mfuzz","c3","d_myovision_fcsa_I","tracks",16,0.00601759607340726,0.0742652784838036,0.969282237049317,0.998961668261752
"mfuzz","c4","comp_hypertrophy","acute",15,0.762741414237256,0.581774464992649,0.000942818477642577,0.142931695373793
"mfuzz","c4","comp_hypertrophy","baseline",15,0.387495505100608,0.150152766473175,0.153567327071999,0.61831662849167
