pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_TELOMERE_ORGANIZATION,0.08197320877765049,1.7571557428730356,30,HNRNPA2B1;HNRNPA1;HNRNPC;TCP1;HNRNPD;RPA2;H3-3A;XRCC6;RPA3;PTGES3;CCT8;HNRNPU;NEK7;PARP1;CCT6A;RUVBL2;CCT4,GO:BP,0.004164096236890808,0.5828511039421008,0.27986565266193214,Acute_LR
GOBP_RESPONSE_TO_ACTIVITY,0.08200753818686768,1.7618679785121432,26,CAT;ALAD;RBP4;ADIPOQ;GCLC;AGT;FN1;GCLM,GO:BP,0.004225352112676056,0.600098565530853,0.27986565266193214,Acute_LR
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,0.08425429143547179,1.6472065904582365,61,CLU;SNCA;SPTB;ADD1;HNRNPA1;GCLC;NPM1;TFRC;HNRNPC;TMOD1;PFN1;MTPN;H3-3A;SPTBN1;HUWE1,GO:BP,0.004402256156280093,0.47597710731052567,0.25663501697244306,Acute_LR
GOBP_REGULATION_OF_AUTOPHAGY,0.08461295023186446,-1.6454289095646553,70,DCN;SESN1;PRKAA2;VPS35;HSPB1;PRKACA;MAP2K1;RAB8A;IRGQ;PIP4K2B;TOM1;SCFD1;EPM2A;CISD1;PRKAA1;STK38L;ATP6V1H;DEPTOR;DNM1L,GO:BP,0.004482398669757697,-0.39312774128127387,0.40701791892395395,Acute_LR
GOBP_ENDOSOMAL_TRANSPORT,0.08602595695745031,-1.6708047297550694,55,UBE2O;RCSD1;VPS35;EHD2;MAP2K1;MAP2K2;RAB8A;LAMTOR1;TOM1;SCARB2;CHMP4B;VTA1;EHD1;RDX;DCTN1;RAB9A,GO:BP,0.0046668851760604734,-0.4177630062158589,0.40701791892395395,Acute_LR
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,0.08602595695745031,-1.7955572740710004,14,ROMO1;HSPD1;TIMM50;TOMM70;USP9X;AIFM1;DNAJC19,GO:BP,0.0046821094135041895,-0.6462560230047485,0.3350685587170139,Acute_LR
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,0.0868399322004433,1.7915600163174465,16,HNRNPA2B1;HNRNPA1;HNRNPC;TCP1;HNRNPD;PTGES3;CCT8;HNRNPU;PARP1;CCT6A;CCT4,GO:BP,0.004789430222956234,0.6830648581021634,0.269842314478839,Acute_LR
GOBP_REGULATION_OF_BLOOD_PRESSURE,0.08922148935014808,1.7734228550576512,21,TTR;HBB;SERPINF2;ADIPOQ;AGT,GO:BP,0.004985525892569958,0.6342008060163892,0.2608205677188685,Acute_LR
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,0.09579528158295282,-1.6973381438478903,29,PPP1R3A;PYGM;PPP1R1A;EPM2A;GAA;STBD1;PPP1CB;PHKB;AGL;UGP2;PHKA1;AKT1;GBE1;GYS1;PYGL;PFKM;GYG1;AKT2;PYGB;GSK3B;ACADM;COL6A1,GO:BP,0.005422374429223744,-0.49526573267239576,0.3350685587170139,Acute_LR
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,0.09815662234501814,1.7660928001411391,11,S100A9;DEFA3;PPBP;LTF;H2BC4;RPL30,GO:BP,0.005698497668796408,0.7402597346864577,0.2526439095662764,Acute_LR
