gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TKFC,0.43,0.982,0.378245,0.673048,NS
FBLN5,-0.5998,0.7029,0.378775,0.801117,NS
DDOST,0.3593,1.1664,0.381018,0.621453,NS
IARS1,-0.3728,1.1229,0.381396,0.632908,NS
AMPD3,-0.449,0.9303,0.38218,0.705671,NS
PURA,0.4807,0.8677,0.382763,0.730276,NS
CAPZA1,0.6043,0.6899,0.382931,0.808499,NS
HNRNPD,0.3016,1.3752,0.384766,0.532319,NS
RPL37A,-0.6196,0.6674,0.385912,0.818112,NS
RPS11,0.5266,0.7838,0.386603,0.763876,NS
MRPL38,-0.4701,0.8749,0.387907,0.729689,NS
CUL4A,-0.49370000000000003,0.8325,0.388117,0.757825,NS
XRCC6,0.3784,1.0828,0.389261,0.661512,NS
GNAI2,0.3928,1.043,0.389331,0.665728,NS
SRM,0.5472,0.7467,0.390351,0.786039,NS
MGLL,0.408,1.0013,0.390372,0.665728,NS
ISCU,-0.4802,0.8478,0.391656,0.747385,NS
NAE1,-0.3742,1.0817,0.39378,0.661512,NS
ILF3,0.4164,0.9679,0.395354,0.679244,NS
CLIC4,-0.4552,0.8834,0.396165,0.723119,NS
SIRT3,-0.5922,0.6785,0.396464,0.812308,NS
DIAPH1,0.6334,0.6335,0.396945,0.825407,NS
LIMS3,-0.3989,0.9968,0.400283,0.665728,NS
TIPRL,-0.528,0.7516,0.400985,0.786039,NS
VPS29,-0.5798,0.6744,0.406457,0.812967,NS
LPP,-0.5583,0.6994,0.406953,0.802538,NS
PRKACA,-0.3241,1.2029,0.407509,0.616207,NS
ADSS2,0.485,0.8003,0.409111,0.759943,NS
UQCC3,-0.8286,0.4681,0.409328,0.914796,NS
EHBP1L1,-0.3855,1.0027,0.410623,0.665728,NS
TARDBP,0.5881,0.6532,0.412934,0.820806,NS
RPS14,-0.484,0.7902,0.414504,0.762566,NS
BANF1,0.3791,1.0082,0.414723,0.665728,NS
PA2G4,0.3211,1.1883,0.415335,0.616207,NS
PLCD4,-0.3309,1.153,0.415408,0.621453,NS
PSMF1,0.4209,0.9027,0.416923,0.710993,NS
CACNB3,0.3068,1.2358,0.417648,0.612679,NS
LAMTOR1,-0.4443,0.8501,0.419114,0.746535,NS
TPM2,0.5539,0.6803,0.419946,0.812308,NS
ABCF1,0.4601,0.8151,0.421643,0.759943,NS
VAPA,0.4274,0.8734,0.423326,0.729689,NS
OXSR1,0.3623,1.0262,0.424768,0.665728,NS
IPO7,0.4083,0.909,0.425492,0.710993,NS
PAFAH1B2,0.374,0.9891,0.426638,0.666476,NS
RPS26,-0.4603,0.8004,0.428155,0.759943,NS
PRPSAP1,0.8283,0.4432,0.429392,0.918927,NS
MRPS18B,0.5085,0.7215,0.429646,0.792451,NS
GSTO1,0.3304,1.1061,0.431127,0.646799,NS
SRPRB,0.3534,1.0321,0.431786,0.665728,NS
PGPEP1,-0.3979,0.9136,0.433031,0.710993,NS
RPL30,0.4558,0.7962,0.433608,0.76102,NS
HOOK3,1.0036,0.361,0.434223,0.943374,NS
LASP1,0.4424,0.8159,0.435544,0.759943,NS
COPB1,-0.4456,0.8065,0.437135,0.759943,NS
CHMP4B,-0.3837,0.93,0.439699,0.705671,NS
TLN1,0.3547,1.0012,0.441434,0.665728,NS
PGM5,-0.4069,0.8721,0.441746,0.729689,NS
FDXR,0.484,0.7286,0.443943,0.79123,NS
MT-ATP6,0.5579,0.6256,0.447692,0.831457,NS
RBBP7,-0.5715,0.6074,0.449647,0.841005,NS
MCEE,-0.37,0.931,0.452437,0.705671,NS
XIRP1,0.4211,0.8158,0.453391,0.759943,NS
FABP3,-0.3197,1.0739,0.453594,0.665728,NS
RUVBL1,-0.3287,1.0246,0.460491,0.665728,NS
ASPN,-0.6299,0.5335,0.461291,0.899186,NS
DMD,-0.2827,1.187,0.46179,0.616207,NS
HINT1,-0.3346,1.0025,0.46195,0.665728,NS
S100A6,0.6346,0.5277,0.462494,0.899186,NS
ERP44,0.326,1.0272,0.462542,0.665728,NS
RPL38,0.416,0.8024,0.463599,0.759943,NS
HNRNPUL2,0.5005,0.6566,0.469234,0.820806,NS
MIF,0.4793,0.6846,0.469757,0.812308,NS
GART,0.3981,0.8241,0.469857,0.759943,NS
LSS,-0.5062,0.641,0.473772,0.820806,NS
DMAC2L,-0.3869,0.8375,0.474204,0.753883,NS
FUBP1,0.3604,0.8978,0.474664,0.710993,NS
TOM1,-0.3018,1.0712,0.475088,0.665728,NS
SIRT5,-0.3262,0.9906,0.475247,0.666476,NS
RTN2,0.3966,0.8144,0.475375,0.759943,NS
PRPS1,0.3508,0.9183,0.476338,0.710993,NS
PSMB2,0.2711,1.1874,0.476489,0.616207,NS
MRC2,-0.5553,0.5784,0.477275,0.872169,NS
HSPG2,-0.4137,0.7744,0.478271,0.770185,NS
CCDC22,0.4989,0.6408,0.47899,0.820806,NS
RTN4,-0.3327,0.9589,0.479699,0.68359,NS
SMYD1,-0.3119,1.0222,0.479911,0.665728,NS
MT-ND2,0.4206,0.7546,0.481514,0.783585,NS
