uniprot_id,protein,gene,description,logFC,P.Value,adj.P.Val,t,B,pi_score,sig_pi,contrast
P07858,CATB_HUMAN,CTSB,Cathepsin B,-0.1546892187214972,0.5507045064680265,0.9552365564375793,-0.6013215617537067,-5.109530745897688,0.9118489562968553,0,Acute_HRvLR
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha,0.06215529499189998,0.6308110133883709,0.9552365564375793,0.48395705867217137,-5.535701282787307,0.9717681927246871,0,Acute_HRvLR
P07910,HNRPC_HUMAN,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,-0.5258373576302802,0.14236730568338127,0.8244072793961711,-1.4937296074667907,-4.436584707439358,0.3587826979314388,0,Acute_HRvLR
P07919,QCR6_HUMAN,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",0.125909258988127,0.5557979708128458,0.9552365564375793,0.5936215783127893,-5.459034009786944,0.9287154768977158,0,Acute_HRvLR
P07951,TPM2_HUMAN,TPM2,Tropomyosin beta chain,-0.4111415791490707,0.33026411397557276,0.9271672525851049,-0.9844513338747798,-5.257973334605279,0.6341381928293616,0,Acute_HRvLR
P07954,FUMH_HUMAN,FH,"Fumarate hydratase, mitochondrial",-0.014480235753932647,0.8849715477803385,0.984919914259469,-0.14550965265119395,-5.617126414476469,0.9982320829298899,0,Acute_HRvLR
P08123,CO1A2_HUMAN,COL1A2,Collagen alpha-2(I) chain,-0.05024074146665214,0.9238838919655551,0.9912238553777325,-0.09609068687189712,-5.252709905958073,0.996030396892591,0,Acute_HRvLR
P08133,ANXA6_HUMAN,ANXA6,Annexin A6,0.11560801613827465,0.23627303729866758,0.8933963857613099,1.2007112587904853,-5.01408378970061,0.8463727155171263,0,Acute_HRvLR
P08237,PFKAM_HUMAN,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",-0.02442392311966657,0.8214935313425752,0.976925906797754,-0.22697312385739973,-5.69472948760241,0.9952090078956219,0,Acute_HRvLR
P08238,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta,0.022139619390145526,0.8511874590015641,0.9799638406567546,0.1887079720234237,-5.57983618847856,0.9964391553534581,0,Acute_HRvLR
P08246,ELNE_HUMAN,ELANE,Neutrophil elastase,-0.4525512291915632,0.3979589637035238,0.9448742931045699,-0.8599447162866486,-5.106063010269532,0.659031733085856,0,Acute_HRvLR
P08294,SODE_HUMAN,SOD3,Extracellular superoxide dismutase [Cu-Zn],0.2833358471391172,0.4419232745077668,0.9515374698910672,0.7759446712420236,-5.017462477328014,0.7934399368049312,0,Acute_HRvLR
P08311,CATG_HUMAN,CTSG,Cathepsin G,-1.2218488863130474,0.05548629587265439,0.7092754794774176,-1.9896350013289874,-3.8705991172969796,0.02921357702101062,-1,Acute_HRvLR
P08473,NEP_HUMAN,MME,Neprilysin,0.1334700657711494,0.6319569923772508,0.9552365564375793,0.48233001484873833,-5.213783490321127,0.9405843548389714,0,Acute_HRvLR
P08559,ODPA_HUMAN,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",-0.15057008624183865,0.2204744562224301,0.8795070204201324,-1.242894861628961,-4.934766678819733,0.796396604315433,0,Acute_HRvLR
P08572,CO4A2_HUMAN,COL4A2,Collagen alpha-2(IV) chain,-0.35691689388881187,0.3719213092704938,0.937290739077856,-0.9020681075054184,-4.937072013447676,0.7025653506134548,0,Acute_HRvLR
P08574,CY1_HUMAN,CYC1,"Cytochrome c1, heme protein, mitochondrial",-0.07758686038751605,0.7030526595346827,0.9599873551502576,-0.38368893155316747,-5.5580733287879385,0.9730345653702377,0,Acute_HRvLR
P08590,MYL3_HUMAN,MYL3,Myosin light chain 3,-0.023673465592189302,0.9594615430023882,0.9914703658820319,-0.05111899609870896,-5.692343661668233,0.9990207996477691,0,Acute_HRvLR
P08670,VIME_HUMAN,VIM,Vimentin,-0.08704978709628008,0.8197747417432847,0.976925906797754,-0.2291979214729087,-5.521226795296636,0.9828497408223352,0,Acute_HRvLR
P08697,A2AP_HUMAN,SERPINF2,Alpha-2-antiplasmin,-1.0283582444122636,0.005746581553929888,0.5316956171088463,-2.903364662687834,-2.4395450874663767,0.00496444111289959,-1,Acute_HRvLR
P08708,RS17_HUMAN,RPS17,40S ribosomal protein S17,0.10831587013165489,0.7487353618446317,0.96619212305835,0.32231735102080816,-5.238851483583083,0.9691427814539002,0,Acute_HRvLR
P08758,ANXA5_HUMAN,ANXA5,Annexin A5,0.2885166344218817,0.08600049033158726,0.7709083467252382,1.7561810287237631,-4.27874355073984,0.4927036658854932,0,Acute_HRvLR
P08865,RSSA_HUMAN,RPSA,40S ribosomal protein SA,0.16642301343214427,0.4812994413238386,0.9552365564375793,0.7102318564580937,-5.234117996197637,0.8854144528166312,0,Acute_HRvLR
P08962,CD63_HUMAN,CD63,CD63 antigen,0.008069603681981619,0.9774826337407354,0.9963776929662541,0.028385656132463015,-5.231634370373659,0.9998162336542231,0,Acute_HRvLR
P09104,ENOG_HUMAN,ENO2,Gamma-enolase,-0.6157561618376981,0.13612684721864587,0.8231071139697267,-1.5180971078131846,-4.684266694610595,0.292900794554747,0,Acute_HRvLR
P09110,THIK_HUMAN,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",0.4054330820509904,0.09889264229693953,0.781533527622883,1.685829097673195,-4.227238109291855,0.39138685530005035,0,Acute_HRvLR
P09211,GSTP1_HUMAN,GSTP1,Glutathione S-transferase P,0.26193234143481803,0.04118524443522194,0.6812080640585251,2.103229120503978,-3.7432846342899007,0.43366666116807084,0,Acute_HRvLR
P09382,LEG1_HUMAN,LGALS1,Galectin-1,0.3129354485283464,0.1282038437421234,0.8114008742376083,1.5503549680166933,-4.578696967908415,0.5258121458535228,0,Acute_HRvLR
P09417,DHPR_HUMAN,QDPR,Dihydropteridine reductase,-0.14475595823585152,0.24542863310717578,0.8933963857613099,-1.1772040163049424,-4.98674102970906,0.8159960225838919,0,Acute_HRvLR
P09429,HMGB1_HUMAN,HMGB1,High mobility group protein B1,0.04531707867690926,0.8320106530773982,0.9797072667242528,0.21338430701507802,-5.373160319513142,0.9917003682251572,0,Acute_HRvLR
P09467,F16P1_HUMAN,FBP1,"Fructose-1,6-bisphosphatase 1",-0.03970750887896557,0.9362303385374914,0.9914703658820319,-0.08046645639110572,-5.445650736487176,0.9973869435423766,0,Acute_HRvLR
P09488,GSTM1_HUMAN,GSTM1,Glutathione S-transferase Mu 1,-0.8817641192394845,0.28303672330437385,0.9160478622288841,-1.0867843152865455,-4.953828556062324,0.3285902240991692,0,Acute_HRvLR
P09493,TPM1_HUMAN,TPM1,Tropomyosin alpha-1 chain,-0.20206094142874065,0.6112263685366133,0.9552365564375793,-0.5119701021750381,-5.564059125263655,0.9053151566675266,0,Acute_HRvLR
P09497,CLCB_HUMAN,CLTB,Clathrin light chain B,0.11984622828097713,0.6823384841090454,0.9568943238151487,0.4119955374434972,-5.229706686717089,0.9552246257849507,0,Acute_HRvLR
P09525,ANXA4_HUMAN,ANXA4,Annexin A4,0.13421026903126076,0.5486601637405852,0.9552365564375793,0.6044222458203127,-5.2675762668166835,0.9225965856565761,0,Acute_HRvLR
P09622,DLDH_HUMAN,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",-0.028278091421128693,0.8141024463985038,0.976925906797754,-0.23654842321047936,-5.583488149284361,0.9942009511401301,0,Acute_HRvLR
P09651,ROA1_HUMAN,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,-0.16173423477159687,0.5590196095962339,0.9552365564375793,-0.5887697047331754,-5.264793348716084,0.91022824117444745,0,Acute_HRvLR
P09669,COX6C_HUMAN,COX6C,Cytochrome c oxidase subunit 6C,-0.14403078229526045,0.564541537109893,0.9552365564375793,-0.5804860450416376,-5.439681662642532,0.9209510904116964,0,Acute_HRvLR
