gene,logFC,neg_log10_p,pi_score,adj_pval,direction
OGN,0.5971,0.5921,0.443085,0.835836,NS
CARM1,-0.5228,0.6752,0.443637,0.823249,NS
CPNE3,-0.3532,0.9975,0.444253,0.757992,NS
ABCB7,-0.5245,0.6709,0.444729,0.823249,NS
CAND1,-0.4726,0.7425,0.44575,0.794327,NS
PDIA4,0.6363,0.5471,0.448619,0.846197,NS
CLIC6,-0.5845,0.5948,0.449063,0.835836,NS
PTGES3,-0.4774,0.7239,0.45122,0.81527,NS
MPC2,-0.4377,0.7887,0.451617,0.775915,NS
FECH,0.4469,0.7694,0.453043,0.781807,NS
PITPNA,-0.5666,0.6063,0.453385,0.835836,NS
ACSF2,-0.4687,0.7326,0.453551,0.805251,NS
MAP2K3,-0.369,0.9253,0.45564,0.767448,NS
GPX4,-0.4028,0.8396,0.459037,0.767448,NS
HINT3,-0.3999,0.8431,0.460136,0.767448,NS
PHPT1,0.4716,0.7132,0.460928,0.817446,NS
UGGT1,-0.4638,0.7222,0.462482,0.81527,NS
NANS,-0.6341,0.5279,0.462607,0.846197,NS
PPP3CB,-0.3845,0.8652,0.464848,0.767448,NS
DLST,-0.3013,1.1033,0.465116,0.757992,NS
IDH3A,-0.3287,1.0108,0.46528,0.757992,NS
MT-ND2,-0.5336,0.6216,0.465923,0.834573,NS
GAPDHS,-0.684,0.4848,0.465982,0.873358,NS
NAA50,-0.4533,0.7303,0.466648,0.807683,NS
DYNC1I2,0.3816,0.8649,0.467701,0.767448,NS
RAB21,0.5952,0.5537,0.468244,0.84259,NS
UBE2M,-0.3352,0.9821,0.468603,0.757992,NS
TIMM9,-0.5479,0.6006,0.468734,0.835836,NS
MYH14,0.3682,0.8896,0.470357,0.767448,NS
GCLM,-0.4735,0.6898,0.471396,0.821506,NS
ARF4,0.4072,0.8007,0.472025,0.774648,NS
PREB,0.6223,0.5236,0.47225,0.846197,NS
PDLIM7,-0.6885,0.4721,0.473088,0.877136,NS
GART,-0.476,0.6804,0.474422,0.823249,NS
NAGK,0.4999,0.6477,0.474462,0.828957,NS
PRKAR1A,0.3429,0.9434,0.474756,0.767448,NS
SURF1,-0.4804,0.6694,0.476852,0.823249,NS
NDUFB4,-0.5305,0.604,0.478176,0.835836,NS
TCP1,-0.383,0.835,0.478844,0.767448,NS
LSM2,-0.6588,0.4833,0.48041,0.873358,NS
BROX,-0.4542,0.6997,0.481059,0.818118,NS
CPT2,-0.4049,0.784,0.481416,0.775915,NS
AHSA1,0.5271,0.6009,0.482254,0.835836,NS
ENDOG,-0.5283,0.5967,0.483925,0.835836,NS
PACSIN3,0.3794,0.8307,0.483949,0.767448,NS
PDHX,-0.3627,0.867,0.48474,0.767448,NS
RPL7A,0.5255,0.5976,0.485292,0.835836,NS
DNAJB1,0.5923,0.5299,0.485431,0.846197,NS
PPP1R14B,0.6211,0.5036,0.486676,0.862618,NS
NEK7,-0.4859,0.6417,0.487751,0.831411,NS
AKR1B1,0.4542,0.6821,0.49001,0.823249,NS
NDUFA6,-0.5777,0.5356,0.49043,0.846197,NS
EEF1G,0.332,0.9278,0.492011,0.767448,NS
PPP1R2,-0.531,0.58,0.492047,0.839747,NS
SSBP1,0.376,0.8191,0.492076,0.767448,NS
CACYBP,0.4115,0.7471,0.492661,0.789846,NS
