gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
APIP,-0.9517,-0.04,0.172381,0.996866,0.283616,NS,Concordant Down
ACTB,0.7079,0.28,0.124786,0.755583,0.651563,NS,Concordant Up
SLC1A4,-0.4888,-0.4958,0.623298,0.489823,0.999944,NS,Concordant Down
RPS7,0.576,-0.4065,0.449455,0.650114,0.144624,NS,HR↑ LR↓
MYH9,0.6405,0.3394,0.058746,0.480024,0.732067,NS,Concordant Up
CACNB1,-0.5476,-0.4317,0.114006,0.225401,0.959119,NS,Concordant Down
EIF3M,0.6647,0.3146,0.11091,0.660115,0.726696,NS,Concordant Up
NFU1,-0.5302,-0.4482,0.338191,0.370161,0.986961,NS,Concordant Down
NQO2,-0.9656,0.0118,0.207927,0.999836,0.340494,NS,HR↓ LR↑
AP1G1,0.5768,0.3971,0.293403,0.54201,0.939894,NS,Concordant Up
COX20,-0.5743,-0.3968,0.282294,0.507067,0.93854,NS,Concordant Down
HNRNPUL1,0.3761,0.5877,0.5191,0.201489,0.899483,NS,Concordant Up
SERPINB6,-0.4532,-0.5099,0.422217,0.222575,0.993288,NS,Concordant Down
MYL4,0.2326,0.7246,0.904526,0.21385,0.69316,NS,Concordant Up
GCDH,-0.5486,-0.3985,0.075897,0.212317,0.917567,NS,Concordant Down
FARSA,0.8909,-0.0528,0.057083,0.9938,0.115713,NS,HR↑ LR↓
C12orf73,-0.7188,-0.2153,0.141149,0.869412,0.567256,NS,Concordant Down
DDX39B,0.462,0.4697,0.374388,0.261759,0.999874,NS,Concordant Up
LGALS3BP,0.6605,0.263,0.357705,0.863448,0.799915,NS,Concordant Up
RPA3,-0.5683,0.355,0.257706,0.590442,0.053819,NS,HR↓ LR↑
SIRT5,-0.5883,-0.3295,0.072206,0.459271,0.780328,NS,Concordant Down
XIRP1,0.5024,0.413,0.387009,0.483822,0.98506,NS,Concordant Up
LMOD3,-0.779,0.1359,0.061811,0.94171,0.062833,NS,HR↓ LR↑
COPB1,0.47,-0.4438,0.444799,0.45072,0.073091,NS,HR↑ LR↓
COPS3,-0.5785,-0.3353,0.163744,0.618773,0.860293,NS,Concordant Down
LCMT1,-0.6787,-0.235,0.05141,0.744013,0.485355,NS,Concordant Down
CHMP4B,-0.5275,-0.3852,0.235038,0.436707,0.950532,NS,Concordant Down
RPL18,0.6873,0.2218,0.070715,0.80531,0.500908,NS,Concordant Up
IBA57,-0.5792,-0.3286,0.44348,0.863456,0.936558,NS,Concordant Down
EPB41L2,0.6993,0.2078,0.378435,0.887107,0.69836,NS,Concordant Up
ATP5F1E,-0.7632,-0.1435,0.127667,0.944469,0.419764,NS,Concordant Down
DIABLO,-0.4712,-0.433,0.237257,0.236494,0.996015,NS,Concordant Down
ENO2,-0.7414,-0.1601,0.174821,0.938414,0.51289,NS,Concordant Down
AKR1C3,0.6829,-0.216,0.285751,0.896715,0.1945,NS,HR↑ LR↓
TUBB2A,0.3747,-0.524,0.611699,0.262763,0.066473,NS,HR↑ LR↓
GCN1,-0.4659,-0.4315,0.778496,0.812041,0.999209,NS,Concordant Down
GABARAPL2,0.2614,0.6358,0.837202,0.200961,0.759729,NS,Concordant Up
ACTR2,0.5889,0.3075,0.127127,0.593085,0.784119,NS,Concordant Up
PCCA,-0.4221,-0.4712,0.479502,0.30329,0.99503,NS,Concordant Down
CSDE1,0.6263,0.2668,0.056924,0.644534,0.607079,NS,Concordant Up
DNAJB1,0.8655,0.0272,0.076997,0.998279,0.192084,NS,Concordant Up
PSMD7,-0.7084,-0.1829,0.072764,0.871299,0.417403,NS,Concordant Down
TIMM13,-0.8435,0.0423,0.080968,0.995918,0.150364,NS,HR↓ LR↑
MYL6,0.6532,0.232,0.164408,0.825459,0.647965,NS,Concordant Up
PLN,0.2043,-0.6787,0.918472,0.184021,0.184398,NS,HR↑ LR↓
ACTR3,0.4833,0.3979,0.25761,0.35412,0.980876,NS,Concordant Up
COA3,-0.3618,0.5186,0.659351,0.281495,0.089635,NS,HR↓ LR↑
USP9X,0.5053,-0.3745,0.510159,0.649977,0.173479,NS,HR↑ LR↓
CAV1,0.4725,-0.4041,0.439955,0.516854,0.089914,NS,HR↑ LR↓
ALDH2,0.8157,0.0606,0.057213,0.990043,0.20569,NS,Concordant Up
VIM,0.7514,0.1241,0.155011,0.96281,0.439391,NS,Concordant Up
DENR,-0.3464,-0.528,0.65316,0.257891,0.932165,NS,Concordant Down
TPM3,0.4168,0.4559,0.701655,0.592427,0.998194,NS,Concordant Up
BCKDK,0.8355,-0.0356,0.417584,0.99765,0.434925,NS,HR↑ LR↓
RPL9,0.4155,0.4548,0.530508,0.372301,0.997077,NS,Concordant Up
RPS27A,-0.1208,0.7484,0.964569,0.05841,0.109629,NS,HR↓ LR↑
MAP2K1,0.3698,-0.4957,0.578523,0.235837,0.052298,NS,HR↑ LR↓
RPS11,-0.345,0.5204,0.743971,0.403954,0.179199,NS,HR↓ LR↑
PSMD9,0.4088,0.4565,0.400882,0.22918,0.994198,NS,Concordant Up
S100A6,0.2335,0.6259,0.93264,0.481123,0.857429,NS,Concordant Up
COL18A1,-0.4759,-0.3831,0.473703,0.609812,0.985554,NS,Concordant Down
CD9,0.4377,0.4208,0.838726,0.78195,0.999816,NS,Concordant Up
MRPS36,-0.5067,0.3506,0.353937,0.57103,0.076705,NS,HR↓ LR↑
DHTKD1,-0.508,-0.3477,0.685576,0.737898,0.973509,NS,Concordant Down
IDI1,-0.5216,-0.3338,0.183505,0.473109,0.895744,NS,Concordant Down
CLIC4,0.397,-0.4566,0.5832,0.400395,0.102097,NS,HR↑ LR↓
NDUFA3,0.2083,-0.644,0.889384,0.097476,0.105512,NS,HR↑ LR↓
NDUFB5,-0.2483,-0.6036,0.834448,0.164579,0.749291,NS,Concordant Down
UBE2L3,0.6511,-0.1977,0.374141,0.922574,0.284685,NS,HR↑ LR↓
RPLP0,0.5009,0.3474,0.268205,0.51386,0.940623,NS,Concordant Up
ARCN1,-0.3566,-0.4909,0.485098,0.164083,0.947016,NS,Concordant Down
PGM5,0.4309,-0.4144,0.425624,0.385583,0.052013,NS,HR↑ LR↓
PA2G4,0.5271,0.3129,0.08351,0.429398,0.823538,NS,Concordant Up
DYNLL1,0.2656,-0.5738,0.789072,0.27338,0.122818,NS,HR↑ LR↓
CA3,0.4657,-0.3734,0.346065,0.466135,0.050096,NS,HR↑ LR↓
EEF1A2,0.753,0.0824,0.076992,0.979905,0.274453,NS,Concordant Up
PXN,0.7632,-0.0721,0.250248,0.99225,0.352646,NS,HR↑ LR↓
ARIH2,0.6466,-0.1886,0.309062,0.919051,0.233725,NS,HR↑ LR↓
TRIM54,0.5007,0.3323,0.419552,0.652327,0.946895,NS,Concordant Up
CRIP1,0.5751,-0.2572,0.541689,0.86289,0.339259,NS,HR↑ LR↓
FDXR,0.3451,0.4849,0.721102,0.439252,0.968256,NS,Concordant Up
TFAM,-0.7608,-0.0685,0.066383,0.986014,0.237508,NS,Concordant Down
HNRNPA0,0.3192,0.5101,0.756477,0.280833,0.932462,NS,Concordant Up
TALDO1,0.3193,0.5099,0.511437,0.072898,0.869622,NS,Concordant Up
NIPSNAP3B,-0.5445,-0.2829,0.232079,0.688885,0.834266,NS,Concordant Down
MRPS17,-0.4286,0.3977,0.50703,0.494583,0.10684,NS,HR↓ LR↑
TXN2,-0.4408,-0.3853,0.437398,0.480952,0.993572,NS,Concordant Down
YWHAZ,0.5788,0.2471,0.370256,0.844608,0.823714,NS,Concordant Up
STK38,-0.3181,0.5053,0.698178,0.225298,0.08568,NS,HR↓ LR↑
FHL3,-0.6172,-0.206,0.191761,0.857983,0.65091,NS,Concordant Down
RAB5C,0.215,0.6077,0.883103,0.186071,0.713282,NS,Concordant Up
SRP14,-0.6191,-0.2034,0.250481,0.8739,0.681626,NS,Concordant Down
APOO,-0.6645,0.1573,0.086038,0.904336,0.064099,NS,HR↓ LR↑
ASPA,-0.7829,-0.0357,0.151935,0.99728000000000006,0.316778,NS,Concordant Down
HINT2,-0.6332,-0.1849,0.066357,0.840307,0.458462,NS,Concordant Down
DARS2,-0.0673,0.7506,0.990008,0.068326,0.168605,NS,HR↓ LR↑
NDUFS5,-0.3629,-0.4486,0.549733,0.294826,0.982562,NS,Concordant Down
CCDC22,0.3123,0.4978,0.821789,0.486714,0.953737,NS,Concordant Up
SEC22B,0.5948,0.2119,0.112475,0.797931,0.601331,NS,Concordant Up
UBL5,-0.5797,-0.2249,0.306313,0.857297,0.772675,NS,Concordant Down
OGN,0.1945,-0.609,0.914706,0.245706,0.213032,NS,HR↑ LR↓
FIS1,0.3028,-0.5003,0.750905,0.322081,0.141983,NS,HR↑ LR↓
RANBP1,-0.296,0.5049,0.766464,0.341346,0.15776,NS,HR↓ LR↑
PDLIM7,-0.4979,0.303,0.6122,0.831394,0.367882,NS,HR↓ LR↑
CPA3,-0.4942,-0.3046,0.415741,0.706047,0.930791,NS,Concordant Down
BDH1,-0.7415,0.057,0.05965,0.989704,0.105878,NS,HR↓ LR↑
HNRNPD,0.5028,0.2943,0.054978,0.386997,0.793552,NS,Concordant Up
AAMDC,-0.5923,-0.2047,0.196314,0.8498,0.66698,NS,Concordant Down
THY1,-0.1988,-0.5978,0.959779,0.588094,0.876873,NS,Concordant Down
ARF5,0.6134,-0.1808,0.26878,0.897651,0.175314,NS,HR↑ LR↓
PTGR1,-0.5934,-0.1997,0.146552,0.837947,0.615612,NS,Concordant Down
RPL31,0.2504,-0.5411,0.909955,0.569228,0.439117,NS,HR↑ LR↓
DDX17,0.4974,0.2917,0.384426,0.718392,0.913911,NS,Concordant Up
ALDH3A2,0.5384,-0.2503,0.250239,0.760206,0.095123,NS,HR↑ LR↓
LACTB,-0.6225,-0.1658,0.185302,0.909713,0.578863,NS,Concordant Down
JUP,-0.7215,-0.0666,0.11987,0.988542,0.334649,NS,Concordant Down
SCFD1,-0.1434,-0.6435,0.954786,0.206751,0.603271,NS,Concordant Down
ACACA,-0.455,0.3306,0.57345,0.725132,0.252456,NS,HR↓ LR↑
VAPA,0.3651,0.4196,0.612595,0.436099,0.994178,NS,Concordant Up
UBA3,-0.5983,-0.1847,0.064289,0.810253,0.466601,NS,Concordant Down
SEC24C,0.5922,-0.1905,0.197641,0.858948,0.107213,NS,HR↑ LR↓
FBN1,-0.5208,0.2616,0.44094,0.823377,0.237656,NS,HR↓ LR↑
MYH11,-0.6646,0.1176,0.330421,0.973043,0.335917,NS,HR↓ LR↑
RBBP4,0.66,-0.1198,0.111969,0.947248,0.10482,NS,HR↑ LR↓
DCTN3,0.0762,-0.7022,0.98615,0.053628,0.159341,NS,HR↑ LR↓
NDUFA6,-0.5721,0.2056,0.388783,0.895487,0.263565,NS,HR↓ LR↑
PPIB,0.5464,0.2308,0.15985,0.75341,0.715341,NS,Concordant Up
FBP1,-0.4381,-0.3385,0.697749,0.774833,0.988676,NS,Concordant Down
SPTBN1,0.2931,0.4833,0.773167,0.311472,0.927992,NS,Concordant Up
ARL3,-0.6338,0.1425,0.361363,0.949643,0.296363,NS,HR↓ LR↑
CAPZA1,-0.1792,0.5957,0.948378,0.399181,0.381885,NS,HR↓ LR↑
SNRPB,0.5978,-0.1766,0.189266,0.912982,0.164484,NS,HR↑ LR↓
COQ5,-0.5315,-0.2407,0.200984,0.744929,0.769319,NS,Concordant Down
TLN1,0.4247,0.3471,0.340455,0.44461,0.983286,NS,Concordant Up
PAIP1,0.3361,-0.4349,0.645644,0.379992,0.118178,NS,HR↑ LR↓
MYOZ1,0.506,-0.2641,0.745754,0.918556,0.588887,NS,HR↑ LR↓
RPL27,0.7643,0.0052,0.107314,0.999937,0.231379,NS,Concordant Up
SAR1A,-0.4425,0.3258,0.494267,0.659079,0.167111,NS,HR↓ LR↑
MRPL12,-0.326,-0.4405,0.599958,0.291318,0.966075,NS,Concordant Down
IPO7,-0.3661,0.4002,0.58565,0.44679,0.118949,NS,HR↓ LR↑
SERBP1,0.4735,0.2907,0.491893,0.758291,0.94172,NS,Concordant Up
PPIA,0.5042,0.2583,0.198697,0.674503,0.817111,NS,Concordant Up
SKP1,0.4737,0.2888,0.156883,0.507926,0.872778,NS,Concordant Up
FUBP1,0.3976,0.3641,0.463412,0.471707,0.997377,NS,Concordant Up
ATP5MG,-0.4718,0.2868,0.346703,0.673767,0.104806,NS,HR↓ LR↑
PPID,0.4056,0.3527,0.463819,0.581961,0.994042,NS,Concordant Up
COL6A3,0.3381,-0.419,0.766674,0.593286,0.306488,NS,HR↑ LR↓
DYNLT1,-0.3997,-0.3556,0.597876,0.638853,0.996717,NS,Concordant Down
RPL24,-0.1705,-0.5842,0.929543,0.296305,0.710366,NS,Concordant Down
DRG1,0.201,0.5529,0.947925,0.635144,0.890906,NS,Concordant Up
ESYT2,0.1276,0.6222,0.945162,0.105658,0.454935,NS,Concordant Up
UQCR11,0.4777,-0.269,0.583333,0.838477,0.349425,NS,HR↑ LR↓
PSME3,0.5094,-0.237,0.216487,0.737611,0.072654,NS,HR↑ LR↓
CRADD,0.211,0.5347,0.926084,0.490148,0.870526,NS,Concordant Up
TSN,0.1579,0.5867,0.919328,0.111476,0.567972,NS,Concordant Up
CLIP2,0.5657,-0.1779,0.127629,0.857651,0.072433,NS,HR↑ LR↓
RAB8A,-0.0117,-0.7316,0.999775,0.143848,0.374702,NS,Concordant Down
UQCRH,-0.3079,-0.4342,0.677448,0.316838,0.961425,NS,Concordant Down
UBE2B,-0.6154,-0.1266,0.430646,0.971051,0.711304,NS,Concordant Down
TNNC1,0.5244,0.217,0.451074,0.879804,0.847213,NS,Concordant Up
LYRM7,-0.219,0.5221,0.873869,0.242139,0.191412,NS,HR↓ LR↑
MCCC2,-0.6403,-0.1008,0.127355,0.96415,0.396833,NS,Concordant Down
PRKCQ,-0.4264,-0.3137,0.442545,0.614083,0.970761,NS,Concordant Down
PRPSAP2,-0.1137,0.6261,0.976639,0.305889,0.363433,NS,HR↓ LR↑
MRPL38,-0.2891,-0.4498,0.820978,0.427422,0.957085,NS,Concordant Down
NHLRC2,0.3887,-0.3475,0.533223,0.535253,0.131592,NS,HR↑ LR↓
JCHAIN,-0.0693,0.6666,0.995032,0.649157,0.66588,NS,HR↓ LR↑
NUBPL,-0.5426,-0.1931,0.325568,0.873206,0.749297,NS,Concordant Down
HSPH1,0.2911,0.4432,0.817514,0.524504,0.964402,NS,Concordant Up
PRXL2A,-0.5915,0.1403,0.204012,0.933043,0.167602,NS,HR↓ LR↑
RAB9A,-0.4303,-0.3004,0.388654,0.608223,0.95646,NS,Concordant Down
USP15,-0.5241,0.2062,0.215744,0.805141,0.093593,NS,HR↓ LR↑
MTM1,-0.4787,0.2515,0.631304,0.851249,0.39844,NS,HR↓ LR↑
NME1,-0.1743,0.5557,0.92269,0.248423,0.228473,NS,HR↓ LR↑
FARSB,0.4927,0.2369,0.414338,0.82935,0.873382,NS,Concordant Up
EEF1A1,0.4938,-0.2341,0.2201,0.73456,0.073138,NS,HR↑ LR↓
SELENOW,0.0279,-0.6991,0.998936,0.258611,0.457378,NS,HR↑ LR↓
TKFC,-0.2855,0.4405,0.748652,0.365209,0.163178,NS,HR↓ LR↑
PGAM2,-0.4767,-0.2483,0.06725,0.514958,0.739696,NS,Concordant Down
ZBTB9,-0.4517,0.2731,0.481776,0.768892,0.222595,NS,HR↓ LR↑
GHITM,0.0893,-0.6347,0.9857,0.351496,0.407348,NS,HR↑ LR↓
MT-ATP8,-0.6647,-0.0591,0.274521,0.989776,0.443774,NS,Concordant Down
MYL1,0.4077,0.3155,0.663716,0.759821,0.987918,NS,Concordant Up
TMCO1,-0.5954,-0.1271,0.50095,0.970042,0.745637,NS,Concordant Down
ACTN2,0.6634,0.0584,0.594618,0.996361,0.739518,NS,Concordant Up
TIMM10,-0.565,0.1567,0.256542,0.923808,0.204091,NS,HR↓ LR↑
SLC25A11,-0.2958,0.4249,0.634723,0.262902,0.071127,NS,HR↓ LR↑
MYH3,0.3985,-0.3216,0.771212,0.798747,0.477532,NS,HR↑ LR↓
PPM1A,0.5397,-0.1799,0.115494,0.834217,0.05853,NS,HR↑ LR↓
RPS6KA3,-0.4305,-0.2883,0.105926,0.358529,0.897343,NS,Concordant Down
PFKL,-0.5017,0.21560000000000001,0.349286,0.837298,0.186565,NS,HR↓ LR↑
PMPCA,-0.556,-0.1612,0.331988,0.932901,0.724449,NS,Concordant Down
SLC37A4,-0.6222,-0.0934,0.138847,0.970543,0.415909,NS,Concordant Down
ANXA2,0.4715,-0.2426,0.379978,0.781347,0.169203,NS,HR↑ LR↓
NDUFS4,-0.5695,-0.141,0.173523,0.921441,0.550878,NS,Concordant Down
DHRS11,-0.6514,0.056,0.389846,0.99142,0.389895,NS,HR↓ LR↑
PIP4K2B,0.2191,-0.4874,0.82068700000000006,0.301542,0.155541,NS,HR↑ LR↓
PALMD,0.4401,0.2663,0.438282,0.736549,0.931722,NS,Concordant Up
RPL4,0.5901,0.1162,0.340569,0.966693,0.640845,NS,Concordant Up
BANF1,0.3345,0.3703,0.586674,0.43557,0.996917,NS,Concordant Up
PPP1R2,-0.3447,0.3596,0.713119,0.522615,0.24455,NS,HR↓ LR↑
CAND1,0.1384,0.5657,0.936515,0.122178,0.556772,NS,Concordant Up
LMAN2,-0.6918,0.0112,0.110218,0.999663,0.228721,NS,HR↓ LR↑
SMIM20,-0.5935,-0.1094,0.093321,0.946248,0.382661,NS,Concordant Down
DDOST,0.3504,0.3515,0.478804,0.402114,0.999997,NS,Concordant Up
ZYX,0.3657,0.3355,0.503548,0.483431,0.997696,NS,Concordant Up
PSME1,0.2221,0.4789,0.787008,0.157007,0.792175,NS,Concordant Up
PDIA4,0.4293,-0.2716,0.652804,0.825927,0.391738,NS,HR↑ LR↓
STIM1,-0.6354,-0.0647,0.104106,0.986786,0.341011,NS,Concordant Down
ARL6IP5,0.4746,-0.2254,0.228394,0.739523,0.077669,NS,HR↑ LR↓
AHCYL2,-0.5356,0.1634,0.17393,0.889452,0.119709,NS,HR↓ LR↑
SCP2,-0.4402,0.2585,0.558607,0.787409,0.284067,NS,HR↓ LR↑
SHOC2,0.3066,0.3915,0.816953,0.533934,0.989138,NS,Concordant Up
MTRES1,-0.4628,-0.2348,0.301176,0.776259,0.860704,NS,Concordant Down
NDUFC2,-0.4645,-0.2323,0.387578,0.797435,0.874836,NS,Concordant Down
ANP32A,0.5746,-0.1213,0.153265,0.940709,0.135746,NS,HR↑ LR↓
CARNS1,-0.3766,-0.3188,0.504551,0.585176,0.992083,NS,Concordant Down
ACAD8,-0.6712,-0.024,0.068999,0.997998,0.197129,NS,Concordant Down
MRC2,-0.1477,-0.547,0.959501,0.48299,0.791021,NS,Concordant Down
ANKRD2,0.6546,-0.0391,0.089966,0.994712,0.157894,NS,HR↑ LR↓
CDC37,-0.4548,0.2371,0.454307,0.817395,0.239323,NS,HR↓ LR↑
PSME2,0.6271,-0.0648,0.233216,0.989197,0.295069,NS,HR↑ LR↓
ERGIC1,-0.3455,-0.346,0.626558,0.498201,0.999999,NS,Concordant Down
KPNB1,0.6573,0.0338,0.178675,0.996951,0.359531,NS,Concordant Up
NDUFB4,-0.5443,0.1451,0.34686,0.93902,0.283074,NS,HR↓ LR↑
SCRN3,-0.1606,-0.5286,0.931733,0.200697,0.712549,NS,Concordant Down
MRPL13,-0.4575,0.2304,0.6465,0.836595,0.402566,NS,HR↓ LR↑
RPL17,0.49370000000000003,-0.1935,0.482892,0.894502,0.326659,NS,HR↑ LR↓
MAOA,-0.4673,-0.2197,0.372082,0.821833,0.856311,NS,Concordant Down
AKT1,0.3695,-0.3174,0.62326,0.744728,0.305999,NS,HR↑ LR↓
ERP44,0.36870000000000003,0.318,0.444667,0.499132,0.992748,NS,Concordant Up
ACAA1,0.2082,-0.4773,0.85921,0.311347,0.198809,NS,HR↑ LR↓
PRKG1,-0.2944,-0.3904,0.802834,0.604318,0.98557,NS,Concordant Down
UBE2R2,-0.3893,0.2953,0.685399,0.700697,0.330418,NS,HR↓ LR↑
CLIC5,-0.6478,0.0356,0.066476,0.995187,0.128883,NS,HR↓ LR↑
ADHFE1,-0.5152,0.1679,0.511194,0.933371,0.400446,NS,HR↓ LR↑
OSBP,-0.2345,-0.4477,0.79762,0.279894,0.879144,NS,Concordant Down
ANK3,-0.521,0.1611,0.246214,0.906864,0.18459,NS,HR↓ LR↑
RAB6A,-0.2052,0.4767,0.84996,0.23664,0.153524,NS,HR↓ LR↑
TUBB,0.5278,-0.1539,0.135535,0.877994,0.082762,NS,HR↑ LR↓
GLUL,-0.2833,0.3975,0.661655,0.329643,0.103037,NS,HR↓ LR↑
UQCR10,-0.1951,0.4852,0.908473,0.397297,0.31687,NS,HR↓ LR↑
DNAJC19,-0.4099,-0.2702,0.558464,0.752336,0.961642,NS,Concordant Down
SUCLG2,-0.6703,-0.0097,0.065847,0.999678,0.175182,NS,Concordant Down
PDK2,-0.4794,-0.1985,0.406588,0.855862,0.827236,NS,Concordant Down
MYO6,-0.4377,-0.2396,0.386538,0.744352,0.896519,NS,Concordant Down
APEX1,0.6092,0.0679,0.13652,0.983606,0.367535,NS,Concordant Up
HDHD5,-0.195,-0.4819,0.888181,0.288777,0.816205,NS,Concordant Down
DHRS4,-0.2285,-0.4468,0.859302,0.368135,0.901807,NS,Concordant Down
FBLN2,0.2276,0.4472,0.884554,0.726083,0.945288,NS,Concordant Up
ABHD11,-0.4087,-0.2647,0.636156,0.792362,0.965744,NS,Concordant Down
SYNPO2L,0.3253,-0.3479,0.847433,0.785666,0.545557,NS,HR↑ LR↓
THTPA,0.1386,-0.5341,0.921826,0.084245,0.102848,NS,HR↑ LR↓
ABCE1,0.5294,-0.1432,0.206524,0.913856,0.151142,NS,HR↑ LR↓
LAMTOR2,-0.1556,-0.5149,0.912931,0.152641,0.649041,NS,Concordant Down
CMBL,-0.2451,-0.4251,0.673179,0.155183,0.873749,NS,Concordant Down
SUCLG1,-0.5226,-0.1474,0.054843,0.84698,0.427312,NS,Concordant Down
APPL1,-0.1458,-0.5236,0.928586,0.164771,0.637965,NS,Concordant Down
JPH1,0.4126,0.2552,0.531148,0.778252,0.949344,NS,Concordant Up
EIF3L,-0.2084,0.4592,0.83909,0.200234,0.137872,NS,HR↓ LR↑
LPP,0.1152,-0.5522,0.975327,0.419005,0.445831,NS,HR↑ LR↓
SAR1B,-0.1142,-0.5516,0.970731,0.295724,0.67049,NS,Concordant Down
ATP6V1H,-0.1482,-0.5166,0.945475,0.407769,0.765357,NS,Concordant Down
RDH13,-0.2169,-0.4475,0.892742,0.525302,0.913533,NS,Concordant Down
NAE1,-0.2875,-0.3755,0.667255,0.409365,0.979342,NS,Concordant Down
PDAP1,-0.3724,0.2901,0.627085,0.728792,0.288696,NS,HR↓ LR↑
TIPRL,0.1315,-0.5309,0.968207,0.405068,0.437019,NS,HR↑ LR↓
MCTS1,0.2707,-0.3911,0.701365,0.352166,0.128766,NS,HR↑ LR↓
SRSF3,0.6486,0.0114,0.139714,0.999574,0.261185,NS,Concordant Up
COX6B1,-0.534,-0.1258,0.260653,0.943227,0.61717,NS,Concordant Down
MIEN1,-0.5231,-0.1351,0.365211,0.947886,0.71288,NS,Concordant Down
MYO1C,-0.2115,-0.4461,0.828167,0.238547,0.842187,NS,Concordant Down
THAP4,-0.4494,-0.2075,0.53769,0.865166,0.892296,NS,Concordant Down
GARS1,0.4332,-0.2234,0.420269,0.800447,0.203186,NS,HR↑ LR↓
DEPTOR,-0.3797,-0.2768,0.443177,0.627245,0.970102,NS,Concordant Down
DDX3X,0.4591,-0.197,0.394528,0.854674,0.227126,NS,HR↑ LR↓
PGRMC1,-0.5851,-0.0708,0.251103,0.984617,0.49275,NS,Concordant Down
NUDT16,-0.4873,-0.1666,0.226264,0.857577,0.681513,NS,Concordant Down
BZW1,-0.5195,0.1342,0.487264,0.956491,0.419938,NS,HR↓ LR↑
LAMC1,0.3499,-0.3037,0.745968,0.784434,0.433617,NS,HR↑ LR↓
COQ7,-0.3093,-0.3425,0.472855,0.305553,0.996061,NS,Concordant Down
FAM114A2,-0.1257,0.5256,0.94192,0.169661,0.175827,NS,HR↓ LR↑
TMEM38A,0.387,0.2639,0.685968,0.832999,0.977832,NS,Concordant Up
EIF2S2,-0.2314,0.4188,0.862064,0.498078,0.330715,NS,HR↓ LR↑
BIN3,0.3776,-0.2717,0.718449,0.818845,0.441735,NS,HR↑ LR↓
CUL4A,-0.1501,-0.4984,0.94697,0.390506,0.785282,NS,Concordant Down
SRI,0.1308,0.5167,0.964897,0.345031,0.752947,NS,Concordant Up
SUGT1,0.3407,-0.30620000000000003,0.826685,0.868321,0.606991,NS,HR↑ LR↓
SGTA,-0.4066,-0.2392,0.3552,0.701531,0.912037,NS,Concordant Down
TMEM126A,-0.3269,-0.3187,0.823301,0.817061,0.999927,NS,Concordant Down
PGPEP1,-0.249,-0.3966,0.81482,0.439487,0.952441,NS,Concordant Down
PPTC7,-0.4283,-0.2172,0.570327,0.822927,0.912923,NS,Concordant Down
RNF114,-0.2669,-0.377,0.828247,0.602442,0.97963,NS,Concordant Down
PARP1,0.3696,0.2743,0.63734,0.810744,0.984822,NS,Concordant Up
EML1,-0.4871,-0.1566,0.263038,0.892699,0.696839,NS,Concordant Down
PPP1CC,0.532,-0.1109,0.371214,0.966841,0.356677,NS,HR↑ LR↓
ETFDH,-0.479,-0.1633,0.108085,0.817175,0.58505,NS,Concordant Down
FHOD1,-0.4961,-0.1457,0.07604,0.849379,0.483057,NS,Concordant Down
RAB1B,0.1752,0.4661,0.87047,0.179506,0.735253,NS,Concordant Up
LZIC,-0.6098,0.0308,0.182147,0.996837,0.257102,NS,HR↓ LR↑
IDH1,-0.6146,0.0256,0.106186,0.997638,0.192349,NS,HR↓ LR↑
GPAT3,0.2036,0.4366,0.895305,0.464092,0.898191,NS,Concordant Up
PDIA3,0.5529,-0.0867,0.136764,0.967165,0.150951,NS,HR↑ LR↓
ABCB7,0.0306,0.6083,0.997674,0.14887,0.391208,NS,Concordant Up
OXSM,-0.4712,-0.1667,0.413705,0.896601,0.792218,NS,Concordant Down
SELENBP1,-0.107,0.5307,0.955894,0.103727,0.147827,NS,HR↓ LR↑
PYURF,0.0641,-0.5734,0.995925,0.578471,0.680954,NS,HR↑ LR↓
MRPL46,-0.3885,0.2488,0.61054,0.736214,0.289062,NS,HR↓ LR↑
HNRNPH1,0.4566,0.1803,0.237839,0.826061,0.745117,NS,Concordant Up
TOMM7,0.5302,0.1066,0.795274,0.984681,0.88469,NS,Concordant Up
STAC3,-0.2901,-0.3462,0.72629,0.531118,0.993091,NS,Concordant Down
LDHA,-0.3579,-0.2773,0.499646,0.630672,0.982301,NS,Concordant Down
TGM2,0.2694,0.3649,0.737371,0.468746,0.977757,NS,Concordant Up
RAB21,0.2863,-0.3476,0.825374,0.684875,0.431109,NS,HR↑ LR↓
MT-ND5,-0.437,-0.1953,0.49579,0.87537,0.880136,NS,Concordant Down
AKR1C1,0.5048,0.1258,0.468504,0.961455,0.76439,NS,Concordant Up
TPP2,-0.4418,0.1864,0.269281,0.81476,0.12587,NS,HR↓ LR↑
SCARB2,0.0319,-0.5961,0.998183,0.238876,0.448571,NS,HR↑ LR↓
ERI3,-0.5229,-0.1042,0.156287,0.94889,0.484636,NS,Concordant Down
SLMAP,0.5337,0.0932,0.17123,0.962691,0.47548,NS,Concordant Up
RNF123,-0.4331,0.1918,0.219224,0.770584,0.082967,NS,HR↓ LR↑
FBLN5,0.0308,-0.5937,0.998503,0.389064,0.538074,NS,HR↑ LR↓
ALDH1B1,0.564,-0.0601,0.30884,0.990139,0.362667,NS,HR↑ LR↓
NT5C3A,-0.4686,-0.1551,0.131334,0.840897,0.600662,NS,Concordant Down
