"uniprot_id","eta2","gene","label"
"P62851",0.219574551533873,"RPS25","RPS25"
"Q13838",0.219321787624926,"DDX39B","DDX39B"
"O75534",0.219248125601923,"CSDE1","CSDE1"
"Q92616",0.219229922416531,"GCN1","GCN1"
"Q8NDH3",0.219114361285492,"NPEPL1","NPEPL1"
"Q9H0P0",0.218678092260403,"NT5C3A","NT5C3A"
"Q9Y623",0.218478120510313,"MYH4","MYH4"
"P28289",0.21843514717747,"TMOD1","TMOD1"
"Q9H987",0.21793412874522,"SYNPO2L","SYNPO2L"
"O94874",0.217712907027721,"UFL1","UFL1"
"Q99757",0.217563318733701,"TXN2","TXN2"
"Q92947",0.217501716470542,"GCDH","GCDH"
"P62834",0.217425171889261,"RAP1A","RAP1A"
"P17152",0.217210898241174,"TMEM11","TMEM11"
"Q13508",0.216550531212741,"ART3","ART3"
"Q02878",0.216357990014753,"RPL6","RPL6"
"Q96DV4",0.216220781811175,"MRPL38","MRPL38"
"Q86VP6",0.215754218685973,"CAND1","CAND1"
"P67809",0.215351057590987,"YBX1","YBX1"
"Q14103",0.215320046771629,"HNRNPD","HNRNPD"
"Q9H910",0.215184119893826,"JPT2","JPT2"
"P30405",0.214787081915788,"PPIF","PPIF"
"P05387",0.214535573842274,"RPLP2","RPLP2"
"P61160",0.214485667343125,"ACTR2","ACTR2"
"P61923",0.214435699526557,"COPZ1","COPZ1"
"P19338",0.214166581800834,"NCL","NCL"
"Q92734",0.214031837266357,"TFG","TFG"
"P10515",0.213885230706087,"DLAT","DLAT"
"P20073",0.213722901219256,"ANXA7","ANXA7"
"Q86V88",0.213615445284178,"MDP1","MDP1"
"O00233",0.213254041182636,"PSMD9","PSMD9"
"Q05086",0.212492608061363,"UBE3A","UBE3A"
"Q9BPX5",0.212288398868972,"ARPC5L","ARPC5L"
"P33121",0.211983344523806,"ACSL1","ACSL1"
"Q8TCJ2",0.211780026548095,"STT3B","STT3B"
"Q96FW1",0.211361188396717,"OTUB1","OTUB1"
"Q13642",0.210956234851335,"FHL1","FHL1"
"Q9UI30",0.210747712320361,"TRMT112","TRMT112"
"Q9NT62",0.210517006391749,"ATG3","ATG3"
"P62495",0.210385553492923,"ETF1","ETF1"
"O75027",0.21012419022969,"ABCB7","ABCB7"
"P07203",0.209633771603884,"GPX1","GPX1"
"P00492",0.20938648014472,"HPRT1","HPRT1"
"P07814",0.209228553790168,"EPRS1","EPRS1"
"Q9P003",0.209212561798417,"CNIH4","CNIH4"
"P42330",0.209059446158959,"AKR1C3","AKR1C3"
"O75390",0.208874212397498,"CS","CS"
"P13987",0.208669587572664,"CD59","CD59"
"P62424",0.207970939100364,"RPL7A","RPL7A"
"Q04828",0.207700272501826,"AKR1C1","AKR1C1"
"P84103",0.207402604504184,"SRSF3","SRSF3"
"P63302",0.207066575344953,"SELENOW","SELENOW"
"Q12955",0.206973512389794,"ANK3","ANK3"
"Q6UW78",0.206739614917809,"UQCC3","UQCC3"
"Q9NPL8",0.206650147438799,"TIMMDC1","TIMMDC1"
"P12236",0.206614976869251,"SLC25A6","SLC25A6"
"P53597",0.206570902620605,"SUCLG1","SUCLG1"
"P08238",0.206143006153627,"HSP90AB1","HSP90AB1"
"P40926",0.205888570269952,"MDH2","MDH2"
"Q9P2R7",0.205814002996378,"SUCLA2","SUCLA2"
"Q14847",0.205648835393813,"LASP1","LASP1"
"P60520",0.205579361766976,"GABARAPL2","GABARAPL2"
"O43765",0.205226117194727,"SGTA","SGTA"
"P14854",0.204673597231858,"COX6B1","COX6B1"
"P42704",0.204618512668593,"LRPPRC","LRPPRC"
"O00159",0.203882696461477,"MYO1C","MYO1C"
"O60825",0.203813275095372,"PFKFB2","PFKFB2"
"P23327",0.203607531507591,"HRC","HRC"
"P51636",0.203583609142955,"CAV2","CAV2"
"Q9Y2J8",0.202958755923027,"PADI2","PADI2"
"Q969Q5",0.202899618412935,"RAB24","RAB24"
"Q53GG5",0.202421241383003,"PDLIM3","PDLIM3"
"Q9BVV7",0.202047366790968,"TIMM21","TIMM21"
"P61158",0.202034511843662,"ACTR3","ACTR3"
"P13010",0.201781870480368,"XRCC5","XRCC5"
"P29972",0.201750827575254,"AQP1","AQP1"
"P23396",0.201398663440266,"RPS3","RPS3"
"O00499",0.20123941888641,"BIN1","BIN1"
"Q9Y262",0.201115937277777,"EIF3L","EIF3L"
"O15143",0.201026754289121,"ARPC1B","ARPC1B"
"Q92499",0.20076724519117,"DDX1","DDX1"
"O00330",0.199999873498126,"PDHX","PDHX"
"Q16595",0.199967738596747,"FXN","FXN"
"P60228",0.199875741562148,"EIF3E","EIF3E"
"Q9NRY5",0.199812000056759,"FAM114A2","FAM114A2"
"Q9UKU7",0.199665566274118,"ACAD8","ACAD8"
"Q5VWP3",0.199180894876822,"MLIP","MLIP"
"Q92614",0.198986993457819,"MYO18A","MYO18A"
"P50213",0.19868818585365,"IDH3A","IDH3A"
"O75340",0.198643173365024,"PDCD6","PDCD6"
"Q9NY65",0.198537265253116,"TUBA8","TUBA8"
"Q96PE7",0.198497320693899,"MCEE","MCEE"
"P49137",0.198073523825042,"MAPKAPK2","MAPKAPK2"
"P13535",0.197745409096742,"MYH8","MYH8"
"P60602",0.197545816993338,"ROMO1","ROMO1"
"O75396",0.197540804175302,"SEC22B","SEC22B"
"P53814",0.196662271511927,"SMTN","SMTN"
"P43487",0.196450843946375,"RANBP1","RANBP1"
"Q9H3N1",0.196384929716794,"TMX1","TMX1"
"Q5SQH8",0.196328702501987,"C6orf136","C6orf136"
"Q9Y3I1",0.19632699438719,"FBXO7","FBXO7"
"P50583",0.196250299676715,"NUDT2","NUDT2"
"P06732",0.195670150504659,"CKM","CKM"
"O00748",0.195324082062979,"CES2","CES2"
"Q9Y5U8",0.194712691925835,"MPC1","MPC1"
"P34932",0.194003497863833,"HSPA4","HSPA4"
"P16118",0.193807386987462,"PFKFB1","PFKFB1"
"Q5U5X0",0.193628092406198,"LYRM7","LYRM7"
"Q9NRG4",0.193483575593119,"SMYD2","SMYD2"
"Q13620",0.193331540585296,"CUL4B","CUL4B"
"Q8N6M3",0.192907410186679,"FITM2","FITM2"
"Q99447",0.192291605072008,"PCYT2","PCYT2"
"P61353",0.192229295430144,"RPL27","RPL27"
"Q99613",0.192019460075666,"EIF3C","EIF3C"
"P05164",0.191969751650073,"MPO","MPO"
"Q15208",0.19188063124336,"STK38","STK38"
"P45954",0.191571085617947,"ACADSB","ACADSB"
"Q9H2G2",0.191255453117867,"SLK","SLK"
"Q9Y3D9",0.19117482291432,"MRPS23","MRPS23"
"P35241",0.191147604071613,"RDX","RDX"
"Q9Y394",0.190921102984236,"DHRS7","DHRS7"
"O95140",0.190758524448931,"MFN2","MFN2"
"Q15691",0.190679721982966,"MAPRE1","MAPRE1"
