"phase","gene","hr","lr","gap"
"Acute (T3 - T2)","RPL6",0.791139472127998,-0.342689294912791,1.13382876704079
"Acute (T3 - T2)","ARHGAP1",1.22276259430346,0.0406913251245662,1.18207126917889
"Acute (T3 - T2)","ILF3",1.43422299652098,0.418065630104135,1.01615736641685
"Acute (T3 - T2)","TARDBP",-0.619351157665061,0.625256518242217,1.24460767590728
"Acute (T3 - T2)","CAMK2D",0.484205343051197,-0.14978105481956,0.633986397870757
"Acute (T3 - T2)","SEPTIN6",0.289542962393959,2.24486361550428,1.95532065311032
"Acute (T3 - T2)","MLEC",-0.752673595107733,0.0838314801911508,0.836505075298884
"Acute (T3 - T2)","FLOT2",-0.481244364593731,0.752094175274269,1.233338539868
"Acute (T3 - T2)","PPP2R5D",1.20858257634603,-0.7305351068484,1.93911768319443
"Acute (T3 - T2)","ARHGAP19",0.134509509237905,1.4881903742062,1.3536808649683
"Acute (T3 - T2)","PEA15",1.01154393286446,-0.672797783836351,1.68434171670081
"Acute (T3 - T2)","MYLK",-0.885530679228523,0.318329054505579,1.2038597337341
"Acute (T3 - T2)","FSCN1",1.07305309256139,-0.276466162190243,1.34951925475163
"Acute (T3 - T2)","TST",-0.702522013446014,0.320718512413986,1.02324052586
"Acute (T3 - T2)","PHKG1",-0.929823671082104,0.0491586594657392,0.978982330547843
"Acute (T3 - T2)","PDLIM3",0.659848192510001,-0.173981829423969,0.83383002193397
"Acute (T3 - T2)","GARNL3",-0.448595909044901,0.613171712343554,1.06176762138846
"Acute (T3 - T2)","MICOS13",-0.65212619868251,0.38303619360676,1.03516239228927
"Acute (T3 - T2)","LAMTOR1",0.756419736533537,-0.437787923738545,1.19420766027208
"Acute (T3 - T2)","ACAD10",-0.944709370465098,0.0976345730913728,1.04234394355647
"Acute (T3 - T2)","UQCC3",0.94468184259102,-0.802199224647026,1.74688106723805
"Acute (T3 - T2)","MYPN",0.70837430457146,-0.286476385306031,0.994850689877491
"Acute (T3 - T2)","PM20D2",1.60793121553247,-0.373964549263727,1.9818957647962
"Acute (T3 - T2)","MYO18A",0.971818078017037,-0.0735437391276825,1.04536181714472
"Acute (T3 - T2)","PBXIP1",0.517201119705764,-0.253475177681874,0.770676297387638
"Acute (T3 - T2)","S100A13",1.06500171872245,-0.349072508776171,1.41407422749862
"Acute (T3 - T2)","TMEM43",0.495054103684801,-0.528412672017275,1.02346677570208
"Acute (T3 - T2)","TPPP3",1.75288451098121,0.17086777647097,1.58201673451024
"Acute (T3 - T2)","UBE2O",0.403800049792423,-1.07391902603151,1.47771907582393
"Acute (T3 - T2)","ISCU",0.67121848921844,-0.471791242183716,1.14300973140216
"Acute (T3 - T2)","RWDD1",0.597322282989214,-0.555297927384167,1.15262021037338
"Acute (T3 - T2)","JPT2",0.330841729464101,-0.66012176456975,0.990963494033851
"Acute (T3 - T2)","TIMMDC1",0.896479084076422,-0.489650810467374,1.3861298945438
"Acute (T3 - T2)","BIN3",0.903332038847541,-0.25355398457296,1.1568860234205
"Acute (T3 - T2)","ACSS2",-0.850555426477221,0.1582169066882,1.00877233316542
"Acute (T3 - T2)","ATG3",-1.09186711207026,0.420045664560483,1.51191277663074
"Acute (T3 - T2)","CHORDC1",0.568929881593156,-1.18915997295052,1.75808985454368
"Acute (T3 - T2)","SEPTIN9",-0.0506339816899271,-1.17167273761337,1.12103875592344
"Acute (T3 - T2)","CYB5R1",0.273848255298041,-0.370192430352091,0.644040685650132
"Acute (T3 - T2)","STOML2",0.117451564504943,-0.606884270757195,0.724335835262138
"Acute (T3 - T2)","MAPRE3",0.241277973326504,-0.536827538867147,0.778105512193651
"Acute (T3 - T2)","RUVBL1",0.458060924823041,-0.328208216969216,0.786269141792257
"Acute (T3 - T2)","TPRKB",-1.58484356034556,0.0391035702855653,1.62394713063113
"Acute (T3 - T2)","GMPPB",-0.85476118606663,0.194059744681105,1.04882093074773
