gene,logFC,neg_log10_p,pi_score,adj_pval,direction
CHCHD10,0.4894,0.7237,0.44236,0.998942,NS
VBP1,0.3838,0.9084,0.448084,0.998942,NS
LXN,-0.7401,0.4706,0.448479,0.998942,NS
EIF3D,0.4097,0.8449,0.450699,0.998942,NS
EPDR1,0.386,0.8951,0.45132100000000003,0.998942,NS
LPCAT3,-0.4334,0.7886,0.455195,0.998942,NS
MRPL47,0.3855,0.8865,0.455244,0.998942,NS
VTA1,0.297,1.1365,0.45966,0.998942,NS
LONP1,0.3085,1.094,0.459697,0.998942,NS
UBE2D3,0.3521,0.9582,0.459822,0.998942,NS
PLGRKT,-0.4228,0.7945,0.461375,0.998942,NS
BCAP29,-0.4061,0.827,0.461455,0.998942,NS
PLS3,0.4313,0.7738,0.463672,0.998942,NS
BCKDK,-0.5566,0.5993,0.463893,0.998942,NS
GMPPB,0.4081,0.8162,0.464405,0.998942,NS
ME2,0.4268,0.7715,0.46851,0.998942,NS
ACTN3,-0.8167,0.3981,0.473056,0.998942,NS
CAMK2A,-0.4041,0.8025,0.47391,0.998942,NS
PLIN3,0.2903,1.1099,0.476244,0.998942,NS
COQ3,0.3607,0.8874,0.47849,0.998942,NS
TIMM13,0.4633,0.6799,0.484191,0.998942,NS
SPTB,-0.4795,0.6471,0.489438,0.998942,NS
ACP1,-0.3134,0.9884,0.490042,0.998942,NS
NPEPPS,-0.2181,1.419,0.490409,0.998942,NS
DHRS11,-0.3682,0.8354,0.492468,0.998942,NS
PCCB,0.2973,1.0283,0.494622,0.998942,NS
CHORDC1,0.6732,0.4525,0.495903,0.998942,NS
MFAP4,-0.5353,0.5689,0.495969,0.998942,NS
ERGIC1,0.3462,0.8748,0.497914,0.998942,NS
TOMM70,0.3795,0.7938,0.499754,0.998942,NS
MYBPC2,-0.5373,0.56,0.500183,0.998942,NS
STUB1,-0.3246,0.9237,0.501371,0.998942,NS
GNA11,0.3853,0.7773,0.501769,0.998942,NS
CAB39,-0.2936,1.0174,0.502653,0.998942,NS
RDH13,0.3936,0.7496,0.506965,0.998942,NS
TMEM109,-0.3968,0.7385,0.509348,0.998942,NS
NUDT16,-0.3259,0.8958,0.51058,0.998942,NS
RPL9,-0.4063,0.7148,0.512362,0.998942,NS
SUCLA2,0.2394,1.2071,0.51401,0.998942,NS
THY1,0.7186,0.4007,0.515293,0.998942,NS
SIRT2,0.4603,0.6239,0.516229,0.998942,NS
ANP32A,0.3422,0.8287,0.520543,0.998942,NS
PDHB,0.2393,1.1849,0.5206,0.998942,NS
PPIB,0.3279,0.8601,0.522402,0.998942,NS
C11orf68,-0.2598,1.0831,0.523091,0.998942,NS
EIF4H,-0.2634,1.0615,0.525278,0.998942,NS
VAT1,0.4356,0.6391,0.526801,0.998942,NS
MRPL12,0.3356,0.8258,0.528334,0.998942,NS
HDGF,0.2929,0.9419,0.529753,0.998942,NS
MOB2,-0.3985,0.6897,0.531054,0.998942,NS
CLPP,-0.3787,0.7181,0.534603,0.998942,NS
HSPB1,0.2751,0.9883,0.534715,0.998942,NS
RAB1B,-0.3083,0.8809,0.535067,0.998942,NS
MTM1,-0.4702,0.5774,0.535173,0.998942,NS
SCN1B,-0.3864,0.7025,0.535249,0.998942,NS
ATP5F1B,0.2109,1.2838,0.53617,0.998942,NS
FKBP2,0.4189,0.6424,0.538118,0.998942,NS
SLC25A3,0.2887,0.9312,0.538445,0.998942,NS
PFDN4,-0.2973,0.9026,0.539073,0.998942,NS
COL15A1,0.4726,0.5675,0.539264,0.998942,NS
NEDD8,-0.3172,0.8423,0.540511,0.998942,NS
FITM1,0.4426,0.6036,0.540522,0.998942,NS
LETM1,0.3203,0.8337,0.540749,0.998942,NS
MCU,-0.3415,0.781,0.541098,0.998942,NS
PBDC1,-0.3424,0.7728,0.543752,0.998942,NS
DHCR24,-0.4297,0.6156,0.54385,0.998942,NS
ERP29,0.3132,0.8439,0.544096,0.998942,NS
A2M,-0.4421,0.5978,0.5441,0.998942,NS
HSPB6,0.3308,0.7965,0.545122,0.998942,NS
PPID,-0.3343,0.7849,0.546515,0.998942,NS
CHMP6,-0.2954,0.8874,0.546821,0.998942,NS
MRPS23,0.3471,0.7547,0.547035,0.998942,NS
TUBA8,0.2964,0.8822,0.54766,0.998942,NS
GGCT,-0.2974,0.8792,0.54772,0.998942,NS
AIFM1,0.2153,1.212,0.548348,0.998942,NS
MYH3,-0.4957,0.5258,0.548737,0.998942,NS
TXNRD1,-0.2479,1.0492,0.5494,0.998942,NS
GNB2,0.2801,0.9235,0.551214,0.998942,NS
ALAD,-0.3928,0.6578,0.551588,0.998942,NS
OPTN,-0.4581,0.5591,0.554486,0.998942,NS
HSPA2,-0.3261,0.7835,0.555295,0.998942,NS
ATP5MF,-0.3402,0.7478,0.556629,0.998942,NS
CRIP2,0.4296,0.5908,0.557433,0.998942,NS
ECHDC3,-0.3836,0.6575,0.559452,0.998942,NS
GALK1,-0.4451,0.5659,0.559901,0.998942,NS
MFN2,-0.3381,0.744,0.560301,0.998942,NS
NPEPL1,0.3163,0.7948,0.560527,0.998942,NS
MCEE,-0.349,0.7165,0.562276,0.998942,NS
COPB1,0.3866,0.6458,0.562775,0.998942,NS
CSNK1A1,-0.3905,0.6368,0.564016,0.998942,NS
DNAJA4,0.3265,0.7604,0.564545,0.998942,NS
IRGQ,-0.3431,0.722,0.565287,0.998942,NS
TUBB2A,0.3674,0.6737,0.565553,0.998942,NS
ERI3,-0.2956,0.8343,0.566767,0.998942,NS
JPH1,-0.3623,0.6786,0.567754,0.998942,NS
HNRNPU,0.3952,0.6212,0.568211,0.998942,NS
ISYNA1,-0.445,0.5501,0.569112,0.998942,NS
DHRS7C,-0.3286,0.7446,0.569244,0.998942,NS
PPTC7,0.3437,0.7112,0.569574,0.998942,NS
PVALB,0.5867,0.4159,0.570102,0.998942,NS
S100A9,-0.6022,0.4052,0.570169,0.998942,NS
SLC35A4,0.3641,0.6669,0.571684,0.998942,NS
SNTA1,-0.2864,0.8453,0.572719,0.998942,NS
CCS,-0.4399,0.5494,0.573226,0.998942,NS
MYBPC1,-0.3863,0.6255,0.573303,0.998942,NS
NDUFS5,0.3234,0.7446,0.574322,0.998942,NS
ETFA,0.2159,1.1153,0.574379,0.998942,NS
SARS1,-0.3905,0.6106,0.577532,0.998942,NS
KYAT1,-0.3624,0.656,0.578469,0.998942,NS
SERBP1,-0.3899,0.6078,0.579442,0.998942,NS
PIN4,-0.3272,0.724,0.579559,0.998942,NS
MYH1,-0.5221,0.4538,0.579566,0.998942,NS
TMOD4,-0.4445,0.5295,0.581629,0.998942,NS
TUFM,0.2264,1.0343,0.583187,0.998942,NS
CD63,0.4022,0.5801,0.584359,0.998942,NS
SLC1A4,-0.4613,0.5047,0.585054,0.998942,NS
RAB12,-0.3238,0.7179,0.585558,0.998942,NS
HTRA2,-0.3603,0.6442,0.585987,0.998942,NS
SYNPO,0.3745,0.6154,0.588235,0.998942,NS
OGDH,0.1947,1.1797,0.589185,0.998942,NS
RAB5B,-0.3896,0.5893,0.589371,0.998942,NS
CYCS,0.2835,0.8082,0.59005,0.998942,NS
RMDN1,0.3266,0.6972,0.591929,0.998942,NS
DDOST,-0.2795,0.8131,0.592581,0.998942,NS
TMED2,-0.4292,0.5292,0.592745,0.998942,NS
ARL8A,-0.3204,0.7085,0.592936,0.998942,NS
LAP3,0.3124,0.7232,0.59442,0.998942,NS
LRPPRC,0.2036,1.1085,0.594708,0.998942,NS
SDHD,-0.3651,0.6169,0.595338,0.998942,NS
ENOPH1,-0.281,0.7968,0.597127,0.998942,NS
PCBP2,0.2268,0.9839,0.598174,0.998942,NS
DPYSL2,0.285,0.7827,0.598381,0.998942,NS
TARDBP,-0.4352,0.5124,0.598394,0.998942,NS
DCAF6,-0.2751,0.8094,0.598878,0.998942,NS
RPS25,0.3036,0.7327,0.599179,0.998942,NS
IMPA2,-0.3188,0.6973,0.599366,0.998942,NS
SDR39U1,0.4367,0.5071,0.60054,0.998942,NS
ACAA1,-0.3363,0.6531,0.603075,0.998942,NS
ERP44,-0.2785,0.788,0.603246,0.998942,NS
MB,0.257,0.8467,0.605939,0.998942,NS
SUCLG1,0.2343,0.9198,0.608859,0.998942,NS
UBL5,-0.36,0.5975,0.609378,0.998942,NS
ROMO1,0.3646,0.5895,0.609633,0.998942,NS
RTN4IP1,-0.4115,0.5203,0.610816,0.998942,NS
IDH3B,0.2389,0.8948,0.61132,0.998942,NS
ABCF2,-0.3489,0.6087,0.613228,0.998942,NS
PSME2,0.3647,0.5818,0.613489,0.998942,NS
IPO5,-0.2415,0.8769,0.614079,0.998942,NS
HLA-A,0.3451,0.6129,0.614451,0.998942,NS
MT-CYB,-0.3727,0.5669,0.614737,0.998942,NS
IGHV3-7,-0.3878,0.5444,0.615004,0.998942,NS
FSCN1,0.4759,0.4433,0.615221,0.998942,NS
ASPN,0.4933,0.4267,0.615897,0.998942,NS
DCTN3,0.3234,0.6434,0.61931,0.998942,NS
SORD,0.3236,0.6409,0.62031,0.998942,NS
CLIC4,0.3467,0.5964,0.621226,0.998942,NS
ALDH9A1,-0.2146,0.961,0.621907,0.998942,NS
UBE2G1,-0.3908,0.5261,0.622856,0.998942,NS
AHNAK,0.292,0.7013,0.624063,0.998942,NS
SLIRP,0.2707,0.7557,0.624411,0.998942,NS
HLA-B,-0.3605,0.5659,0.625169,0.998942,NS
ACAD10,-0.2848,0.7156,0.625515,0.998942,NS
RPL14,0.3479,0.5854,0.6257,0.998942,NS
AGT,-0.4544,0.4457,0.627326,0.998942,NS
DECR1,0.2017,1.0006,0.628387,0.998942,NS
COX5A,0.2706,0.7449,0.628686,0.998942,NS
FTL,0.4787,0.419,0.630117,0.998942,NS
ADH1B,-0.3723,0.5387,0.630194,0.998942,NS
ACSS2,-0.3084,0.6501,0.630211,0.998942,NS
DARS2,-0.36,0.5537,0.631937,0.998942,NS
IBA57,0.3781,0.5263,0.632405,0.998942,NS
AOC3,-0.3986,0.4983,0.632989,0.998942,NS
PEA15,-0.5752,0.3441,0.633923,0.998942,NS
TOMM40,0.3549,0.5573,0.634173,0.998942,NS
PAIP1,0.3098,0.6384,0.634173,0.998942,NS
HIBCH,0.3073,0.642,0.634919,0.998942,NS
NAGK,-0.3199,0.6156,0.635402,0.998942,NS
APOC2,-0.4617,0.4238,0.637232,0.998942,NS
