pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,Canonical Wnt Signaling Pathway,GO:BP,1.007,0.906,0.785,0.929,NS,22
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE,Negative Regulation Of Defense Response,GO:BP,-0.898,-1.015,0.8699,0.8775,NS,26
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,Skeletal Muscle Cell Differentiation,GO:BP,-1.023,0.889,0.7794,0.9375,NS,11
GOBP_OSSIFICATION,Ossification,GO:BP,-0.995,0.917,0.7911,0.929,NS,41
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,-0.999,-0.913,0.7892,0.929,NS,26
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,Connective Tissue Development,GO:BP,-1.139,0.771,0.6848,0.9783,NS,12
GOBP_BODY_FLUID_SECRETION,Body Fluid Secretion,GO:BP,1.13,-0.779,0.708,0.9733,NS,10
GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,Regulation Of Carbohydrate Metabolic Process,GO:BP,-1.063,0.846,0.7439,0.9665,NS,35
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,-0.95,0.959,0.8256,0.9237,NS,22
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS,Organophosphate Catabolic Process,GO:BP,-0.862,-1.044,0.912,0.8474,NS,59
GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS,Porphyrin Containing Compound Metabolic Pr...,GO:BP,-0.765,-1.141,0.9259,0.8324,NS,11
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Intrinsic Apoptotic Signalin...,GO:BP,0.877,1.028,0.8974,0.8589,NS,41
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,Regulation Of Lamellipodium Assembly,GO:BP,-0.961,0.944,0.8121,0.9237,NS,10
GOBP_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,Regulation Of Lamellipodium Organization,GO:BP,-0.961,0.944,0.8121,0.9237,NS,10
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE,Import Across Plasma Membrane,GO:BP,-1.035,0.869,0.7726,0.9535,NS,21
GOBP_ADULT_BEHAVIOR,Adult Behavior,GO:BP,1.085,0.817,0.7365,0.9601,NS,10
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,Adult Locomotory Behavior,GO:BP,1.085,0.817,0.7365,0.9601,NS,10
GOBP_MEIOTIC_CELL_CYCLE_PROCESS,Meiotic Cell Cycle Process,GO:BP,0.746,1.156,0.9305,0.8265,NS,11
GOBP_IRON_ION_TRANSPORT,Iron Ion Transport,GO:BP,-1.164,0.737,0.6577,0.9864,NS,15
GOBP_MICROTUBULE_BASED_MOVEMENT,Microtubule Based Movement,GO:BP,-0.988,0.912,0.8015,0.9375,NS,44
GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS,Nucleic Acid Catabolic Process,GO:BP,-0.971,-0.927,0.8121,0.926,NS,46
GOBP_MIDBRAIN_DEVELOPMENT,Midbrain Development,GO:BP,-0.824,1.074,0.912,0.843,NS,24
GOBP_NUCLEOBASE_METABOLIC_PROCESS,Nucleobase Metabolic Process,GO:BP,-0.87,-1.027,0.8863,0.8766,NS,15
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,Glycolytic Process Through Fructose 6 Phos...,GO:BP,-1.15,-0.746,0.6741,0.9864,NS,17
GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,Positive Regulation Of Carbohydrate Metabo...,GO:BP,-1.072,0.824,0.7439,0.9616,NS,16
GOBP_REGULATION_OF_SPINDLE_ASSEMBLY,Regulation Of Spindle Assembly,GO:BP,-1.046,0.85,0.7677,0.9555,NS,10
GOBP_MITOPHAGY,Mitophagy,GO:BP,-0.945,-0.95,0.8276,0.9237,NS,23
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS,Positive Regulation Of Proteolysis,GO:BP,-0.983,-0.91,0.8051,0.9468,NS,45
GOBP_SKIN_DEVELOPMENT,Skin Development,GO:BP,-1.037,-0.855,0.7726,0.9587,NS,19
GOBP_PROTEIN_PROCESSING,Protein Processing,GO:BP,-1.01,0.882,0.785,0.9532,NS,28
GOBP_REGULATION_OF_HORMONE_SECRETION,Regulation Of Hormone Secretion,GO:BP,-1.01,-0.882,0.785,0.9535,NS,33
GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS,Neutral Lipid Metabolic Process,GO:BP,0.993,-0.896,0.7881,0.9421,NS,16
GOBP_CARBOHYDRATE_PHOSPHORYLATION,Carbohydrate Phosphorylation,GO:BP,0.934,0.955,0.8273,0.9237,NS,10
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,Alpha Beta T Cell Activation,GO:BP,-0.814,1.075,0.912,0.8431,NS,15
GOBP_POSTSYNAPSE_ORGANIZATION,Postsynapse Organization,GO:BP,-0.883,1.005,0.8854,0.8851,NS,24
GOBP_MUSCLE_TISSUE_DEVELOPMENT,Muscle Tissue Development,GO:BP,-1.127,-0.759,0.6291,0.9993,NS,81
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,Regulation Of Response To Wounding,GO:BP,-1.282,0.603,0.5508,0.9993,NS,22
GOBP_PYRUVATE_METABOLIC_PROCESS,Pyruvate Metabolic Process,GO:BP,1.059,0.826,0.7365,0.9781,NS,51
GOBP_LEUKOCYTE_PROLIFERATION,Leukocyte Proliferation,GO:BP,-1.074,-0.81,0.7365,0.9783,NS,28
GOBP_ALCOHOL_CATABOLIC_PROCESS,Alcohol Catabolic Process,GO:BP,1.023,-0.861,0.7794,0.9532,NS,10
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,Establishment Of Protein Localization To O...,GO:BP,0.994,-0.89,0.796,0.9658,NS,101
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,Glycerophospholipid Metabolic Process,GO:BP,0.815,-1.069,0.912,0.8431,NS,22
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Response To Topologically Incorrect Protein,GO:BP,0.734,-1.15,0.9585,0.7768,NS,40
GOBP_ICOSANOID_METABOLIC_PROCESS,Icosanoid Metabolic Process,GO:BP,1.06,-0.821,0.7501,0.9698,NS,23
GOBP_HOMOTYPIC_CELL_CELL_ADHESION,Homotypic Cell Cell Adhesion,GO:BP,-0.867,1.014,0.8916,0.8788,NS,23
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,Negative Regulation Of Monoatomic Ion Tran...,GO:BP,-0.706,-1.175,0.9543,0.7768,NS,20
GOBP_PROTEIN_K63_LINKED_UBIQUITINATION,Protein K63 Linked Ubiquitination,GO:BP,-1.25,0.629,0.6006,0.9993,NS,11
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION,Protein Complex Oligomerization,GO:BP,1.044,0.835,0.7575,0.9733,NS,46
GOBP_REGULATION_OF_EXOCYTOSIS,Regulation Of Exocytosis,GO:BP,-0.923,-0.955,0.8502,0.9237,NS,27
GOBP_RESPONSE_TO_VIRUS,Response To Virus,GO:BP,-1.02,0.857,0.7794,0.9601,NS,35
GOBP_NEGATIVE_REGULATION_OF_SECRETION,Negative Regulation Of Secretion,GO:BP,0.982,0.895,0.8015,0.9437,NS,20
GOBP_NADH_METABOLIC_PROCESS,NADH Metabolic Process,GO:BP,1.092,-0.782,0.7185,0.9864,NS,26
GOBP_STEM_CELL_DIFFERENTIATION,Stem Cell Differentiation,GO:BP,-0.904,0.97,0.8699,0.9206,NS,21
GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,Regulation Of Alpha Beta T Cell Activation,GO:BP,-0.907,0.966,0.8572,0.9206,NS,12
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,Positive Regulation Of Reactive Oxygen Spe...,GO:BP,-1.349,-0.523,0.5016,0.9994,NS,18
GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS,Negative Regulation Of DNA Metabolic Process,GO:BP,-1.045,0.827,0.7726,0.9601,NS,13
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION,Cellular Response To Glucose Starvation,GO:BP,-0.738,1.134,0.9401,0.8367,NS,13
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY,Regulation Of Synapse Assembly,GO:BP,-1.107,0.764,0.7185,0.9789,NS,10
