pathway,padj,NES,size,database,pval,ES,log2err,contrast
GOBP_RRNA_METABOLIC_PROCESS,0.016960362859575077,1.8911131867742983,30,GO:BP,0.001006287257820094,0.5377653064933232,0.45505986738722953,Acute_HR
GOBP_CRISTAE_FORMATION,0.01712828944640595,-1.9475011599812495,12,GO:BP,0.0010600801812567946,-0.6991322976898404,0.45505986738722953,Acute_HR
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,0.01712828944640595,1.959010001676455,11,GO:BP,0.0010437787371047112,0.7388697733707557,0.45505986738722953,Acute_HR
GOBP_POLYOL_METABOLIC_PROCESS,0.01712828944640595,-1.9362010821291888,19,GO:BP,0.001065975580823001,-0.6100499209947132,0.45505986738722953,Acute_HR
GOBP_UBIQUINONE_METABOLIC_PROCESS,0.017376804571718543,-1.944888161525751,10,GO:BP,0.0011428874293987442,-0.7385927748297691,0.45505986738722953,Acute_HR
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,0.017874394317365476,1.9405774623880974,14,GO:BP,0.001191796842056987,0.6791217859756877,0.45505986738722953,Acute_HR
GOBP_PROTEIN_FOLDING,0.01797939648413497,1.7054972454599582,84,GO:BP,0.0012333815127023283,0.38772869500177615,0.45505986738722953,Acute_HR
GOBP_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY,0.01853373550971103,-1.97551183316565,11,GO:BP,0.0012845163224552197,-0.7275854433957151,0.45505986738722953,Acute_HR
GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,0.018638963153748963,1.9734401759150706,17,GO:BP,0.0013049910553190576,0.6486585739846907,0.45505986738722953,Acute_HR
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,0.0191474020159107,1.699726420131584,84,GO:BP,0.001354130269866386,0.3864167523530208,0.45505986738722953,Acute_HR
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.019754086852814077,1.929297383395939,11,GO:BP,0.0014249765622256264,0.7276632172447587,0.45505986738722953,Acute_HR
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.020156818593309374,1.8070225209933575,44,GO:BP,0.001472885195792258,0.47115475515306054,0.45505986738722953,Acute_HR
GOBP_CELL_GROWTH,0.023009466484348113,1.7320136287980528,62,GO:BP,0.001741168963101307,0.41776047886891765,0.45505986738722953,Acute_HR
GOBP_TRICARBOXYLIC_ACID_METABOLIC_PROCESS,0.023009466484348113,-1.9542508847900002,11,GO:BP,0.001728083634154996,-0.7197549883758015,0.45505986738722953,Acute_HR
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,0.023434809741778816,1.697019105924786,74,GO:BP,0.0017899288911683961,0.3952044897445405,0.45505986738722953,Acute_HR
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,0.02493747639426648,1.896360722764256,20,GO:BP,0.001939973411152272,0.5973949291315361,0.45505986738722953,Acute_HR
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.02493747639426648,1.6916916605203847,67,GO:BP,0.0019227773920540208,0.40113530461816926,0.45505986738722953,Acute_HR
GOBP_ASTROCYTE_DIFFERENTIATION,0.02496380396647326,1.9617225285767557,12,GO:BP,0.001959676266109287,0.7176824633640749,0.4317076958033464,Acute_HR
GOBP_TRANSLATIONAL_INITIATION,0.025066217520791276,1.7522249549730873,52,GO:BP,0.0019854429719438635,0.4394473279910225,0.4317076958033464,Acute_HR
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.025429722777243195,1.8500835838290042,32,GO:BP,0.0020322197127499867,0.5184469501410816,0.4317076958033464,Acute_HR
