group_id,sample_id,ME
blue,S30_T2,-0.06507050412452252
brown,S30_T2,0.2182856787378047
green,S30_T2,-0.0045384356412295195
greenyellow,S30_T2,0.06757158538687501
magenta,S30_T2,-0.11150306120605794
pink,S30_T2,-0.05662032435660007
purple,S30_T2,0.022506332237226177
red,S30_T2,0.04670986243986994
turquoise,S30_T2,-0.11895256633592353
yellow,S30_T2,0.17791992783402757
black,S03_T3,0.0056788099822036526
blue,S03_T3,0.1870970165655495
brown,S03_T3,-0.03985195695909093
green,S03_T3,-0.07953727581532648
greenyellow,S03_T3,-0.05383684344614557
magenta,S03_T3,0.06693821262929492
pink,S03_T3,0.23356178960867124
purple,S03_T3,0.15491161488110505
red,S03_T3,0.06154871019241588
turquoise,S03_T3,-0.1114539736490375
yellow,S03_T3,-0.24155112562286737
black,S10_T3,-0.12480925798803055
blue,S10_T3,0.35800510254115914
brown,S10_T3,-0.2609275598672736
green,S10_T3,0.09756247539318236
