pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,ID,p.adjust,Count,geneID
HALLMARK_MYC_TARGETS_V1,2.745924540885183e-5,0.0014324573021617703,2.8512605042016803,18,119,Hallmark,3.6599855107461967,pink,MYC Targets V1,HALLMARK_MYC_TARGETS_V1,0.0014324573021617703,18,EIF3B/HNRNPA1/HNRNPA2B1/HNRNPR/HNRNPU/IARS1/ILF2/NPM1/PA2G4/PABPC4/RACK1/RPL14/RPL18/RPL22/RPLP0/RPS3/RPS6/SRSF3
GOBP_REGULATION_OF_TRANSLATION,5.00963096342673e-5,0.0024758123550829994,3.107142857142857,15,91,GO:BP,3.968266253869969,pink,Regulation Of Translation,GOBP_REGULATION_OF_TRANSLATION,0.0024758123550829994,15,ABCF1/CSDE1/EIF3B/EIF3C/EIF5B/HNRNPU/MSI2/NPM1/PA2G4/RACK1/RPL13A/RPL38/RPL5/RPS3/RPS4X
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,6.098899035987739e-5,0.0028634330973962437,5.385714285714286,8,28,GO:BP,7.673913043478261,pink,Cytoplasmic Translational Initiation,GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,0.0028634330973962437,8,EIF3A/EIF3B/EIF3C/EIF3F/EIF3G/EIF3I/RPL13A/RPS3
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,1.4755884865124528e-4,0.006597988518262825,6.652941176470588,6,17,GO:BP,10.294003868471954,pink,Regulation Of Mrna Splicing Via Spliceosome,GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,0.006597988518262825,6,DDX17/HNRNPA1/HNRNPL/HNRNPU/NPM1/SRSF3
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,1.9673105244701373e-4,0.008396839011261176,4.13780487804878,9,41,GO:BP,5.417925824175824,pink,RNA Splicing Via Transesterification React...,GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.008396839011261176,9,DDX17/HNRNPA1/HNRNPA2B1/HNRNPL/HNRNPR/HNRNPU/NPM1/SFPQ/SRSF3
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,0.0013086755392901625,0.049153853255738504,3.9984848484848485,7,33,GO:BP,5.092224979321753,pink,Positive Regulation Of Translation,GOBP_POSITIVE_REGULATION_OF_TRANSLATION,0.049153853255738504,7,ABCF1/CSDE1/EIF3C/HNRNPU/NPM1/RPL5/RPS4X
HALLMARK_ALLOGRAFT_REJECTION,0.0014912651103419787,0.05385761302350454,4.524,6,25,Hallmark,5.932810750279955,pink,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,0.05385761302350454,6,EIF3A/IL18/NPM1/RPL9/RPS19/RPS9
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.0023057962269758146,0.07732652346893892,3.278260869565217,8,46,GO:BP,3.997711670480549,pink,Regulation Of Mrna Metabolic Process,GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.07732652346893892,8,CSDE1/DDX17/HNRNPA0/HNRNPA1/HNRNPL/HNRNPU/NPM1/SRSF3
GOBP_VIRAL_GENE_EXPRESSION,0.002438208613565991,0.07894751338408501,4.9605263157894735,5,19,GO:BP,6.657894736842105,pink,Viral Gene Expression,GOBP_VIRAL_GENE_EXPRESSION,0.07894751338408501,5,CSDE1/EIF3A/EIF3B/EIF3F/EIF3G
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,0.0030723073990368095,0.09616322158985213,2.311792452830189,13,106,GO:BP,2.7185761957730814,pink,Membraneless Organelle Assembly,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,0.09616322158985213,13,CSDE1/EIF5B/HNRNPU/LDB3/NPM1/RPL11/RPL38/RPL5/RPS19/RPS28/RPS3/RPS6/RPSA
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,5.678986637239036e-41,5.332568452367455e-38,8.847222222222223,49,72,GO:BP,38.103713768115945,green,ATP Synthesis Coupled Electron Transport,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,5.332568452367455e-38,49,COX4I1/COX5A/COX6B1/COX6C/COX7A1/COX7A2/COX7C/ISCU/MT-CO2/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND5/MTCH2/NDUFA10/NDUFA11/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA7/NDUFA8/NDUFAB1/NDUFB1/NDUFB10/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.8974047940651768e-30,4.454157754068002e-28,6.882352941176471,45,85,GO:BP,19.125,green,Proton Transmembrane Transport,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,4.454157754068002e-28,45,ATP5F1E/ATP5ME/COX4I1/COX5A/COX6B1/COX7A1/MT-CO2/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA12/NDUFA2/NDUFA3/NDUFA4/NDUFA7/NDUFA8/NDUFB1/NDUFB10/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/NNT/PHB2/SLC25A12/SLC25A13/UQCRC1/UQCRFS1/UQCRH
GOBP_CELLULAR_RESPIRATION,7.915875945017882e-27,1.2388345853952986e-24,4.333333333333333,59,177,GO:BP,9.430232558139535,green,Cellular Respiration,GOBP_CELLULAR_RESPIRATION,1.2388345853952986e-24,59,ATP5F1E/ATP5ME/COX4I1/COX5A/COX6B1/COX6C/COX7A1/COX7A2/COX7C/DLAT/ISCU/MPC2/MT-CO2/MT-CYB/MT-ND1/MT-ND2/MT-ND4/MT-ND5/MTCH2/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA7/NDUFA8/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/NNT/PDHB/PDK4/SLC25A13/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.837125080607372e-26,9.171514929557603e-24,4.618421052631579,54,152,Hallmark,9.942588024220678,green,OXPHOS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.171514929557603e-24,54,AFG3L2/AIFM1/ATP5F1E/ATP5ME/COX4I1/COX5A/COX6B1/COX6C/COX7A2/COX7C/DLAT/HTRA2/IMMT/ISCU/MAOB/MGST3/MRPS22/NDUFA2/NDUFA3/NDUFA4/NDUFA7/NDUFA8/NDUFAB1/NDUFB1/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NNT/PDHB/PDK4/PHB2/SLC25A12/SLC25A20/SLC25A6/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ/VDAC1/VDAC2/VDAC3
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,8.273752674033221e-26,9.711317201146493e-24,7.711864406779662,35,59,GO:BP,22.75,green,Proton Motive Force Driven ATP Synthesis,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,9.711317201146493e-24,35,ATP5F1E/ATP5ME/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA7/NDUFA8/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3
GOBP_MITOCHONDRION_ORGANIZATION,3.9746767941680364e-20,3.1101845914364886e-18,4.271428571428572,46,140,GO:BP,8.13625617880937,green,Mitochondrion Organization,GOBP_MITOCHONDRION_ORGANIZATION,3.1101845914364886e-18,46,AFG3L2/AIFM1/APOOL/ATAD3A/ATPAF2/CHCHD3/CLUH/COX7A1/DNAJA3/FAM162A/HMGCL/HTRA2/IMMT/MCU/MT-ND1/MT-ND2/MT-ND4/MT-ND5/MTCH2/MTFP1/MTX1/NDUFA13/NDUFAF3/NDUFAF4/NDUFAF5/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/PHB2/ROMO1/SAMM50/SLC25A46/SLC25A6/SLIRP/SPG7/TFAM/TIMM21/TMEM11/TOMM40/UQCRFS1/VDAC2
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,3.5481623536533862e-19,2.495343486592056e-17,4.3671875,43,128,GO:BP,8.208189158016147,green,Purine Containing Compound Biosynthetic Pr...,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,2.495343486592056e-17,43,ACSS2/AMPD1/ATP5F1E/ATP5ME/DLAT/GCDH/MPC2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA7/NDUFA8/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/PDHB/PDK4/SLC25A13
GOBP_ATP_METABOLIC_PROCESS,6.580496310807307e-15,3.6347564916753303e-13,3.9752066115702482,37,121,GO:BP,6.753968253968254,green,ATP Metabolic Process,GOBP_ATP_METABOLIC_PROCESS,3.6347564916753303e-13,37,ATP5F1E/ATP5ME/MT-ND1/MT-ND2/MT-ND4/MT-ND5/MTCH2/NDUFA10/NDUFA11/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA7/NDUFA8/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/SLC25A13
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,1.0145804366101785e-14,5.292727944316431e-13,9.208333333333334,17,24,GO:BP,32.880580357142854,green,NADH Dehydrogenase Complex Assembly,GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,5.292727944316431e-13,17,MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA13/NDUFAF3/NDUFAF4/NDUFAF5/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/TIMM21
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,1.7480537514631397e-14,8.639065645388885e-13,6.651162790697675,22,43,GO:BP,14.641114982578397,green,Mitochondrial Respiratory Chain Complex As...,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,8.639065645388885e-13,22,AIFM1/ATPAF2/COX7A1/MT-ND1/MT-ND2/MT-ND4/MT-ND5/NDUFA13/NDUFAF3/NDUFAF4/NDUFAF5/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/TFAM/TIMM21/UQCRFS1
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,8.431703828683563e-7,3.598804497788121e-5,4.148936170212766,15,47,GO:BP,6.158653846153846,green,Mitochondrial Membrane Organization,GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,3.598804497788121e-5,15,AFG3L2/APOOL/CHCHD3/IMMT/MTCH2/MTX1/NDUFA13/ROMO1/SAMM50/SLC25A46/SLC25A6/SPG7/TMEM11/TOMM40/VDAC2
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,9.737534744385772e-6,3.9754544021644524e-4,5,10,26,GO:BP,7.981481481481482,green,Inner Mitochondrial Membrane Organization,GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,3.9754544021644524e-4,10,AFG3L2/APOOL/CHCHD3/IMMT/MTX1/NDUFA13/ROMO1/SAMM50/SLC25A46/TMEM11
GOBP_MITOCHONDRIAL_TRANSPORT,5.801892356204518e-5,0.0022699903843650176,4.193548387096774,10,31,GO:BP,6.063492063492063,green,Mitochondrial Transport,GOBP_MITOCHONDRIAL_TRANSPORT,0.0022699903843650176,10,CPT1B/MPC2/MTCH2/SLC25A13/SLC25A20/SLC25A46/SLC25A6/SPG7/VDAC1/VDAC2
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,1.9455237533969876e-4,0.007307387217759086,4.0344827586206895,9,29,GO:BP,5.6911764705882355,green,Protein Localization To Mitochondrion,GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,0.007307387217759086,9,AIFM1/MAVS/MTCH2/MTX1/NDUFA13/ROMO1/SAMM50/TIMM21/TOMM40
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,7.84611202943312e-4,0.028336535367837302,4.875,6,16,GO:BP,7.467625899280575,green,Establishment Of Protein Localization To M...,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,0.028336535367837302,6,MTCH2/MTX1/NDUFA13/ROMO1/SAMM50/TOMM40
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,0.0021892244745519043,0.07613636228163845,4.105263157894736,6,19,GO:BP,5.734366353071389,green,Protein Insertion Into Membrane,GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,0.07613636228163845,6,MTCH2/MTX1/NDUFA13/ROMO1/SAMM50/TOMM40
HALLMARK_HEME_METABOLISM,2.3860479430010656e-20,2.2404990184780004e-17,12.136376938835236,22,51,Hallmark,30.159386973180077,purple,Heme Metabolism,HALLMARK_HEME_METABOLISM,2.2404990184780004e-17,22,ADD1/ALAD/ANK1/BLVRA/BLVRB/BPGM/CA2/CAT/EPB41/FBXO7/GCLC/GCLM/GYPC/HEBP1/MPP1/PRDX2/PSMD9/SELENBP1/SLC2A1/SNCA/SPTB/UROD
GOBP_ACTIN_FILAMENT_ORGANIZATION,3.0067147276866956e-5,0.02823305129297807,3.2388316151202754,15,90,GO:BP,4.178048780487805,magenta,Actin Filament Organization,GOBP_ACTIN_FILAMENT_ORGANIZATION,0.02823305129297807,15,ACTR2/ACTR3/ARPC4/CAP1/CORO1A/DPYSL3/FSCN1/IQGAP1/LCP1/PFN1/RAC1/SPTBN1/TAGLN2/TPM4/ZYX
GOBP_RNA_SPLICING,1.1485962152488706e-4,0.04194312403495234,3.685567010309278,11,58,GO:BP,4.738000989609104,magenta,RNA Splicing,GOBP_RNA_SPLICING,0.04194312403495234,11,AHNAK/DDX39B/FUS/HNRNPA3/HNRNPC/HNRNPH1/HNRNPK/ILF3/NONO/QKI/RBMX
HALLMARK_APICAL_JUNCTION,1.758108328360651e-4,0.04194312403495234,4.711027803811309,8,33,Hallmark,6.338876404494382,magenta,Apical Junction,HALLMARK_APICAL_JUNCTION,0.04194312403495234,8,CAP1/FSCN1/GNAI2/MSN/MYH9/MYL12B/PFN1/ZYX
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,1.7867145488797588e-4,0.04194312403495234,6.477663230240551,6,18,GO:BP,9.758241758241759,magenta,Positive Regulation Of Plasma Membrane Bou...,GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,0.04194312403495234,6,ACTR2/ACTR3/DPYSL3/FSCN1/PFN1/RAC1
GOBP_MUSCLE_CELL_DEVELOPMENT,1.5778688090329982e-25,1.4816188116819853e-22,7.899305555555556,35,72,GO:BP,20.226893560226895,red,Muscle Cell Development,GOBP_MUSCLE_CELL_DEVELOPMENT,1.4816188116819853e-22,35,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/CAPN3/COL6A1/DCAF8/LMNA/MYBPC1/MYBPC2/MYBPH/MYH3/MYH6/MYL2/MYOM1/MYOM2/MYOM3/MYOZ1/MYPN/NEB/OBSCN/PDLIM5/PGM5/PLEC/RYR1/SGCB/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN
GOBP_MYOFIBRIL_ASSEMBLY,5.835514487351074e-23,2.7397740518113297e-20,10.304878048780488,26,41,GO:BP,33.78074074074074,red,Myofibril Assembly,GOBP_MYOFIBRIL_ASSEMBLY,2.7397740518113297e-20,26,ACTA1/ACTN2/CAPN3/MYBPC1/MYBPC2/MYBPH/MYH3/MYH6/MYL2/MYOM1/MYOM2/MYOM3/MYOZ1/MYPN/NEB/OBSCN/PGM5/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN
HALLMARK_MYOGENESIS,8.057898908322875e-22,2.5221223583050597e-19,6.223404255319149,36,94,Hallmark,13.275,red,Myogenesis,HALLMARK_MYOGENESIS,2.5221223583050597e-19,36,ACTA1/ACTN2/ACTN3/CACNG1/COL15A1/COL4A2/COL6A2/COL6A3/DES/HSPB8/MYBPH/MYH1/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL2/MYL3/MYL4/MYL6B/MYOM1/MYOM2/MYOZ1/PDLIM7/RYR1/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM2/TPM3
GOBP_MUSCLE_CELL_DIFFERENTIATION,3.235338829823369e-20,6.075966322408287e-18,5,40,130,GO:BP,9.818713450292398,red,Muscle Cell Differentiation,GOBP_MUSCLE_CELL_DIFFERENTIATION,6.075966322408287e-18,40,ACTA1/ACTN1/ACTN2/ACTN3/ACTN4/CAPN3/COL6A1/DCAF8/LAMC1/LMNA/MYBPC1/MYBPC2/MYBPH/MYH3/MYH6/MYL2/MYOM1/MYOM2/MYOM3/MYOZ1/MYPN/NEB/NID1/OBSCN/PDLIM5/PGM5/PLEC/RPL10/RPL32/RYR1/SGCB/SMYD1/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN
GOBP_MUSCLE_CONTRACTION,6.59294590820859e-18,7.738470259759832e-16,4.391891891891892,40,148,GO:BP,8.094541910331383,red,Muscle Contraction,GOBP_MUSCLE_CONTRACTION,7.738470259759832e-16,40,ACTA1/ACTN3/ASPH/CACNG1/DES/JPH1/MYBPH/MYH1/MYH13/MYH2/MYH3/MYH4/MYH6/MYH7/MYH8/MYL1/MYL2/MYL3/MYL4/MYL6/MYL6B/MYOM2/MYOT/RPL10/RPL32/RYR1/SYNM/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,3.4826568166808203e-17,3.6335719454036554e-15,6.6477272727272725,27,66,GO:BP,13.457216940363008,red,Actomyosin Structure Organization,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,3.6335719454036554e-15,27,ACTA1/ACTN2/CAPN3/MYBPC1/MYBPC2/MYBPH/MYH3/MYH6/MYL2/MYOM1/MYOM2/MYOM3/MYOZ1/MYPN/NEB/OBSCN/PGM5/PLEC/SYNPO/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN
GOBP_MUSCLE_ORGAN_DEVELOPMENT,9.426019486682872e-15,8.851032297995218e-13,5.290697674418605,28,86,GO:BP,9.386363636363637,red,Muscle Organ Development,GOBP_MUSCLE_ORGAN_DEVELOPMENT,8.851032297995218e-13,28,ACTA1/ACTN3/CAPN3/COL6A1/COL6A3/DES/FXR1/JPH1/LMNA/MYH3/MYH6/MYH7/MYL2/MYL3/MYL6/MYL6B/MYOM1/MYOZ1/NEB/PLEC/RYR1/SGCB/SMYD1/TCAP/TNNC1/TNNI1/TPM1/TTN
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,4.879402548091039e-13,4.165235447870441e-11,4.445754716981132,29,106,GO:BP,7.324675324675325,red,Membraneless Organelle Assembly,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,4.165235447870441e-11,29,ACTA1/ACTN2/CAPN3/DDX6/FXR1/H3-3A/MYBPC1/MYBPC2/MYBPH/MYH3/MYH6/MYL2/MYOM1/MYOM2/MYOM3/MYOZ1/MYPN/NEB/OBSCN/PGM5/PLEC/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.806609065804529e-12,1.413671593992044e-10,4.954268292682926,25,82,GO:BP,8.251397725081935,red,Muscle Tissue Development,GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.413671593992044e-10,25,ACTA1/ACTN2/ACTN3/COL6A1/LMNA/MYH6/MYH7/MYL2/MYL3/MYL6/MYL6B/MYOM1/MYOZ1/NEB/PDLIM5/PGM5/PLEC/RYR1/SGCB/SMYD1/TCAP/TNNC1/TNNI1/TPM1/TTN
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,5.643154798949656e-10,4.0760941201644056e-8,7.338709677419356,14,31,GO:BP,14.145328719723183,red,Multicellular Organismal Movement,GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,4.0760941201644056e-8,14,ACTN3/COL6A1/MYH3/MYH7/MYH8/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN
GOBP_STRIATED_MUSCLE_ADAPTATION,3.1232559823558022e-9,1.8329608546450614e-7,10.156250000000002,10,16,GO:BP,27.72012578616352,red,Striated Muscle Adaptation,GOBP_STRIATED_MUSCLE_ADAPTATION,1.8329608546450614e-7,10,ACTN3/LMNA/MLIP/MYH6/MYH7/MYOZ1/TCAP/TNNC1/TNNI1/TNNT1
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,4.436149046447249e-8,2.314191085896648e-6,5.548780487804878,14,41,GO:BP,8.855482933914306,red,Actin Filament Based Movement,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,2.314191085896648e-6,14,ACTN4/MYH2/MYH3/MYH4/MYH6/MYH7/MYH8/MYL1/MYL6/MYL6B/TCAP/TNNC1/TPM1/TTN
GOBP_CARDIAC_CELL_DEVELOPMENT,5.8345980362311665e-8,2.8835197663268763e-6,8.125000000000002,10,20,GO:BP,16.59433962264151,red,Cardiac Cell Development,GOBP_CARDIAC_CELL_DEVELOPMENT,2.8835197663268763e-6,10,ACTN2/LMNA/MYH6/MYL2/NEB/PDLIM5/PLEC/SGCB/TCAP/TTN
GOBP_NEUROMUSCULAR_PROCESS,9.497587968325378e-8,4.246778620122633e-6,5.709459459459459,13,37,GO:BP,9.17677993527508,red,Neuromuscular Process,GOBP_NEUROMUSCULAR_PROCESS,4.246778620122633e-6,13,ACTN3/MYH3/MYH7/MYH8/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN
GOBP_HEART_MORPHOGENESIS,1.0595543916248065e-7,4.522370789707697e-6,6.875,11,26,GO:BP,12.25015873015873,red,Heart Morphogenesis,GOBP_HEART_MORPHOGENESIS,4.522370789707697e-6,11,MYH6/MYH7/MYL2/MYL3/RYR1/SYNPO2L/TCAP/TNNC1/TNNI1/TPM1/TTN
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,1.204378410452211e-6,4.5082067054935524e-5,3.8805970149253732,16,67,GO:BP,5.389803921568627,red,Regulation Of Muscle System Process,GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,4.5082067054935524e-5,16,ACTN3/ASPH/CACNG1/JPH1/LMNA/MLIP/MYBPH/MYH7/MYL2/MYL3/TNNC1/TNNC2/TNNI1/TNNT1/TNNT3/TPM1
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,1.3796933321030816e-6,4.798266810536273e-5,8.125,8,16,GO:BP,16.305555555555557,red,Cardiac Chamber Development,GOBP_CARDIAC_CHAMBER_DEVELOPMENT,4.798266810536273e-5,8,HECTD1/MYH6/MYH7/MYL2/MYL3/TNNC1/TNNI1/TPM1
GOBP_CARDIAC_MUSCLE_CONTRACTION,2.2134369342935797e-6,7.166956142419557e-5,4.49468085106383,13,47,GO:BP,6.440605368360937,red,Cardiac Muscle Contraction,GOBP_CARDIAC_MUSCLE_CONTRACTION,7.166956142419557e-5,13,ASPH/JPH1/MYH6/MYH7/MYL2/MYL3/MYL4/TCAP/TNNC1/TNNI1/TNNI2/TPM1/TTN
GOBP_MUSCLE_ADAPTATION,2.7171828201956027e-6,8.504782227212237e-5,5.803571428571429,10,28,GO:BP,9.177148846960169,red,Muscle Adaptation,GOBP_MUSCLE_ADAPTATION,8.504782227212237e-5,10,ACTN3/LMNA/MLIP/MYH6/MYH7/MYOZ1/TCAP/TNNC1/TNNI1/TNNT1
GOBP_ACTIN_FILAMENT_ORGANIZATION,3.977761322168209e-6,1.2048767359728865e-4,3.2500000000000004,18,90,GO:BP,4.329081632653061,red,Actin Filament Organization,GOBP_ACTIN_FILAMENT_ORGANIZATION,1.2048767359728865e-4,18,ACTA1/ACTN1/ACTN2/CAPZA2/CAPZB/CORO6/NEB/PLEC/SYNPO/SYNPO2/SYNPO2L/TCAP/TMOD1/TMOD4/TPM1/TPM2/TPM3/TTN
GOBP_MYOTUBE_CELL_DEVELOPMENT,2.3009681940955624e-4,0.006173168955016381,6.093750000000001,6,16,GO:BP,9.594545454545454,red,Myotube Cell Development,GOBP_MYOTUBE_CELL_DEVELOPMENT,0.006173168955016381,6,ACTA1/ACTN3/COL6A1/DCAF8/PLEC/RYR1
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,8.838779302361865e-4,0.02243138855383187,4.212962962962963,7,27,GO:BP,5.616055045871559,red,External Encapsulating Structure Organization,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,0.02243138855383187,7,COL15A1/COL18A1/COL1A2/COL4A2/COL6A1/LAMC1/NID1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0011409447678666362,0.028193345711230826,3.611111111111111,8,36,Hallmark,4.605820105820106,red,Epithelial Mesenchymal Transition,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.028193345711230826,8,COL1A2/COL4A2/COL6A2/COL6A3/LAMC1/SGCB/TPM1/TPM2
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,0.0012080678684385315,0.02835939321159453,4.642857142857142,6,21,GO:BP,6.378181818181818,red,Regulation Of Protein Depolymerization,GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,0.02835939321159453,6,ACTN2/ASPH/CAPZA2/CAPZB/TMOD1/TMOD4
